# event_ticker=KXATPCHALLENGERMATCH-26MAY26BECBIT
# final_score=3-6 6-1 6-4
# match_winner=Alec Beckley
# fav_player=Alec Beckley
# dog_player=Constantin Bittoun Kouzmine
# kalshi_date=2026-05-26
timestamp,Alec Beckley,Constantin Bittoun Kouzmine
2026-05-26T02:29:00Z,64.00,
2026-05-26T03:32:00Z,63.00,
2026-05-26T03:45:00Z,63.00,39.00
2026-05-26T08:08:00Z,61.00,39.00
2026-05-26T08:09:00Z,61.00,40.82
2026-05-26T08:49:00Z,61.00,41.00
2026-05-26T08:54:00Z,58.00,41.00
2026-05-26T10:15:00Z,58.00,41.00
2026-05-26T10:27:00Z,58.00,42.00
2026-05-26T10:34:00Z,58.00,42.00
2026-05-26T10:39:00Z,58.00,42.00
2026-05-26T10:57:00Z,59.00,42.00
2026-05-26T11:00:00Z,59.00,42.00
2026-05-26T11:21:00Z,59.00,42.00
2026-05-26T11:29:00Z,59.00,43.00
2026-05-26T11:30:00Z,59.00,43.41
2026-05-26T11:31:00Z,59.00,45.00
2026-05-26T11:44:00Z,59.00,45.00
2026-05-26T11:46:00Z,59.00,46.22
2026-05-26T11:49:00Z,57.00,46.22
2026-05-26T11:58:00Z,57.00,46.22
2026-05-26T12:01:00Z,57.00,44.00
2026-05-26T12:08:00Z,57.00,45.00
2026-05-26T12:12:00Z,57.00,45.00
2026-05-26T12:32:00Z,56.00,45.00
2026-05-26T12:36:00Z,56.00,45.00
2026-05-26T12:42:00Z,56.00,45.00
2026-05-26T12:51:00Z,56.00,45.00
2026-05-26T12:53:00Z,56.00,45.00
2026-05-26T13:15:00Z,56.97,46.00
2026-05-26T13:16:00Z,56.97,46.00
2026-05-26T13:17:00Z,57.00,46.00
2026-05-26T13:18:00Z,59.40,38.07
2026-05-26T13:19:00Z,64.01,37.90
2026-05-26T13:20:00Z,65.49,37.90
2026-05-26T13:21:00Z,68.29,32.00
2026-05-26T13:22:00Z,74.00,27.00
2026-05-26T13:23:00Z,75.00,28.00
2026-05-26T13:24:00Z,78.00,23.00
2026-05-26T13:25:00Z,76.83,24.35
2026-05-26T13:26:00Z,71.00,28.04
2026-05-26T13:27:00Z,69.00,29.67
2026-05-26T13:28:00Z,69.00,35.00
2026-05-26T13:29:00Z,65.40,35.00
2026-05-26T13:30:00Z,68.64,35.00
2026-05-26T13:31:00Z,74.80,35.00
2026-05-26T13:32:00Z,76.00,26.00
2026-05-26T13:34:00Z,71.00,30.00
2026-05-26T13:35:00Z,63.13,35.88
2026-05-26T13:36:00Z,61.03,35.88
2026-05-26T13:37:00Z,57.90,43.17
2026-05-26T13:38:00Z,55.00,46.00
2026-05-26T13:39:00Z,53.00,46.00
2026-05-26T13:40:00Z,47.00,46.00
2026-05-26T13:41:00Z,47.00,54.00
2026-05-26T13:42:00Z,48.00,54.00
2026-05-26T13:43:00Z,40.11,60.75
2026-05-26T13:44:00Z,42.74,60.78
2026-05-26T13:45:00Z,40.76,60.49
2026-05-26T13:46:00Z,40.93,61.96
2026-05-26T13:47:00Z,35.71,65.65
2026-05-26T13:48:00Z,26.53,72.96
2026-05-26T13:49:00Z,26.53,74.00
2026-05-26T13:50:00Z,26.78,74.00
