# event_ticker=KXATPCHALLENGERMATCH-26MAY02ONCCOU
# final_score=2-6 6-3 6-1
# score_resolution=6-2 3-6 1-6
# match_winner=Gauthier Onclin
# fav_player=Eliakim Coulibaly
# dog_player=Gauthier Onclin
# kalshi_date=2026-05-02
timestamp,Gauthier Onclin,Eliakim Coulibaly
2026-05-02T05:29:00Z,,32.00
2026-05-02T05:32:00Z,68.00,32.00
2026-05-02T05:36:00Z,68.00,35.00
2026-05-02T05:38:00Z,68.00,35.00
2026-05-02T07:13:00Z,67.00,35.00
2026-05-02T08:34:00Z,66.00,35.00
2026-05-02T08:35:00Z,66.00,35.00
2026-05-02T09:46:00Z,66.00,36.00
2026-05-02T10:50:00Z,65.00,36.00
2026-05-02T10:53:00Z,65.00,36.00
2026-05-02T11:17:00Z,65.00,36.00
2026-05-02T11:26:00Z,65.00,36.00
2026-05-02T11:27:00Z,65.00,36.00
2026-05-02T12:18:00Z,65.00,36.00
2026-05-02T12:33:00Z,65.00,36.00
2026-05-02T12:42:00Z,65.00,36.00
2026-05-02T13:02:00Z,65.00,36.00
2026-05-02T13:35:00Z,65.00,37.00
2026-05-02T13:43:00Z,65.00,37.00
2026-05-02T13:49:00Z,65.00,37.00
2026-05-02T13:51:00Z,65.00,37.00
2026-05-02T13:54:00Z,66.00,37.00
2026-05-02T13:56:00Z,66.00,36.00
2026-05-02T14:01:00Z,66.00,36.00
2026-05-02T14:19:00Z,66.00,36.00
2026-05-02T14:25:00Z,66.00,36.00
2026-05-02T14:27:00Z,67.00,36.00
2026-05-02T14:28:00Z,67.00,36.00
2026-05-02T14:29:00Z,67.00,36.00
2026-05-02T14:35:00Z,67.00,36.00
2026-05-02T14:41:00Z,67.00,36.00
2026-05-02T14:47:00Z,67.00,36.00
2026-05-02T14:55:00Z,67.00,36.00
2026-05-02T14:59:00Z,66.00,36.00
2026-05-02T15:17:00Z,66.00,36.00
2026-05-02T15:22:00Z,66.00,36.00
2026-05-02T15:28:00Z,66.00,36.00
2026-05-02T15:53:00Z,66.00,36.00
2026-05-02T15:54:00Z,66.00,36.00
2026-05-02T15:56:00Z,69.02,33.70
2026-05-02T15:59:00Z,70.00,33.70
2026-05-02T16:00:00Z,71.00,33.70
2026-05-02T16:01:00Z,71.00,33.70
2026-05-02T16:02:00Z,71.00,33.00
2026-05-02T16:03:00Z,71.00,33.00
2026-05-02T16:09:00Z,71.00,32.00
2026-05-02T16:10:00Z,71.00,32.00
2026-05-02T16:12:00Z,71.00,32.00
2026-05-02T16:14:00Z,71.00,32.00
2026-05-02T16:16:00Z,71.00,33.00
2026-05-02T16:17:00Z,70.00,33.00
2026-05-02T16:18:00Z,70.00,33.00
2026-05-02T16:19:00Z,71.00,33.00
2026-05-02T16:20:00Z,70.00,33.00
2026-05-02T16:21:00Z,70.00,32.00
2026-05-02T16:23:00Z,71.00,32.00
2026-05-02T16:26:00Z,71.00,32.00
2026-05-02T16:27:00Z,71.00,32.00
2026-05-02T16:29:00Z,69.08,32.00
2026-05-02T16:30:00Z,68.00,32.00
2026-05-02T16:32:00Z,68.00,32.00
2026-05-02T16:34:00Z,68.00,32.00
2026-05-02T16:35:00Z,68.00,32.00
2026-05-02T16:36:00Z,68.00,33.00
2026-05-02T16:37:00Z,68.00,33.00
2026-05-02T16:38:00Z,67.50,33.00
2026-05-02T16:39:00Z,67.00,33.00
2026-05-02T16:40:00Z,67.45,33.00
2026-05-02T16:41:00Z,68.00,33.00
2026-05-02T16:42:00Z,68.00,33.00
2026-05-02T16:43:00Z,68.00,33.00
2026-05-02T16:44:00Z,68.00,33.96
2026-05-02T16:45:00Z,68.00,33.00
2026-05-02T16:46:00Z,68.00,33.00
2026-05-02T16:47:00Z,68.00,33.00
2026-05-02T16:48:00Z,68.00,33.00
