# event_ticker=KXATPCHALLENGERMATCH-26APR07MILFIC
# final_score=6-4 6-3
# match_winner=Juan Pablo Ficovich
# fav_player=Juan Pablo Ficovich
# dog_player=Daniel Milavsky
# kalshi_date=2026-04-07
timestamp,Juan Pablo Ficovich,Daniel Milavsky
2026-04-07T12:31:00Z,79.00,
2026-04-07T15:58:00Z,82.00,
2026-04-07T16:31:00Z,82.00,20.00
2026-04-07T16:43:00Z,82.00,20.00
2026-04-07T17:13:00Z,82.00,20.00
2026-04-07T17:31:00Z,82.00,20.00
2026-04-07T17:42:00Z,82.00,20.00
2026-04-07T17:54:00Z,82.00,20.00
2026-04-07T17:56:00Z,82.00,20.00
2026-04-07T18:16:00Z,82.00,20.00
2026-04-07T18:47:00Z,82.00,19.00
2026-04-07T18:51:00Z,82.00,19.00
2026-04-07T19:00:00Z,82.00,19.00
2026-04-07T19:02:00Z,82.00,19.06
2026-04-07T19:50:00Z,82.00,20.00
2026-04-07T19:57:00Z,83.00,20.00
2026-04-07T19:59:00Z,83.00,20.00
2026-04-07T20:00:00Z,83.00,20.00
2026-04-07T20:23:00Z,83.00,20.00
2026-04-07T20:27:00Z,83.00,20.00
2026-04-07T20:34:00Z,83.00,19.99
2026-04-07T20:42:00Z,83.00,19.96
2026-04-07T20:43:00Z,83.00,19.96
2026-04-07T20:44:00Z,83.00,20.00
2026-04-07T20:46:00Z,83.00,20.00
2026-04-07T20:49:00Z,83.00,20.00
2026-04-07T20:50:00Z,83.00,20.00
2026-04-07T20:58:00Z,83.00,20.00
2026-04-07T21:01:00Z,83.00,20.00
2026-04-07T21:03:00Z,83.00,19.00
2026-04-07T21:06:00Z,83.00,19.00
2026-04-07T21:07:00Z,83.00,19.91
2026-04-07T21:10:00Z,83.00,19.00
2026-04-07T21:11:00Z,83.73,19.00
2026-04-07T21:12:00Z,83.00,18.00
2026-04-07T21:13:00Z,84.00,18.00
2026-04-07T21:15:00Z,84.00,18.00
2026-04-07T21:16:00Z,84.00,18.00
2026-04-07T21:18:00Z,84.00,18.00
2026-04-07T21:21:00Z,83.00,18.00
2026-04-07T21:22:00Z,83.00,18.00
2026-04-07T21:25:00Z,83.00,16.28
2026-04-07T21:26:00Z,83.00,18.80
2026-04-07T21:27:00Z,83.00,18.52
2026-04-07T21:28:00Z,83.00,18.00
2026-04-07T21:31:00Z,83.00,18.94
2026-04-07T21:34:00Z,83.00,18.00
2026-04-07T21:35:00Z,83.00,18.00
2026-04-07T21:36:00Z,83.00,18.00
