# event_ticker=KXATPMATCH-25JUL15YIBSCH
# final_score=4-6 6-4 6-1
# match_winner=Tristan Schoolkate
# fav_player=Tristan Schoolkate
# dog_player=Yibing Wu
# kalshi_date=2025-07-15
timestamp,Tristan Schoolkate,Yibing Wu
2025-07-15T15:42:00Z,35.00,
2025-07-15T16:11:00Z,35.00,67.00
2025-07-15T17:08:00Z,35.00,65.00
2025-07-15T17:31:00Z,35.00,65.00
2025-07-15T17:35:00Z,35.00,61.86
2025-07-15T17:41:00Z,36.00,61.86
2025-07-15T17:42:00Z,36.00,64.87
2025-07-15T17:45:00Z,36.00,65.00
2025-07-15T18:16:00Z,36.77,65.00
2025-07-15T18:44:00Z,36.77,65.00
2025-07-15T18:50:00Z,36.77,65.00
2025-07-15T18:54:00Z,36.00,65.00
2025-07-15T19:21:00Z,36.00,65.00
2025-07-15T19:26:00Z,36.00,65.00
2025-07-15T19:37:00Z,36.00,65.00
2025-07-15T19:46:00Z,37.00,65.00
2025-07-15T19:47:00Z,37.00,65.00
2025-07-15T20:01:00Z,37.00,65.70
2025-07-15T20:15:00Z,37.00,65.00
2025-07-15T20:25:00Z,36.00,65.00
2025-07-15T20:32:00Z,36.00,65.00
2025-07-15T20:39:00Z,36.00,65.00
2025-07-15T20:41:00Z,36.00,65.00
2025-07-15T20:46:00Z,36.00,65.00
2025-07-15T20:47:00Z,36.00,65.00
2025-07-15T20:50:00Z,36.00,65.00
2025-07-15T20:53:00Z,36.00,65.00
2025-07-15T21:15:00Z,36.00,65.28
2025-07-15T21:16:00Z,36.64,65.28
2025-07-15T21:23:00Z,36.64,65.00
2025-07-15T21:26:00Z,36.64,65.00
2025-07-15T21:44:00Z,36.00,65.00
2025-07-15T21:46:00Z,36.00,65.00
2025-07-15T21:57:00Z,36.00,66.00
2025-07-15T22:02:00Z,36.00,66.00
2025-07-15T22:08:00Z,36.00,66.00
2025-07-15T22:21:00Z,36.00,66.00
2025-07-15T22:22:00Z,36.00,66.00
2025-07-15T22:31:00Z,36.00,66.00
2025-07-15T22:33:00Z,36.00,66.00
