# event_ticker=KXATPCHALLENGERMATCH-26MAR30WENBOU
# final_score=7-5 7-5
# score_resolution=5-7 5-7
# match_winner=Harry Wendelken
# fav_player=Justin Boulais
# dog_player=Harry Wendelken
# kalshi_date=2026-03-30
timestamp,Justin Boulais,Harry Wendelken
2026-03-30T16:32:00Z,,68.50
2026-03-30T17:47:00Z,,69.00
2026-03-30T17:56:00Z,,69.00
2026-03-30T17:59:00Z,,69.00
2026-03-30T19:53:00Z,,69.00
2026-03-30T21:19:00Z,,69.00
2026-03-30T22:12:00Z,,69.00
2026-03-30T22:34:00Z,,69.00
2026-03-30T22:41:00Z,,69.00
2026-03-30T23:07:00Z,,70.00
2026-03-30T23:20:00Z,,70.00
2026-03-30T23:34:00Z,,70.00
2026-03-30T23:50:00Z,,70.00
2026-03-30T23:57:00Z,,70.00
2026-03-31T00:17:00Z,,70.00
2026-03-31T00:40:00Z,,68.00
2026-03-31T00:44:00Z,,69.00
2026-03-31T01:10:00Z,,69.00
2026-03-31T01:46:00Z,,69.00
2026-03-31T01:48:00Z,,69.00
2026-03-31T01:51:00Z,,69.00
2026-03-31T02:03:00Z,,69.00
2026-03-31T02:04:00Z,,69.00
2026-03-31T02:11:00Z,,69.00
2026-03-31T02:16:00Z,33.00,69.00
2026-03-31T02:22:00Z,33.00,69.00
2026-03-31T02:31:00Z,33.00,69.51
2026-03-31T02:44:00Z,33.00,70.00
2026-03-31T02:46:00Z,33.00,70.00
2026-03-31T02:49:00Z,33.00,70.00
2026-03-31T02:58:00Z,33.00,70.00
2026-03-31T03:04:00Z,33.00,70.00
2026-03-31T03:05:00Z,33.00,70.00
2026-03-31T03:11:00Z,33.00,69.97
2026-03-31T03:17:00Z,33.00,69.97
2026-03-31T03:25:00Z,33.00,69.97
2026-03-31T03:27:00Z,33.00,69.97
2026-03-31T03:29:00Z,33.00,69.97
2026-03-31T03:32:00Z,32.00,69.97
2026-03-31T03:35:00Z,32.00,69.36
2026-03-31T03:36:00Z,32.00,69.00
2026-03-31T03:38:00Z,32.00,69.00
2026-03-31T03:39:00Z,30.00,69.00
2026-03-31T03:40:00Z,32.00,69.00
2026-03-31T03:42:00Z,32.00,70.00
2026-03-31T03:43:00Z,32.80,70.00
2026-03-31T03:46:00Z,32.64,70.00
2026-03-31T03:50:00Z,32.64,70.00
2026-03-31T03:52:00Z,32.64,70.00
2026-03-31T03:53:00Z,32.64,70.00
2026-03-31T03:54:00Z,33.00,70.00
2026-03-31T04:00:00Z,32.00,70.00
2026-03-31T04:01:00Z,31.00,70.00
2026-03-31T04:02:00Z,31.00,70.00
2026-03-31T04:08:00Z,31.00,70.00
2026-03-31T04:09:00Z,31.00,70.00
2026-03-31T04:12:00Z,32.42,70.00
2026-03-31T04:13:00Z,32.00,70.00
2026-03-31T04:16:00Z,32.00,70.00
2026-03-31T04:17:00Z,32.00,70.00
2026-03-31T04:18:00Z,32.00,70.00
2026-03-31T04:19:00Z,32.00,70.00
2026-03-31T04:20:00Z,30.34,70.00
2026-03-31T04:21:00Z,29.00,72.00
2026-03-31T04:22:00Z,26.77,73.31
2026-03-31T04:23:00Z,27.00,73.31
2026-03-31T04:24:00Z,27.35,74.00
2026-03-31T04:25:00Z,25.58,74.00
2026-03-31T04:26:00Z,28.67,71.00
2026-03-31T04:27:00Z,29.80,71.00
2026-03-31T04:28:00Z,26.00,72.86
2026-03-31T04:29:00Z,28.00,73.58
2026-03-31T04:30:00Z,31.23,70.21
2026-03-31T04:31:00Z,33.55,68.34
2026-03-31T04:32:00Z,33.22,68.00
2026-03-31T04:33:00Z,39.49,67.87
2026-03-31T04:34:00Z,36.63,62.31
2026-03-31T04:35:00Z,44.79,54.08
2026-03-31T04:36:00Z,48.00,53.00
2026-03-31T04:37:00Z,46.15,56.65
2026-03-31T04:38:00Z,43.43,60.51
2026-03-31T04:39:00Z,42.97,60.08
2026-03-31T04:40:00Z,47.40,55.26
2026-03-31T04:41:00Z,50.68,57.65
2026-03-31T04:42:00Z,47.62,54.29
2026-03-31T04:43:00Z,42.71,61.60
2026-03-31T04:44:00Z,47.62,53.38
2026-03-31T04:45:00Z,47.62,51.62
2026-03-31T04:46:00Z,50.92,49.32
2026-03-31T04:47:00Z,54.07,45.69
2026-03-31T04:48:00Z,52.96,50.33
2026-03-31T04:49:00Z,51.51,51.32
