# event_ticker=KXATPCHALLENGERMATCH-26MAR10BONBOL
# final_score=3-6 6-3 7-6(4)
# score_resolution=3-6 6-3 7-6
# match_winner=Benjamin Bonzi
# fav_player=Benjamin Bonzi
# dog_player=Alex Bolt
# kalshi_date=2026-03-10
timestamp,Benjamin Bonzi,Alex Bolt
2026-03-10T10:23:00Z,71.00,
2026-03-10T10:24:00Z,72.00,
2026-03-10T10:37:00Z,72.00,
2026-03-10T10:38:00Z,73.00,
2026-03-10T10:39:00Z,74.00,
2026-03-10T10:40:00Z,75.00,
2026-03-10T10:41:00Z,75.00,28.00
2026-03-10T10:44:00Z,78.61,28.00
2026-03-10T10:50:00Z,76.86,28.00
2026-03-10T10:51:00Z,78.00,28.00
2026-03-10T10:53:00Z,79.00,28.00
2026-03-10T11:56:00Z,70.03,28.00
2026-03-10T12:04:00Z,77.00,28.00
2026-03-10T12:06:00Z,77.00,28.00
2026-03-10T12:07:00Z,77.00,28.00
2026-03-10T12:11:00Z,77.00,28.00
2026-03-10T12:14:00Z,77.00,28.00
2026-03-10T12:16:00Z,78.00,28.00
2026-03-10T12:18:00Z,80.00,28.00
2026-03-10T12:19:00Z,80.00,28.00
2026-03-10T12:25:00Z,76.00,28.00
2026-03-10T12:26:00Z,76.00,28.00
2026-03-10T12:30:00Z,77.00,28.00
2026-03-10T12:37:00Z,71.58,28.00
2026-03-10T12:56:00Z,73.00,28.00
2026-03-10T13:12:00Z,73.00,28.00
2026-03-10T14:30:00Z,72.00,28.00
2026-03-10T14:58:00Z,72.00,28.00
2026-03-10T15:03:00Z,72.00,28.00
2026-03-10T15:09:00Z,72.00,28.00
2026-03-10T15:15:00Z,72.00,28.00
2026-03-10T15:21:00Z,72.00,28.00
2026-03-10T15:27:00Z,72.00,28.00
2026-03-10T15:33:00Z,72.00,28.00
2026-03-10T15:38:00Z,72.00,28.00
2026-03-10T15:44:00Z,72.00,28.00
2026-03-10T15:57:00Z,76.00,28.00
2026-03-10T16:08:00Z,76.00,26.00
2026-03-10T16:11:00Z,76.00,26.00
2026-03-10T16:31:00Z,76.00,26.00
2026-03-10T16:38:00Z,76.00,26.00
2026-03-10T16:48:00Z,76.00,26.00
2026-03-10T17:26:00Z,74.00,26.00
2026-03-10T17:51:00Z,74.00,26.00
2026-03-10T18:26:00Z,74.00,27.00
2026-03-10T19:08:00Z,74.00,27.00
2026-03-10T19:23:00Z,74.00,27.00
2026-03-10T19:32:00Z,73.00,27.00
2026-03-10T20:03:00Z,73.51,27.00
2026-03-10T20:04:00Z,73.51,27.00
2026-03-10T20:06:00Z,68.29,31.00
2026-03-10T20:07:00Z,63.05,42.16
2026-03-10T20:08:00Z,68.96,32.98
2026-03-10T20:09:00Z,73.00,28.00
2026-03-10T20:10:00Z,69.00,32.78
2026-03-10T20:11:00Z,67.00,34.00
2026-03-10T20:13:00Z,68.36,32.68
2026-03-10T20:15:00Z,68.39,32.68
2026-03-10T20:16:00Z,68.39,33.87
2026-03-10T20:17:00Z,65.00,33.00
2026-03-10T20:18:00Z,67.99,36.00
2026-03-10T20:19:00Z,67.99,36.00
2026-03-10T20:20:00Z,64.35,39.90
2026-03-10T20:21:00Z,57.18,46.30
2026-03-10T20:22:00Z,59.51,48.13
2026-03-10T20:23:00Z,51.05,46.19
2026-03-10T20:24:00Z,46.30,57.00
2026-03-10T20:25:00Z,46.30,59.90
2026-03-10T20:26:00Z,40.29,59.90
2026-03-10T20:27:00Z,41.00,59.90
2026-03-10T20:28:00Z,41.00,60.01
2026-03-10T20:29:00Z,45.88,58.32
2026-03-10T20:30:00Z,48.48,54.84
2026-03-10T20:31:00Z,56.52,39.99
2026-03-10T20:32:00Z,60.46,48.36
2026-03-10T20:33:00Z,40.34,59.00
2026-03-10T20:34:00Z,41.00,59.10
2026-03-10T20:35:00Z,39.59,62.39
2026-03-10T20:36:00Z,36.57,63.16
2026-03-10T20:37:00Z,40.94,59.56
2026-03-10T20:38:00Z,41.50,59.56
2026-03-10T20:39:00Z,44.73,55.06
2026-03-10T20:40:00Z,58.16,40.00
2026-03-10T20:41:00Z,62.39,36.59
2026-03-10T20:42:00Z,63.63,37.00
2026-03-10T20:43:00Z,64.00,37.38
2026-03-10T20:44:00Z,64.00,39.29
2026-03-10T20:45:00Z,62.06,36.00
2026-03-10T20:46:00Z,62.96,36.00
2026-03-10T20:47:00Z,60.00,36.00
2026-03-10T20:48:00Z,63.27,41.00
2026-03-10T20:49:00Z,59.47,44.17
2026-03-10T20:50:00Z,63.93,38.00
