# event_ticker=KXATPCHALLENGERMATCH-26JUN01CASGON
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Mario Gonzalez Fernandez
# fav_player=Luca Castelnuovo
# dog_player=Mario Gonzalez Fernandez
# kalshi_date=2026-06-01
timestamp,Luca Castelnuovo,Mario Gonzalez Fernandez
2026-06-01T02:21:00Z,,37.00
2026-06-01T02:29:00Z,63.00,37.00
2026-06-01T02:54:00Z,64.76,37.00
2026-06-01T03:00:00Z,63.00,37.00
2026-06-01T03:06:00Z,63.00,37.00
2026-06-01T03:25:00Z,63.05,37.00
2026-06-01T04:28:00Z,63.05,37.00
2026-06-01T04:49:00Z,64.00,37.00
2026-06-01T05:13:00Z,64.00,37.00
2026-06-01T06:12:00Z,64.00,37.00
2026-06-01T06:18:00Z,64.00,37.00
2026-06-01T06:21:00Z,64.00,37.00
2026-06-01T06:32:00Z,64.00,37.00
2026-06-01T07:18:00Z,64.00,37.00
2026-06-01T09:04:00Z,64.00,37.00
2026-06-01T10:24:00Z,64.00,37.00
2026-06-01T11:04:00Z,65.00,37.00
2026-06-01T11:15:00Z,63.00,37.00
2026-06-01T11:16:00Z,62.25,43.00
2026-06-01T11:17:00Z,53.92,45.00
2026-06-01T11:18:00Z,52.60,47.20
2026-06-01T11:19:00Z,51.81,50.82
2026-06-01T11:20:00Z,53.68,50.82
2026-06-01T11:21:00Z,55.56,44.83
2026-06-01T11:22:00Z,58.44,40.29
2026-06-01T11:23:00Z,58.44,40.10
2026-06-01T11:24:00Z,58.17,43.70
2026-06-01T11:25:00Z,62.32,42.00
2026-06-01T11:26:00Z,62.81,39.00
2026-06-01T11:28:00Z,65.49,39.00
2026-06-01T11:29:00Z,65.71,36.00
2026-06-01T11:30:00Z,63.79,36.00
2026-06-01T11:31:00Z,63.79,38.00
2026-06-01T11:32:00Z,64.00,38.00
2026-06-01T11:33:00Z,64.00,36.00
2026-06-01T11:34:00Z,68.00,33.00
2026-06-01T11:35:00Z,68.39,32.00
2026-06-01T11:36:00Z,71.00,31.00
2026-06-01T11:37:00Z,68.00,32.00
2026-06-01T11:38:00Z,68.00,35.00
2026-06-01T11:39:00Z,65.00,36.03
2026-06-01T11:40:00Z,68.85,36.03
2026-06-01T11:41:00Z,68.85,32.00
2026-06-01T11:42:00Z,69.00,32.00
2026-06-01T11:43:00Z,72.33,28.34
2026-06-01T11:44:00Z,70.00,30.91
2026-06-01T11:45:00Z,65.00,36.00
2026-06-01T11:46:00Z,56.65,42.54
2026-06-01T11:47:00Z,51.46,50.79
2026-06-01T11:48:00Z,46.00,54.36
2026-06-01T11:49:00Z,41.00,56.25
2026-06-01T11:50:00Z,41.00,60.42
2026-06-01T11:51:00Z,41.15,60.00
2026-06-01T11:52:00Z,32.70,63.46
2026-06-01T11:53:00Z,34.34,63.52
2026-06-01T11:54:00Z,34.02,65.91
2026-06-01T11:55:00Z,35.00,65.91
2026-06-01T11:56:00Z,31.65,69.26
2026-06-01T11:57:00Z,32.90,67.08
2026-06-01T11:58:00Z,34.00,64.94
2026-06-01T11:59:00Z,37.00,64.00
2026-06-01T12:00:00Z,35.00,64.00
2026-06-01T12:01:00Z,37.52,65.00
2026-06-01T12:02:00Z,39.24,62.00
2026-06-01T12:03:00Z,42.24,57.00
2026-06-01T12:04:00Z,39.24,57.67
2026-06-01T12:05:00Z,36.00,65.00
2026-06-01T12:06:00Z,36.05,66.58
2026-06-01T12:07:00Z,35.73,70.00
2026-06-01T12:08:00Z,38.94,63.00
2026-06-01T12:09:00Z,39.02,62.01
2026-06-01T12:10:00Z,38.64,63.59
2026-06-01T12:11:00Z,39.93,62.14
2026-06-01T12:12:00Z,36.18,67.75
2026-06-01T12:13:00Z,31.42,67.30
2026-06-01T12:14:00Z,21.34,77.01
2026-06-01T12:15:00Z,12.44,86.15
2026-06-01T12:16:00Z,13.21,86.31
2026-06-01T12:17:00Z,13.68,86.39
2026-06-01T12:18:00Z,11.54,89.03
2026-06-01T12:19:00Z,9.47,91.46
2026-06-01T12:20:00Z,7.64,93.01
2026-06-01T12:21:00Z,3.25,97.51
2026-06-01T12:22:00Z,2.14,98.01
2026-06-01T12:23:00Z,2.97,98.00
2026-06-01T12:24:00Z,2.00,98.00
2026-06-01T12:25:00Z,1.47,99.00
2026-06-01T12:26:00Z,1.08,99.00
