# event_ticker=KXATPCHALLENGERMATCH-26APR21GEEBIT
# final_score=6-1 RET
# match_winner=Constantin Bittoun Kouzmine
# fav_player=Constantin Bittoun Kouzmine
# dog_player=Michael Geerts
# kalshi_date=2026-04-21
timestamp,Michael Geerts,Constantin Bittoun Kouzmine
2026-04-21T10:28:00Z,85.00,
2026-04-21T10:55:00Z,89.00,
2026-04-21T12:21:00Z,89.00,13.00
2026-04-21T12:23:00Z,89.00,13.00
2026-04-21T12:32:00Z,89.00,13.00
2026-04-21T13:15:00Z,89.00,13.00
2026-04-21T13:29:00Z,89.00,13.88
2026-04-21T13:46:00Z,89.00,14.00
2026-04-21T14:08:00Z,89.00,14.00
2026-04-21T14:25:00Z,89.00,14.00
2026-04-21T14:28:00Z,88.00,14.00
2026-04-21T15:03:00Z,88.00,14.13
2026-04-21T15:19:00Z,88.00,12.00
2026-04-21T15:33:00Z,88.00,14.00
2026-04-21T17:17:00Z,88.00,14.00
2026-04-21T17:57:00Z,88.00,14.00
2026-04-21T18:01:00Z,89.00,14.00
2026-04-21T18:28:00Z,88.00,14.00
2026-04-21T18:31:00Z,88.00,14.00
2026-04-21T19:04:00Z,88.00,14.00
2026-04-21T19:05:00Z,88.00,14.00
2026-04-21T19:15:00Z,88.00,13.00
2026-04-21T19:26:00Z,88.00,13.00
2026-04-21T19:29:00Z,88.00,14.00
2026-04-21T19:34:00Z,88.00,12.00
2026-04-21T19:40:00Z,88.00,13.00
2026-04-21T19:42:00Z,88.00,12.00
2026-04-21T19:47:00Z,88.00,12.00
2026-04-21T19:49:00Z,88.00,12.00
2026-04-21T19:51:00Z,88.00,12.00
2026-04-21T19:52:00Z,88.00,12.00
2026-04-21T19:56:00Z,88.00,13.00
2026-04-21T19:57:00Z,88.00,13.00
2026-04-21T19:58:00Z,88.00,13.00
2026-04-21T19:59:00Z,88.00,11.00
2026-04-21T20:00:00Z,88.00,11.00
2026-04-21T20:02:00Z,88.00,13.00
2026-04-21T20:03:00Z,88.00,13.41
2026-04-21T20:09:00Z,88.00,14.00
2026-04-21T20:10:00Z,88.00,14.00
2026-04-21T20:18:00Z,88.00,13.65
2026-04-21T20:23:00Z,88.00,13.00
2026-04-21T20:24:00Z,88.00,14.00
2026-04-21T20:29:00Z,88.00,14.00
2026-04-21T20:30:00Z,88.00,14.00
2026-04-21T20:32:00Z,88.00,14.00
2026-04-21T20:37:00Z,88.00,14.00
2026-04-21T20:45:00Z,88.00,14.00
2026-04-21T20:48:00Z,88.00,14.00
2026-04-21T20:53:00Z,88.00,14.00
2026-04-21T21:07:00Z,88.00,14.00
2026-04-21T21:08:00Z,88.00,13.00
2026-04-21T21:15:00Z,88.00,13.00
2026-04-21T21:22:00Z,88.00,11.78
2026-04-21T21:25:00Z,88.00,13.00
2026-04-21T21:28:00Z,88.00,13.00
2026-04-21T21:29:00Z,88.97,13.00
2026-04-21T21:31:00Z,88.97,13.00
2026-04-21T21:32:00Z,89.36,13.00
2026-04-21T21:34:00Z,89.36,13.00
2026-04-21T21:35:00Z,88.00,13.00
2026-04-21T21:36:00Z,87.06,13.00
2026-04-21T21:37:00Z,89.20,13.00
2026-04-21T21:38:00Z,89.00,13.00
2026-04-21T21:39:00Z,89.00,12.07
2026-04-21T21:40:00Z,89.00,13.00
2026-04-21T21:41:00Z,89.00,13.00
2026-04-21T21:42:00Z,89.00,12.88
2026-04-21T21:43:00Z,89.00,12.43
2026-04-21T21:44:00Z,90.87,10.82
2026-04-21T21:45:00Z,90.87,10.32
2026-04-21T21:46:00Z,89.44,12.73
2026-04-21T21:47:00Z,88.19,12.60
2026-04-21T21:48:00Z,87.00,13.98
2026-04-21T21:49:00Z,87.07,13.23
2026-04-21T21:50:00Z,88.00,13.00
2026-04-21T21:51:00Z,89.00,13.00
2026-04-21T21:52:00Z,87.00,13.97
2026-04-21T21:53:00Z,85.09,15.08
2026-04-21T21:54:00Z,85.09,16.00
2026-04-21T21:55:00Z,83.08,16.96
2026-04-21T21:56:00Z,79.38,21.40
2026-04-21T21:57:00Z,68.62,32.12
2026-04-21T21:58:00Z,62.56,36.22
2026-04-21T21:59:00Z,62.95,37.83
2026-04-21T22:00:00Z,62.12,38.15
2026-04-21T22:01:00Z,62.88,36.32
2026-04-21T22:02:00Z,62.08,38.85
2026-04-21T22:03:00Z,58.96,40.97
2026-04-21T22:04:00Z,53.75,45.78
2026-04-21T22:05:00Z,52.52,48.51
2026-04-21T22:06:00Z,48.97,51.18
2026-04-21T22:07:00Z,49.00,51.59
2026-04-21T22:08:00Z,21.32,73.05
2026-04-21T22:09:00Z,3.12,94.66
2026-04-21T22:10:00Z,1.30,98.95
2026-04-21T22:11:00Z,1.00,97.66
2026-04-21T22:12:00Z,1.97,95.86
2026-04-21T22:13:00Z,3.66,95.75
2026-04-21T22:14:00Z,1.93,97.43
2026-04-21T22:15:00Z,1.98,97.00
2026-04-21T22:16:00Z,1.98,97.00
2026-04-21T22:17:00Z,1.00,98.79
