# event_ticker=KXATPCHALLENGERMATCH-26APR29CARCAD
# final_score=6-3 6-1
# match_winner=Gianluca Cadenasso
# fav_player=Gianluca Cadenasso
# dog_player=Lorenzo Carboni
# kalshi_date=2026-04-29
timestamp,Lorenzo Carboni,Gianluca Cadenasso
2026-04-29T12:01:00Z,43.00,
2026-04-29T12:11:00Z,43.00,76.00
2026-04-29T12:34:00Z,43.00,68.00
2026-04-29T12:40:00Z,43.00,68.00
2026-04-29T12:42:00Z,43.00,61.00
2026-04-29T12:46:00Z,43.00,67.00
2026-04-29T12:50:00Z,43.00,67.40
2026-04-29T12:59:00Z,45.00,67.40
2026-04-29T13:02:00Z,44.00,64.00
2026-04-29T13:25:00Z,44.00,74.00
2026-04-29T13:29:00Z,44.00,71.00
2026-04-29T13:40:00Z,44.00,72.00
2026-04-29T13:45:00Z,44.00,83.00
2026-04-29T13:48:00Z,44.00,72.00
2026-04-29T13:53:00Z,38.00,72.00
2026-04-29T13:55:00Z,6.00,79.50
2026-04-29T13:59:00Z,6.00,73.00
2026-04-29T14:01:00Z,6.00,73.00
2026-04-29T14:03:00Z,33.00,73.00
2026-04-29T14:05:00Z,33.10,68.45
2026-04-29T14:06:00Z,34.00,65.81
2026-04-29T14:07:00Z,29.00,70.00
2026-04-29T14:08:00Z,28.00,70.00
2026-04-29T14:09:00Z,28.00,69.00
2026-04-29T14:10:00Z,36.00,69.00
2026-04-29T14:11:00Z,38.00,65.00
2026-04-29T14:12:00Z,38.00,67.68
2026-04-29T14:13:00Z,38.00,61.00
2026-04-29T14:14:00Z,44.45,62.86
2026-04-29T14:15:00Z,44.45,53.00
2026-04-29T14:16:00Z,44.45,60.04
2026-04-29T14:17:00Z,41.00,58.00
2026-04-29T14:18:00Z,46.25,58.00
2026-04-29T14:19:00Z,43.77,58.05
2026-04-29T14:20:00Z,38.00,65.00
2026-04-29T14:21:00Z,43.00,62.58
2026-04-29T14:22:00Z,41.55,60.00
2026-04-29T14:23:00Z,34.36,66.90
2026-04-29T14:25:00Z,26.00,72.56
2026-04-29T14:26:00Z,31.20,68.11
2026-04-29T14:27:00Z,31.25,71.00
2026-04-29T14:28:00Z,32.03,69.00
2026-04-29T14:29:00Z,32.03,69.09
2026-04-29T14:30:00Z,31.45,70.00
2026-04-29T14:31:00Z,35.23,64.00
2026-04-29T14:32:00Z,39.03,60.96
2026-04-29T14:33:00Z,40.33,59.14
2026-04-29T14:34:00Z,35.84,63.97
2026-04-29T14:35:00Z,42.70,56.22
2026-04-29T14:36:00Z,40.46,60.58
2026-04-29T14:37:00Z,36.79,62.39
2026-04-29T14:38:00Z,33.08,67.93
2026-04-29T14:39:00Z,33.08,70.03
2026-04-29T14:40:00Z,29.00,70.00
2026-04-29T14:41:00Z,27.27,71.40
2026-04-29T14:42:00Z,24.00,75.55
2026-04-29T14:43:00Z,29.25,71.08
2026-04-29T14:44:00Z,21.82,77.55
2026-04-29T14:45:00Z,19.00,82.00
2026-04-29T14:46:00Z,19.10,83.40
2026-04-29T14:47:00Z,16.80,84.16
2026-04-29T14:48:00Z,15.25,86.06
2026-04-29T14:49:00Z,14.00,86.61
2026-04-29T14:50:00Z,14.92,87.00
2026-04-29T14:51:00Z,14.59,87.00
2026-04-29T14:52:00Z,17.84,81.64
2026-04-29T14:53:00Z,17.10,85.48
2026-04-29T14:54:00Z,12.66,87.50
2026-04-29T14:55:00Z,10.16,91.06
2026-04-29T14:56:00Z,6.66,93.60
2026-04-29T14:57:00Z,8.07,93.34
2026-04-29T14:58:00Z,9.57,91.19
2026-04-29T14:59:00Z,10.50,91.44
2026-04-29T15:00:00Z,12.45,89.35
2026-04-29T15:01:00Z,9.54,92.00
2026-04-29T15:02:00Z,6.86,93.74
2026-04-29T15:03:00Z,4.04,96.00
2026-04-29T15:04:00Z,1.60,97.00
2026-04-29T15:05:00Z,3.07,97.00
2026-04-29T15:06:00Z,6.57,93.81
2026-04-29T15:07:00Z,7.36,93.00
2026-04-29T15:08:00Z,8.75,92.24
2026-04-29T15:09:00Z,9.08,92.11
2026-04-29T15:10:00Z,9.08,93.77
2026-04-29T15:11:00Z,5.00,96.00
2026-04-29T15:12:00Z,5.00,96.34
2026-04-29T15:13:00Z,1.68,96.91
2026-04-29T15:14:00Z,4.99,98.78
2026-04-29T15:15:00Z,2.00,99.00
2026-04-29T15:16:00Z,2.00,99.00
2026-04-29T15:17:00Z,1.00,99.00
2026-04-29T15:18:00Z,1.00,99.00
2026-04-29T15:22:00Z,1.00,99.00
