# event_ticker=KXATPCHALLENGERMATCH-26APR02MARPER
# final_score=7-6(3) 6-3
# score_resolution=7-6 6-3
# match_winner=Alex Martinez
# fav_player=Alex Martinez
# dog_player=Tiago Pereira
# kalshi_date=2026-04-02
timestamp,Alex Martinez,Tiago Pereira
2026-04-01T23:40:00Z,51.00,
2026-04-02T05:03:00Z,50.00,
2026-04-02T05:27:00Z,50.00,51.00
2026-04-02T05:43:00Z,49.00,51.00
2026-04-02T06:45:00Z,49.28,51.00
2026-04-02T06:52:00Z,49.00,51.00
2026-04-02T06:53:00Z,49.00,51.00
2026-04-02T06:56:00Z,49.00,51.00
2026-04-02T09:04:00Z,50.00,51.00
2026-04-02T09:05:00Z,50.00,51.00
2026-04-02T09:08:00Z,50.00,51.00
2026-04-02T09:09:00Z,50.00,51.00
2026-04-02T09:10:00Z,50.00,51.00
2026-04-02T09:11:00Z,50.00,51.00
2026-04-02T09:12:00Z,50.00,51.00
2026-04-02T09:15:00Z,49.44,51.00
2026-04-02T09:17:00Z,50.00,51.00
2026-04-02T09:26:00Z,50.00,52.95
2026-04-02T09:27:00Z,49.00,52.95
2026-04-02T09:32:00Z,49.00,52.44
2026-04-02T09:36:00Z,49.00,52.00
2026-04-02T09:38:00Z,49.00,53.00
2026-04-02T09:48:00Z,49.29,53.49
2026-04-02T09:49:00Z,49.29,53.64
2026-04-02T10:01:00Z,48.99,53.96
2026-04-02T10:04:00Z,48.78,53.96
2026-04-02T10:09:00Z,48.78,53.98
2026-04-02T10:10:00Z,48.86,53.98
2026-04-02T10:12:00Z,48.95,53.98
2026-04-02T10:14:00Z,48.95,53.96
2026-04-02T10:15:00Z,48.95,54.00
2026-04-02T10:17:00Z,48.95,54.00
2026-04-02T10:20:00Z,48.95,54.00
2026-04-02T10:21:00Z,48.00,54.00
2026-04-02T10:22:00Z,48.00,54.00
2026-04-02T10:26:00Z,48.00,51.10
2026-04-02T10:27:00Z,49.46,51.10
2026-04-02T10:31:00Z,49.46,54.13
2026-04-02T10:33:00Z,48.44,54.13
2026-04-02T10:34:00Z,48.00,54.00
2026-04-02T10:35:00Z,47.68,54.80
2026-04-02T10:36:00Z,48.00,54.72
2026-04-02T10:37:00Z,48.97,54.74
2026-04-02T10:38:00Z,48.95,54.00
2026-04-02T10:39:00Z,52.00,48.11
2026-04-02T10:40:00Z,55.64,46.05
2026-04-02T10:41:00Z,59.54,42.52
2026-04-02T10:42:00Z,54.00,47.56
2026-04-02T10:43:00Z,52.00,48.00
2026-04-02T10:44:00Z,47.69,56.38
2026-04-02T10:45:00Z,47.00,55.74
2026-04-02T10:46:00Z,47.00,51.00
2026-04-02T10:47:00Z,50.33,52.41
2026-04-02T10:48:00Z,53.29,44.00
2026-04-02T10:49:00Z,57.13,45.86
2026-04-02T10:50:00Z,62.65,44.45
2026-04-02T10:51:00Z,55.63,44.88
2026-04-02T10:52:00Z,64.18,41.83
2026-04-02T10:53:00Z,68.45,30.73
2026-04-02T10:54:00Z,72.33,29.26
2026-04-02T10:55:00Z,73.66,28.09
2026-04-02T10:56:00Z,73.00,29.00
2026-04-02T10:57:00Z,72.72,25.77
2026-04-02T10:58:00Z,75.00,26.74
2026-04-02T10:59:00Z,69.21,32.99
2026-04-02T11:00:00Z,69.65,28.00
2026-04-02T11:01:00Z,72.76,31.43
2026-04-02T11:02:00Z,63.00,36.73
2026-04-02T11:03:00Z,62.39,38.63
2026-04-02T11:04:00Z,69.05,33.58
2026-04-02T11:05:00Z,66.07,34.37
2026-04-02T11:06:00Z,71.62,34.37
2026-04-02T11:07:00Z,78.10,26.00
2026-04-02T11:08:00Z,73.00,24.03
2026-04-02T11:09:00Z,72.98,27.72
2026-04-02T11:10:00Z,73.00,26.20
2026-04-02T11:11:00Z,72.33,28.00
2026-04-02T11:12:00Z,72.33,30.26
2026-04-02T11:13:00Z,61.45,38.78
2026-04-02T11:14:00Z,67.99,32.91
2026-04-02T11:15:00Z,66.07,34.65
2026-04-02T11:16:00Z,56.44,40.81
2026-04-02T11:17:00Z,51.00,47.31
2026-04-02T11:18:00Z,50.74,50.98
2026-04-02T11:19:00Z,47.00,55.90
2026-04-02T11:20:00Z,44.94,54.08
2026-04-02T11:21:00Z,46.96,52.00
2026-04-02T11:22:00Z,51.36,50.14
2026-04-02T11:23:00Z,52.97,52.78
2026-04-02T11:24:00Z,47.00,53.00
2026-04-02T11:25:00Z,45.11,54.85
2026-04-02T11:26:00Z,51.21,48.75
2026-04-02T11:27:00Z,54.28,48.81
2026-04-02T11:28:00Z,58.34,45.15
2026-04-02T11:29:00Z,60.87,38.64
2026-04-02T11:30:00Z,63.98,38.64
2026-04-02T11:31:00Z,61.24,35.11
2026-04-02T11:32:00Z,69.29,29.94
2026-04-02T11:33:00Z,71.11,29.00
2026-04-02T11:34:00Z,71.00,29.00
2026-04-02T11:35:00Z,71.00,30.00
