# event_ticker=KXATPMATCH-26JUN12SHESHI
# final_score=4-6 6-3 6-4
# match_winner=Ben Shelton
# fav_player=Ben Shelton
# dog_player=Sho Shimabukuro
# kalshi_date=2026-06-12
timestamp,Ben Shelton,Sho Shimabukuro
2026-06-12T21:41:00Z,46.98,52.53
2026-06-12T21:42:00Z,47.26,53.00
2026-06-12T21:43:00Z,48.00,54.00
2026-06-12T21:44:00Z,46.44,54.00
2026-06-12T21:45:00Z,47.38,53.29
2026-06-12T21:46:00Z,46.73,52.01
2026-06-12T21:47:00Z,45.20,53.82
2026-06-12T21:48:00Z,45.87,52.22
2026-06-12T21:49:00Z,47.38,55.00
2026-06-12T21:50:00Z,46.78,55.00
2026-06-12T21:51:00Z,46.96,55.00
2026-06-12T21:52:00Z,46.73,52.00
2026-06-12T21:53:00Z,46.03,54.38
2026-06-12T21:54:00Z,47.33,53.99
2026-06-12T21:55:00Z,47.33,52.87
2026-06-12T21:56:00Z,47.00,54.00
2026-06-12T21:57:00Z,46.07,54.00
2026-06-12T21:58:00Z,47.00,54.46
2026-06-12T21:59:00Z,47.00,53.10
2026-06-12T22:00:00Z,46.52,53.46
2026-06-12T22:01:00Z,46.85,53.46
2026-06-12T22:02:00Z,46.51,55.00
2026-06-12T22:03:00Z,46.07,54.00
2026-06-12T22:04:00Z,46.65,53.06
2026-06-12T22:05:00Z,47.00,53.86
2026-06-12T22:06:00Z,46.82,54.00
2026-06-12T22:07:00Z,46.12,53.00
2026-06-12T22:09:00Z,47.00,53.00
2026-06-12T22:10:00Z,47.00,53.00
2026-06-12T22:11:00Z,46.66,53.25
2026-06-12T22:12:00Z,46.00,53.20
2026-06-12T22:13:00Z,47.00,54.00
2026-06-12T22:14:00Z,47.00,53.95
2026-06-12T22:15:00Z,46.18,53.17
2026-06-12T22:16:00Z,46.13,54.00
2026-06-12T22:17:00Z,47.00,54.00
2026-06-12T22:18:00Z,46.66,53.00
2026-06-12T22:19:00Z,46.16,53.03
2026-06-12T22:20:00Z,46.33,54.00
2026-06-12T22:21:00Z,46.96,53.64
2026-06-12T22:22:00Z,46.86,54.00
2026-06-12T22:23:00Z,46.94,53.80
2026-06-12T22:24:00Z,47.00,53.96
2026-06-12T22:25:00Z,46.11,53.00
2026-06-12T22:26:00Z,46.85,53.96
2026-06-12T22:27:00Z,47.42,53.86
2026-06-12T22:28:00Z,47.97,53.00
2026-06-12T22:29:00Z,47.62,53.31
2026-06-12T22:30:00Z,46.64,53.31
2026-06-12T22:31:00Z,48.00,53.00
2026-06-12T22:32:00Z,46.00,53.00
2026-06-12T22:33:00Z,47.19,54.00
2026-06-12T22:34:00Z,48.00,54.00
2026-06-12T22:35:00Z,47.46,54.00
2026-06-12T22:36:00Z,48.00,53.46
2026-06-12T22:37:00Z,46.00,53.46
2026-06-12T22:38:00Z,47.66,53.46
2026-06-12T22:39:00Z,46.08,53.46
2026-06-12T22:40:00Z,46.41,54.00
2026-06-12T22:41:00Z,46.00,54.00
2026-06-12T22:42:00Z,46.33,54.00
2026-06-12T22:43:00Z,47.63,53.00
2026-06-12T22:44:00Z,47.63,53.00
2026-06-12T22:45:00Z,46.62,54.00
2026-06-12T22:46:00Z,47.91,53.00
2026-06-12T22:47:00Z,48.00,53.00
2026-06-12T22:48:00Z,47.86,53.64
2026-06-12T22:49:00Z,46.65,54.00
2026-06-12T22:50:00Z,48.00,53.35
2026-06-12T22:51:00Z,46.46,53.35
2026-06-12T22:52:00Z,46.46,54.00
2026-06-12T22:53:00Z,47.05,52.01
2026-06-12T22:54:00Z,47.89,53.60
2026-06-12T22:55:00Z,46.00,54.00
2026-06-12T22:56:00Z,48.00,52.00
2026-06-12T22:57:00Z,47.73,54.00
2026-06-12T22:58:00Z,48.00,54.00
2026-06-12T22:59:00Z,46.02,52.00
2026-06-12T23:00:00Z,46.02,52.00
2026-06-12T23:01:00Z,46.02,54.00
2026-06-12T23:02:00Z,46.02,54.00
2026-06-12T23:03:00Z,46.55,53.02
2026-06-12T23:04:00Z,46.24,54.00
2026-06-12T23:05:00Z,46.14,53.00
2026-06-12T23:06:00Z,46.21,53.00
2026-06-12T23:07:00Z,46.48,53.00
2026-06-12T23:08:00Z,46.83,53.00
2026-06-12T23:09:00Z,46.25,53.00
2026-06-12T23:10:00Z,47.00,53.00
2026-06-12T23:11:00Z,47.00,54.00
2026-06-12T23:12:00Z,46.88,53.00
2026-06-12T23:13:00Z,47.00,54.00
2026-06-12T23:14:00Z,46.81,54.00
2026-06-12T23:15:00Z,47.00,54.00
2026-06-12T23:16:00Z,45.10,54.00
2026-06-12T23:17:00Z,45.10,55.00
2026-06-12T23:18:00Z,45.13,55.00
2026-06-12T23:19:00Z,45.00,55.00
2026-06-12T23:20:00Z,46.77,53.00
2026-06-12T23:21:00Z,46.00,53.03
2026-06-12T23:22:00Z,46.05,53.00
2026-06-12T23:23:00Z,46.00,53.00
2026-06-12T23:24:00Z,46.00,54.00
2026-06-12T23:25:00Z,47.90,54.00
2026-06-12T23:26:00Z,46.39,54.00
2026-06-12T23:27:00Z,46.00,54.00
2026-06-12T23:28:00Z,48.00,54.00
2026-06-12T23:29:00Z,46.40,54.00
2026-06-12T23:30:00Z,47.00,52.16
2026-06-12T23:31:00Z,46.58,52.16
2026-06-12T23:32:00Z,48.00,52.00
2026-06-12T23:33:00Z,47.32,53.00
2026-06-12T23:34:00Z,46.00,52.48
2026-06-12T23:35:00Z,47.01,52.00
2026-06-12T23:36:00Z,47.02,52.00
2026-06-12T23:37:00Z,47.00,53.00
2026-06-12T23:38:00Z,47.00,52.00
2026-06-12T23:39:00Z,47.00,53.87
