# event_ticker=KXATPMATCH-26MAY13RUUKHA
# final_score=6-1 1-6 6-2
# match_winner=Casper Ruud
# fav_player=Casper Ruud
# dog_player=Karen Khachanov
# kalshi_date=2026-05-13
timestamp,Casper Ruud,Karen Khachanov
2026-05-13T03:45:00Z,79.00,23.00
2026-05-13T03:49:00Z,79.00,23.00
2026-05-13T03:51:00Z,79.00,23.00
2026-05-13T03:53:00Z,79.00,23.00
2026-05-13T03:55:00Z,79.00,23.00
2026-05-13T04:00:00Z,79.00,23.00
2026-05-13T04:02:00Z,79.00,23.00
2026-05-13T04:03:00Z,79.00,23.00
2026-05-13T04:04:00Z,79.00,23.00
2026-05-13T04:05:00Z,79.00,23.00
2026-05-13T04:06:00Z,79.00,23.00
2026-05-13T04:07:00Z,79.00,23.00
2026-05-13T04:08:00Z,79.00,23.00
2026-05-13T04:10:00Z,79.00,23.00
2026-05-13T04:11:00Z,79.00,23.00
2026-05-13T04:12:00Z,79.00,23.00
2026-05-13T04:13:00Z,79.00,23.00
2026-05-13T04:14:00Z,79.00,23.00
2026-05-13T04:15:00Z,78.00,23.00
2026-05-13T04:16:00Z,79.00,23.00
2026-05-13T04:17:00Z,79.00,23.00
2026-05-13T04:18:00Z,79.00,23.00
2026-05-13T04:19:00Z,78.00,23.00
2026-05-13T04:21:00Z,79.00,23.00
2026-05-13T04:22:00Z,79.00,23.00
2026-05-13T04:23:00Z,79.00,23.00
2026-05-13T04:24:00Z,79.00,23.00
2026-05-13T04:25:00Z,79.00,23.00
2026-05-13T04:26:00Z,79.00,23.00
2026-05-13T04:29:00Z,79.00,23.00
2026-05-13T04:31:00Z,79.00,23.00
2026-05-13T04:33:00Z,79.00,23.00
2026-05-13T04:36:00Z,79.00,23.00
2026-05-13T04:38:00Z,79.00,23.00
2026-05-13T04:39:00Z,78.99,23.00
2026-05-13T04:41:00Z,79.00,23.00
2026-05-13T04:42:00Z,79.00,23.00
2026-05-13T04:43:00Z,79.00,23.00
