# event_ticker=KXATPCHALLENGERMATCH-26MAR10COUDEN
# final_score=6-4 6-3
# score_resolution=4-6 3-6
# match_winner=Corentin Denolly
# fav_player=Eliakim Coulibaly
# dog_player=Corentin Denolly
# kalshi_date=2026-03-10
timestamp,Eliakim Coulibaly,Corentin Denolly
2026-03-09T22:36:00Z,57.00,
2026-03-10T04:52:00Z,55.00,
2026-03-10T07:14:00Z,55.00,
2026-03-10T07:39:00Z,55.00,47.00
2026-03-10T08:55:00Z,55.00,47.00
2026-03-10T08:59:00Z,53.00,47.00
2026-03-10T09:01:00Z,53.00,47.00
2026-03-10T09:02:00Z,53.00,47.00
2026-03-10T09:04:00Z,53.00,48.00
2026-03-10T09:08:00Z,53.00,48.00
2026-03-10T09:09:00Z,53.00,48.00
2026-03-10T09:10:00Z,52.00,48.00
2026-03-10T09:12:00Z,54.00,47.00
2026-03-10T09:13:00Z,54.00,45.04
2026-03-10T09:15:00Z,60.00,45.04
2026-03-10T09:16:00Z,61.00,45.04
2026-03-10T09:18:00Z,54.00,45.04
2026-03-10T09:21:00Z,55.00,45.04
2026-03-10T09:22:00Z,54.00,45.04
2026-03-10T09:23:00Z,56.25,45.04
2026-03-10T09:24:00Z,57.00,45.04
2026-03-10T09:25:00Z,58.33,45.04
2026-03-10T09:26:00Z,57.00,46.00
2026-03-10T09:27:00Z,61.00,46.00
2026-03-10T09:28:00Z,60.63,41.10
2026-03-10T09:29:00Z,53.00,41.10
2026-03-10T09:30:00Z,56.62,41.10
2026-03-10T09:31:00Z,58.50,41.10
2026-03-10T09:32:00Z,58.00,41.10
2026-03-10T09:33:00Z,56.50,41.10
2026-03-10T09:34:00Z,63.00,41.10
2026-03-10T09:35:00Z,58.21,41.10
2026-03-10T09:36:00Z,61.00,41.10
2026-03-10T09:37:00Z,56.00,41.10
2026-03-10T09:38:00Z,58.02,41.10
2026-03-10T09:39:00Z,52.49,48.51
2026-03-10T09:40:00Z,53.00,52.00
2026-03-10T09:41:00Z,54.66,49.00
2026-03-10T09:42:00Z,49.13,51.00
2026-03-10T09:43:00Z,48.00,51.00
2026-03-10T09:44:00Z,54.00,51.00
2026-03-10T09:45:00Z,50.72,54.00
2026-03-10T09:46:00Z,49.69,54.00
2026-03-10T09:47:00Z,33.13,65.55
2026-03-10T09:48:00Z,32.80,70.00
2026-03-10T09:49:00Z,28.89,72.75
2026-03-10T09:50:00Z,26.43,72.75
2026-03-10T09:51:00Z,27.63,72.75
2026-03-10T09:54:00Z,27.63,72.17
2026-03-10T09:55:00Z,28.50,72.33
2026-03-10T09:56:00Z,27.01,75.00
2026-03-10T09:57:00Z,27.01,70.00
2026-03-10T09:58:00Z,37.00,70.00
2026-03-10T09:59:00Z,24.00,70.00
2026-03-10T10:00:00Z,25.00,77.00
2026-03-10T10:02:00Z,25.00,75.00
2026-03-10T10:05:00Z,25.00,76.00
2026-03-10T10:07:00Z,27.00,76.00
2026-03-10T10:10:00Z,38.97,57.00
2026-03-10T10:11:00Z,36.00,70.80
2026-03-10T10:12:00Z,29.09,70.46
2026-03-10T10:13:00Z,32.45,70.46
2026-03-10T10:14:00Z,29.00,70.46
2026-03-10T10:15:00Z,27.00,74.20
2026-03-10T10:16:00Z,26.00,76.05
2026-03-10T10:17:00Z,15.41,84.63
2026-03-10T10:18:00Z,13.00,84.63
2026-03-10T10:20:00Z,13.00,90.49
2026-03-10T10:21:00Z,6.00,93.00
2026-03-10T10:22:00Z,7.00,94.00
2026-03-10T10:23:00Z,10.00,91.45
2026-03-10T10:24:00Z,10.00,91.45
2026-03-10T10:25:00Z,11.22,90.00
2026-03-10T10:26:00Z,14.98,88.70
2026-03-10T10:27:00Z,14.98,90.00
2026-03-10T10:28:00Z,7.00,90.00
2026-03-10T10:29:00Z,8.00,94.00
2026-03-10T10:30:00Z,4.13,95.49
2026-03-10T10:31:00Z,5.92,95.70
2026-03-10T10:32:00Z,5.92,97.00
2026-03-10T10:33:00Z,7.00,96.67
2026-03-10T10:34:00Z,5.93,94.09
2026-03-10T10:35:00Z,6.00,96.00
2026-03-10T10:36:00Z,4.00,98.21
2026-03-10T10:37:00Z,7.00,96.27
2026-03-10T10:38:00Z,6.00,96.27
2026-03-10T10:39:00Z,7.00,96.27
2026-03-10T10:40:00Z,7.00,95.27
2026-03-10T10:41:00Z,5.01,95.27
2026-03-10T10:42:00Z,3.00,98.00
2026-03-10T10:43:00Z,1.00,99.00
2026-03-10T10:44:00Z,1.00,98.00
2026-03-10T10:45:00Z,1.00,98.00
