# event_ticker=KXATPCHALLENGERMATCH-26APR16GADVIT
# final_score=6-4 6-2
# match_winner=Buvaysar Gadamauri
# fav_player=Buvaysar Gadamauri
# dog_player=Leo Vithoontien
# kalshi_date=2026-04-16
timestamp,Buvaysar Gadamauri,Leo Vithoontien
2026-04-15T19:58:00Z,91.00,
2026-04-15T20:03:00Z,91.00,11.94
2026-04-15T20:06:00Z,90.00,12.00
2026-04-15T20:22:00Z,90.00,12.00
2026-04-15T21:03:00Z,87.38,12.00
2026-04-15T21:23:00Z,88.00,12.00
2026-04-15T21:27:00Z,87.00,12.00
2026-04-15T21:43:00Z,88.00,12.00
2026-04-15T22:00:00Z,87.00,12.00
2026-04-15T22:02:00Z,87.00,12.00
2026-04-15T22:18:00Z,87.00,13.00
2026-04-15T22:59:00Z,87.00,13.00
2026-04-15T23:17:00Z,88.00,13.00
2026-04-15T23:34:00Z,88.00,13.00
2026-04-15T23:35:00Z,88.00,13.00
2026-04-16T00:10:00Z,88.00,13.00
2026-04-16T01:07:00Z,88.00,13.00
2026-04-16T01:10:00Z,88.00,13.00
2026-04-16T01:13:00Z,88.00,13.00
2026-04-16T01:24:00Z,88.00,13.00
2026-04-16T01:27:00Z,88.00,13.00
2026-04-16T02:11:00Z,88.00,13.00
2026-04-16T02:18:00Z,88.00,13.00
2026-04-16T02:26:00Z,88.00,13.00
2026-04-16T02:36:00Z,88.00,13.00
2026-04-16T02:43:00Z,88.00,13.00
2026-04-16T02:45:00Z,88.00,13.00
2026-04-16T02:49:00Z,88.00,13.00
2026-04-16T02:52:00Z,88.00,13.00
2026-04-16T02:53:00Z,88.00,13.00
2026-04-16T03:04:00Z,88.00,13.00
2026-04-16T03:09:00Z,88.00,13.00
2026-04-16T03:11:00Z,88.00,13.00
2026-04-16T03:27:00Z,88.00,13.00
2026-04-16T03:37:00Z,88.00,13.00
2026-04-16T03:57:00Z,88.00,13.00
2026-04-16T04:00:00Z,88.00,13.00
2026-04-16T04:02:00Z,88.00,13.00
2026-04-16T04:07:00Z,88.00,13.00
2026-04-16T04:13:00Z,88.00,13.00
2026-04-16T04:19:00Z,88.00,13.00
2026-04-16T04:30:00Z,88.00,13.00
2026-04-16T04:31:00Z,88.00,13.00
2026-04-16T04:39:00Z,88.00,13.31
2026-04-16T04:41:00Z,88.00,14.00
2026-04-16T04:44:00Z,88.00,14.00
