# event_ticker=KXATPMATCH-26JAN11SCHHIJ
# final_score=6-4 6-4
# match_winner=Rinky Hijikata
# fav_player=Rinky Hijikata
# dog_player=Tristan Schoolkate
# kalshi_date=2026-01-11
timestamp,Rinky Hijikata,Tristan Schoolkate
2026-01-12T14:34:00Z,58.00,
2026-01-12T16:35:00Z,57.00,
2026-01-12T17:17:00Z,57.00,44.00
2026-01-12T18:11:00Z,57.00,44.00
2026-01-12T18:12:00Z,57.00,44.00
2026-01-12T18:31:00Z,56.00,44.00
2026-01-12T19:04:00Z,57.00,44.00
2026-01-12T19:33:00Z,57.00,44.00
2026-01-12T20:51:00Z,57.00,44.00
2026-01-12T21:44:00Z,57.00,44.00
2026-01-12T21:56:00Z,57.00,44.00
2026-01-12T22:20:00Z,57.00,44.00
2026-01-12T22:22:00Z,57.00,44.00
2026-01-12T22:48:00Z,57.00,44.00
2026-01-12T23:15:00Z,57.00,44.00
2026-01-12T23:27:00Z,57.00,44.00
2026-01-12T23:35:00Z,57.00,44.00
2026-01-12T23:44:00Z,57.00,44.00
2026-01-12T23:50:00Z,57.00,44.00
2026-01-13T00:17:00Z,57.00,44.00
2026-01-13T00:28:00Z,57.00,44.00
2026-01-13T01:05:00Z,57.00,44.00
2026-01-13T01:12:00Z,57.00,44.00
2026-01-13T01:21:00Z,57.00,44.00
2026-01-13T01:24:00Z,57.00,44.00
2026-01-13T01:32:00Z,57.00,44.00
2026-01-13T01:38:00Z,57.00,44.00
2026-01-13T01:42:00Z,57.00,44.00
2026-01-13T01:46:00Z,57.00,42.00
2026-01-13T01:49:00Z,57.00,42.00
2026-01-13T01:56:00Z,57.00,42.00
2026-01-13T02:10:00Z,57.00,42.00
2026-01-13T02:12:00Z,56.00,44.00
2026-01-13T02:14:00Z,49.00,50.00
2026-01-13T02:15:00Z,51.93,47.00
2026-01-13T02:16:00Z,56.44,45.00
2026-01-13T02:17:00Z,54.96,45.00
2026-01-13T02:20:00Z,57.00,45.00
2026-01-13T02:21:00Z,61.41,45.00
2026-01-13T02:25:00Z,77.01,45.00
2026-01-13T02:29:00Z,77.01,24.58
2026-01-13T02:31:00Z,77.00,25.00
2026-01-13T02:33:00Z,71.00,37.00
2026-01-13T02:35:00Z,58.00,42.60
2026-01-13T02:36:00Z,69.00,42.60
2026-01-13T02:37:00Z,74.00,42.60
2026-01-13T02:38:00Z,74.00,25.00
2026-01-13T02:41:00Z,73.00,27.00
2026-01-13T02:43:00Z,81.00,19.14
2026-01-13T02:44:00Z,81.00,22.40
2026-01-13T02:45:00Z,81.00,22.40
2026-01-13T02:48:00Z,81.00,20.00
2026-01-13T02:49:00Z,81.00,22.00
2026-01-13T02:50:00Z,81.00,22.00
2026-01-13T02:51:00Z,84.00,22.00
2026-01-13T02:53:00Z,84.00,18.00
2026-01-13T02:54:00Z,84.00,18.00
2026-01-13T02:55:00Z,83.00,18.94
2026-01-13T02:56:00Z,81.00,20.90
2026-01-13T02:57:00Z,80.00,22.00
2026-01-13T02:58:00Z,81.00,21.25
2026-01-13T02:59:00Z,82.00,21.25
2026-01-13T03:00:00Z,84.00,16.27
2026-01-13T03:01:00Z,85.00,15.00
2026-01-13T03:02:00Z,83.33,16.40
2026-01-13T03:03:00Z,83.33,19.04
2026-01-13T03:04:00Z,83.33,21.00
2026-01-13T03:05:00Z,83.33,21.00
2026-01-13T03:06:00Z,78.88,22.53
2026-01-13T03:07:00Z,78.88,19.00
2026-01-13T03:08:00Z,84.65,16.00
2026-01-13T03:09:00Z,88.00,16.00
2026-01-13T03:10:00Z,88.91,12.28
2026-01-13T03:11:00Z,92.53,6.46
2026-01-13T03:12:00Z,94.97,6.46
2026-01-13T03:13:00Z,95.69,4.55
2026-01-13T03:14:00Z,97.00,2.99
2026-01-13T03:15:00Z,97.00,4.00
2026-01-13T03:16:00Z,97.00,3.63
2026-01-13T03:17:00Z,95.99,4.00
2026-01-13T03:18:00Z,95.99,5.00
2026-01-13T03:19:00Z,95.07,5.51
2026-01-13T03:20:00Z,96.99,3.92
2026-01-13T03:21:00Z,98.03,2.21
2026-01-13T03:22:00Z,98.78,3.00
2026-01-13T03:23:00Z,98.00,2.45
2026-01-13T03:24:00Z,98.00,3.33
2026-01-13T03:25:00Z,98.00,3.00
2026-01-13T03:26:00Z,92.24,7.12
2026-01-13T03:27:00Z,93.08,7.93
2026-01-13T03:28:00Z,89.38,9.98
2026-01-13T03:29:00Z,97.33,2.76
2026-01-13T03:30:00Z,98.88,1.72
2026-01-13T03:32:00Z,99.00,1.72
2026-01-13T03:37:00Z,99.00,1.72
