# event_ticker=KXATPMATCH-25JUL21TSEZEP
# final_score=7-5 6-4
# match_winner=Chun-Hsin Tseng
# fav_player=Chun Hsin Tseng
# dog_player=Giulio Zeppieri
# kalshi_date=2025-07-21
timestamp,Chun Hsin Tseng,Giulio Zeppieri
2025-07-21T03:24:00Z,,51.00
2025-07-21T03:51:00Z,63.00,51.00
2025-07-21T03:59:00Z,63.00,59.00
2025-07-21T04:00:00Z,53.00,73.88
2025-07-21T04:16:00Z,55.00,73.88
2025-07-21T04:18:00Z,56.00,47.00
2025-07-21T04:40:00Z,56.00,46.25
2025-07-21T04:43:00Z,56.00,39.00
2025-07-21T05:18:00Z,60.00,39.00
2025-07-21T06:17:00Z,60.00,67.07
2025-07-21T12:01:00Z,53.33,67.07
2025-07-21T12:02:00Z,53.33,56.00
2025-07-21T12:09:00Z,45.00,56.00
2025-07-21T12:16:00Z,45.00,44.00
2025-07-21T13:18:00Z,45.00,53.33
2025-07-21T13:43:00Z,45.00,55.00
2025-07-21T13:51:00Z,45.00,55.01
2025-07-21T14:09:00Z,45.00,55.01
2025-07-21T14:31:00Z,45.00,56.00
2025-07-21T14:38:00Z,46.00,57.00
2025-07-21T14:39:00Z,46.00,57.00
2025-07-21T14:40:00Z,46.00,57.00
2025-07-21T14:41:00Z,46.00,61.00
2025-07-21T14:42:00Z,49.00,61.00
2025-07-21T14:43:00Z,72.50,54.00
2025-07-21T14:44:00Z,72.50,58.62
2025-07-21T14:45:00Z,72.50,59.00
2025-07-21T14:46:00Z,50.52,60.24
2025-07-21T14:47:00Z,38.50,63.18
2025-07-21T14:48:00Z,46.85,55.00
2025-07-21T14:49:00Z,54.71,55.00
2025-07-21T14:51:00Z,54.71,57.02
2025-07-21T14:53:00Z,43.00,59.00
2025-07-21T14:56:00Z,45.00,56.00
2025-07-21T14:57:00Z,45.00,58.00
2025-07-21T14:58:00Z,45.00,58.00
2025-07-21T14:59:00Z,43.00,60.00
2025-07-21T15:02:00Z,43.00,60.00
2025-07-21T15:03:00Z,86.58,25.00
2025-07-21T15:04:00Z,45.00,75.00
2025-07-21T15:06:00Z,58.00,75.00
2025-07-21T15:08:00Z,58.00,48.00
2025-07-21T15:09:00Z,58.00,55.00
2025-07-21T15:10:00Z,45.76,70.57
2025-07-21T15:12:00Z,46.19,65.61
2025-07-21T15:13:00Z,46.19,71.42
2025-07-21T15:14:00Z,28.25,86.67
2025-07-21T15:15:00Z,28.25,63.42
2025-07-21T15:16:00Z,32.00,73.76
2025-07-21T15:17:00Z,27.04,73.53
2025-07-21T15:18:00Z,34.93,83.33
2025-07-21T15:19:00Z,37.00,83.33
2025-07-21T15:20:00Z,28.00,71.00
2025-07-21T15:22:00Z,28.00,85.00
2025-07-21T15:23:00Z,28.00,74.96
2025-07-21T15:24:00Z,26.00,71.99
2025-07-21T15:25:00Z,26.00,90.76
2025-07-21T15:26:00Z,22.55,81.90
2025-07-21T15:27:00Z,22.55,91.00
2025-07-21T15:28:00Z,22.55,68.48
2025-07-21T15:29:00Z,34.78,68.48
2025-07-21T15:30:00Z,36.63,63.70
2025-07-21T15:31:00Z,43.00,63.70
2025-07-21T15:32:00Z,44.00,55.58
2025-07-21T15:33:00Z,57.00,48.00
2025-07-21T15:34:00Z,57.00,40.05
2025-07-21T15:35:00Z,57.00,54.00
2025-07-21T15:37:00Z,73.76,54.00
2025-07-21T15:38:00Z,73.76,26.00
2025-07-21T15:39:00Z,73.76,29.94
2025-07-21T15:40:00Z,73.76,29.00
2025-07-21T15:41:00Z,73.76,29.00
2025-07-21T15:44:00Z,71.17,31.00
2025-07-21T15:45:00Z,68.00,31.00
2025-07-21T15:47:00Z,69.00,31.00
2025-07-21T15:48:00Z,69.00,31.00
2025-07-21T15:49:00Z,69.00,33.26
2025-07-21T15:50:00Z,69.00,31.00
2025-07-21T15:51:00Z,69.00,29.88
2025-07-21T15:52:00Z,77.00,25.80
2025-07-21T15:53:00Z,84.05,16.00
2025-07-21T15:54:00Z,89.00,12.00
2025-07-21T15:55:00Z,89.76,11.00
2025-07-21T15:56:00Z,87.30,14.00
2025-07-21T15:57:00Z,90.01,14.00
2025-07-21T15:58:00Z,92.88,14.00
2025-07-21T15:59:00Z,94.00,11.10
2025-07-21T16:00:00Z,93.00,11.10
2025-07-21T16:01:00Z,91.00,9.00
2025-07-21T16:02:00Z,91.00,9.67
2025-07-21T16:03:00Z,93.00,9.67
2025-07-21T16:04:00Z,93.00,7.00
2025-07-21T16:05:00Z,93.00,4.05
2025-07-21T16:06:00Z,93.00,3.79
2025-07-21T16:07:00Z,96.00,3.79
2025-07-21T16:08:00Z,98.00,2.30
2025-07-21T16:09:00Z,98.00,2.30
2025-07-21T16:10:00Z,98.24,2.30
2025-07-21T16:11:00Z,99.00,2.30
2025-07-21T16:12:00Z,98.54,2.00
2025-07-21T16:13:00Z,96.85,5.40
2025-07-21T16:14:00Z,96.85,5.47
2025-07-21T16:15:00Z,96.85,6.00
2025-07-21T16:16:00Z,96.85,5.00
2025-07-21T16:17:00Z,96.82,5.00
2025-07-21T16:19:00Z,99.00,5.00
2025-07-21T16:20:00Z,99.00,5.00
2025-07-21T16:21:00Z,99.00,5.00
