# event_ticker=KXATPMATCH-25OCT05GOFDIA
# final_score=3-0 RET
# match_winner=Gabriel Diallo
# fav_player=David Goffin
# dog_player=Gabriel Diallo
# kalshi_date=2025-10-05
timestamp,David Goffin,Gabriel Diallo
2025-10-05T04:45:00Z,34.31,69.00
2025-10-05T04:46:00Z,34.95,66.87
2025-10-05T04:47:00Z,31.99,75.83
2025-10-05T04:48:00Z,20.06,79.12
2025-10-05T04:49:00Z,16.57,83.55
2025-10-05T04:50:00Z,16.98,84.04
2025-10-05T04:51:00Z,15.79,86.76
2025-10-05T04:52:00Z,3.74,92.79
2025-10-05T04:53:00Z,1.32,96.89
2025-10-05T04:54:00Z,1.00,98.16
2025-10-05T04:55:00Z,1.00,98.16
2025-10-05T04:56:00Z,1.00,98.00
2025-10-05T04:59:00Z,1.00,98.00
2025-10-05T05:00:00Z,1.00,98.00
2025-10-05T05:01:00Z,1.00,95.53
2025-10-05T05:02:00Z,1.00,95.53
2025-10-05T05:03:00Z,1.00,95.53
2025-10-05T05:04:00Z,1.00,79.00
2025-10-05T05:05:00Z,1.00,94.00
2025-10-05T05:07:00Z,1.00,94.00
2025-10-05T05:08:00Z,1.00,94.00
2025-10-05T05:11:00Z,1.00,94.00
2025-10-05T05:12:00Z,1.00,94.00
2025-10-05T05:13:00Z,1.00,94.00
2025-10-05T05:15:00Z,1.00,94.00
2025-10-05T05:17:00Z,1.00,94.00
2025-10-05T05:19:00Z,1.00,94.00
2025-10-05T05:20:00Z,1.00,94.00
2025-10-05T05:22:00Z,1.00,99.00
2025-10-05T05:23:00Z,1.00,99.00
2025-10-05T05:27:00Z,1.00,96.00
2025-10-05T05:28:00Z,1.00,96.00
2025-10-05T05:30:00Z,1.00,96.00
2025-10-05T05:31:00Z,1.00,96.00
2025-10-05T05:36:00Z,1.00,99.00
2025-10-05T05:37:00Z,1.00,99.00
2025-10-05T05:39:00Z,1.00,99.00
2025-10-05T05:45:00Z,1.00,99.00
2025-10-05T05:59:00Z,1.00,99.00
2025-10-05T06:17:00Z,1.00,99.00
2025-10-05T06:40:00Z,1.00,99.00
2025-10-05T06:49:00Z,1.00,99.00
2025-10-05T06:51:00Z,1.00,99.00
2025-10-05T07:04:00Z,1.00,99.00
2025-10-05T07:25:00Z,1.00,99.00
2025-10-05T07:32:00Z,1.00,99.00
2025-10-05T07:39:00Z,1.00,99.00
2025-10-05T07:41:00Z,1.00,99.00
2025-10-05T07:46:00Z,1.00,99.00
2025-10-05T07:57:00Z,1.00,99.00
2025-10-05T08:02:00Z,1.00,99.00
2025-10-05T08:30:00Z,1.00,99.00
2025-10-05T09:21:00Z,1.00,99.00
2025-10-05T11:20:00Z,1.00,99.00
2025-10-05T11:22:00Z,1.00,99.00
2025-10-05T12:03:00Z,1.00,99.00
2025-10-05T12:40:00Z,1.00,99.00
2025-10-05T13:07:00Z,1.00,99.00
2025-10-05T13:23:00Z,1.00,99.00
2025-10-05T14:07:00Z,1.00,99.00
2025-10-05T14:12:00Z,1.00,99.00
2025-10-05T14:26:00Z,1.00,99.00
2025-10-05T14:49:00Z,1.00,99.00
2025-10-05T14:53:00Z,1.00,99.00
2025-10-05T15:30:00Z,1.00,99.00
2025-10-05T16:16:00Z,1.00,99.00
2025-10-05T16:44:00Z,1.00,99.00
2025-10-05T16:46:00Z,1.00,99.00
