# event_ticker=KXATPMATCH-25SEP26RUUBER
# final_score=7-6(4) 6-2
# score_resolution=7-6 6-2
# match_winner=Casper Ruud
# fav_player=Casper Ruud
# dog_player=Matteo Berrettini
# kalshi_date=2025-09-26
timestamp,Casper Ruud,Matteo Berrettini
2025-09-25T23:09:00Z,,47.00
2025-09-25T23:20:00Z,,47.00
2025-09-26T00:56:00Z,57.00,47.00
2025-09-26T01:00:00Z,57.00,47.00
2025-09-26T01:14:00Z,57.00,47.00
2025-09-26T01:31:00Z,57.00,47.00
2025-09-26T01:55:00Z,56.00,47.00
2025-09-26T02:26:00Z,58.00,47.00
2025-09-26T02:32:00Z,59.00,47.00
2025-09-26T02:36:00Z,59.00,47.00
2025-09-26T02:39:00Z,59.00,47.00
2025-09-26T02:52:00Z,59.00,47.00
2025-09-26T02:55:00Z,59.00,44.00
2025-09-26T03:19:00Z,59.00,44.00
2025-09-26T03:29:00Z,59.00,44.00
2025-09-26T03:35:00Z,59.00,44.00
2025-09-26T03:48:00Z,59.00,44.00
2025-09-26T03:57:00Z,59.00,44.00
2025-09-26T04:00:00Z,59.00,44.00
2025-09-26T04:01:00Z,59.00,42.50
2025-09-26T04:11:00Z,59.00,42.50
2025-09-26T04:12:00Z,59.38,42.50
2025-09-26T04:13:00Z,56.00,42.50
2025-09-26T04:44:00Z,60.00,42.50
2025-09-26T04:48:00Z,60.00,42.50
2025-09-26T04:51:00Z,60.00,42.50
2025-09-26T04:55:00Z,59.00,42.50
2025-09-26T05:03:00Z,59.00,42.00
2025-09-26T05:09:00Z,59.00,42.00
2025-09-26T05:15:00Z,59.00,42.00
2025-09-26T05:16:00Z,59.00,42.00
2025-09-26T05:24:00Z,59.00,42.00
2025-09-26T05:35:00Z,59.00,42.00
2025-09-26T05:39:00Z,59.00,41.00
2025-09-26T05:46:00Z,59.00,43.00
2025-09-26T05:48:00Z,59.00,43.00
2025-09-26T05:49:00Z,59.00,43.00
2025-09-26T05:53:00Z,59.00,43.00
2025-09-26T05:54:00Z,59.66,43.00
2025-09-26T05:57:00Z,60.00,43.00
2025-09-26T05:58:00Z,60.00,43.00
2025-09-26T06:00:00Z,60.00,43.00
2025-09-26T06:14:00Z,59.00,43.00
2025-09-26T06:23:00Z,59.00,43.00
2025-09-26T06:38:00Z,59.00,43.00
2025-09-26T06:57:00Z,59.00,43.00
2025-09-26T07:08:00Z,60.00,43.00
2025-09-26T07:20:00Z,60.00,43.00
2025-09-26T07:21:00Z,60.00,43.00
2025-09-26T07:26:00Z,60.00,42.00
2025-09-26T07:29:00Z,60.00,42.00
2025-09-26T07:34:00Z,60.00,42.00
2025-09-26T07:36:00Z,60.00,42.00
2025-09-26T08:05:00Z,60.00,42.00
2025-09-26T08:06:00Z,60.00,42.00
2025-09-26T08:09:00Z,60.00,42.00
2025-09-26T08:10:00Z,60.00,42.00
2025-09-26T08:11:00Z,60.00,42.00
2025-09-26T08:12:00Z,60.00,42.00
2025-09-26T08:13:00Z,60.00,42.00
2025-09-26T08:14:00Z,58.00,42.00
2025-09-26T08:15:00Z,58.00,42.00
2025-09-26T08:17:00Z,59.00,42.00
2025-09-26T08:21:00Z,59.08,42.00
2025-09-26T08:22:00Z,60.00,42.00
