# event_ticker=KXATPCHALLENGERMATCH-26APR22SVRBER
# final_score=6-4 6-4
# match_winner=Dalibor Svrcina
# fav_player=Dalibor Svrcina
# dog_player=Henry Bernet
# kalshi_date=2026-04-22
timestamp,Dalibor Svrcina,Henry Bernet
2026-04-22T23:28:00Z,77.00,
2026-04-23T00:15:00Z,75.00,
2026-04-23T00:56:00Z,74.00,26.00
2026-04-23T00:59:00Z,74.00,26.00
2026-04-23T01:27:00Z,74.00,28.00
2026-04-23T01:33:00Z,74.00,28.00
2026-04-23T02:38:00Z,75.00,28.00
2026-04-23T03:12:00Z,74.00,28.00
2026-04-23T03:44:00Z,75.00,28.00
2026-04-23T04:23:00Z,75.00,28.00
2026-04-23T05:13:00Z,76.00,28.00
2026-04-23T05:59:00Z,76.00,26.00
2026-04-23T06:01:00Z,76.00,26.00
2026-04-23T06:42:00Z,76.00,26.60
2026-04-23T06:49:00Z,76.09,26.60
2026-04-23T09:26:00Z,76.09,27.00
2026-04-23T10:11:00Z,75.00,27.00
2026-04-23T10:59:00Z,75.00,27.00
2026-04-23T11:00:00Z,77.00,27.00
2026-04-23T11:02:00Z,78.00,27.00
2026-04-23T11:08:00Z,78.00,26.00
2026-04-23T11:09:00Z,78.00,26.99
2026-04-23T11:10:00Z,73.27,25.24
2026-04-23T11:13:00Z,68.89,25.24
2026-04-23T11:14:00Z,64.58,35.76
2026-04-23T11:15:00Z,67.08,33.00
2026-04-23T11:17:00Z,69.00,33.00
2026-04-23T11:18:00Z,68.33,33.00
2026-04-23T11:19:00Z,69.00,31.00
2026-04-23T11:20:00Z,69.00,31.00
2026-04-23T11:21:00Z,69.00,36.80
2026-04-23T11:23:00Z,65.00,36.80
2026-04-23T11:24:00Z,64.00,36.00
2026-04-23T11:25:00Z,65.00,36.00
2026-04-23T11:26:00Z,66.00,36.00
2026-04-23T11:27:00Z,73.25,31.00
2026-04-23T11:28:00Z,67.00,33.00
2026-04-23T11:29:00Z,64.00,35.20
2026-04-23T11:30:00Z,64.00,38.00
2026-04-23T11:31:00Z,60.00,40.90
2026-04-23T11:32:00Z,55.33,45.00
2026-04-23T11:33:00Z,48.75,49.11
2026-04-23T11:34:00Z,48.75,42.88
2026-04-23T11:35:00Z,48.75,45.99
2026-04-23T11:36:00Z,60.78,42.00
2026-04-23T11:37:00Z,57.25,41.02
2026-04-23T11:38:00Z,48.01,51.13
2026-04-23T11:39:00Z,47.63,53.00
2026-04-23T11:40:00Z,46.58,51.00
2026-04-23T11:41:00Z,49.98,54.00
2026-04-23T11:42:00Z,51.15,49.01
2026-04-23T11:43:00Z,59.00,49.01
2026-04-23T11:44:00Z,59.00,41.00
2026-04-23T11:45:00Z,60.60,38.00
2026-04-23T11:46:00Z,64.00,36.82
2026-04-23T11:47:00Z,64.00,36.82
2026-04-23T11:48:00Z,65.83,33.01
2026-04-23T11:49:00Z,69.83,30.68
2026-04-23T11:50:00Z,78.01,22.06
2026-04-23T11:51:00Z,82.67,17.00
2026-04-23T11:52:00Z,80.07,19.74
2026-04-23T11:53:00Z,83.63,15.27
2026-04-23T11:54:00Z,87.04,14.00
2026-04-23T11:55:00Z,87.00,13.00
2026-04-23T11:57:00Z,87.00,13.00
2026-04-23T11:58:00Z,90.00,11.13
2026-04-23T11:59:00Z,92.00,11.13
2026-04-23T12:00:00Z,90.87,9.00
2026-04-23T12:01:00Z,93.22,7.00
2026-04-23T12:02:00Z,92.00,7.00
2026-04-23T12:03:00Z,94.00,8.00
2026-04-23T12:04:00Z,92.00,8.00
2026-04-23T12:05:00Z,89.09,12.20
2026-04-23T12:06:00Z,89.09,13.78
2026-04-23T12:07:00Z,90.00,9.00
2026-04-23T12:08:00Z,88.08,9.00
2026-04-23T12:09:00Z,88.08,11.11
2026-04-23T12:10:00Z,86.40,16.29
2026-04-23T12:11:00Z,83.00,18.00
2026-04-23T12:12:00Z,81.00,19.00
2026-04-23T12:13:00Z,82.97,19.12
2026-04-23T12:14:00Z,85.00,16.00
2026-04-23T12:15:00Z,87.01,14.00
2026-04-23T12:16:00Z,92.00,12.00
2026-04-23T12:17:00Z,92.81,9.80
2026-04-23T12:18:00Z,93.03,7.12
2026-04-23T12:19:00Z,93.93,6.55
2026-04-23T12:20:00Z,95.00,6.00
2026-04-23T12:21:00Z,94.98,7.00
2026-04-23T12:22:00Z,94.93,6.69
2026-04-23T12:23:00Z,92.92,8.18
2026-04-23T12:24:00Z,92.87,8.00
2026-04-23T12:25:00Z,94.00,7.00
2026-04-23T12:26:00Z,91.92,10.20
2026-04-23T12:27:00Z,90.71,10.90
2026-04-23T12:28:00Z,86.66,12.44
2026-04-23T12:29:00Z,88.18,13.00
2026-04-23T12:30:00Z,88.18,10.00
2026-04-23T12:31:00Z,94.06,8.00
2026-04-23T12:32:00Z,92.88,8.00
2026-04-23T12:33:00Z,93.02,8.05
2026-04-23T12:34:00Z,93.97,7.00
2026-04-23T12:35:00Z,94.59,6.13
2026-04-23T12:36:00Z,90.66,10.47
2026-04-23T12:37:00Z,93.00,5.43
2026-04-23T12:38:00Z,95.53,6.47
2026-04-23T12:39:00Z,94.02,6.07
2026-04-23T12:40:00Z,96.97,3.14
2026-04-23T12:41:00Z,97.49,4.37
2026-04-23T12:42:00Z,96.00,4.00
2026-04-23T12:43:00Z,97.16,3.13
2026-04-23T12:44:00Z,97.00,4.62
2026-04-23T12:45:00Z,94.93,6.91
2026-04-23T12:46:00Z,96.04,6.91
2026-04-23T12:47:00Z,97.08,6.91
2026-04-23T12:48:00Z,95.02,2.06
2026-04-23T12:49:00Z,97.66,3.85
2026-04-23T12:50:00Z,93.20,9.06
2026-04-23T12:51:00Z,94.72,6.17
2026-04-23T12:52:00Z,98.02,2.95
2026-04-23T12:53:00Z,99.00,2.95
2026-04-23T12:54:00Z,99.00,2.95
2026-04-23T12:55:00Z,99.00,1.00
2026-04-23T12:56:00Z,99.00,1.00
