# event_ticker=KXATPCHALLENGERMATCH-26MAR27UCHMAT
# final_score=6-4 5-7 6-4
# score_resolution=4-6 7-5 4-6
# match_winner=Yasutaka Uchiyama
# fav_player=Hayato Matsuoka
# dog_player=Yasutaka Uchiyama
# kalshi_date=2026-03-27
timestamp,Hayato Matsuoka,Yasutaka Uchiyama
2026-03-27T16:35:00Z,,67.00
2026-03-27T16:40:00Z,,67.00
2026-03-27T16:57:00Z,34.00,67.00
2026-03-27T17:09:00Z,34.00,67.00
2026-03-27T17:51:00Z,34.00,67.00
2026-03-27T19:02:00Z,34.00,67.00
2026-03-27T19:10:00Z,34.00,68.00
2026-03-27T19:15:00Z,34.00,68.00
2026-03-27T19:49:00Z,34.00,68.00
2026-03-27T19:54:00Z,34.00,68.00
2026-03-27T19:58:00Z,34.00,67.00
2026-03-27T20:25:00Z,34.00,67.00
2026-03-27T20:56:00Z,35.00,67.00
2026-03-27T21:17:00Z,35.00,67.00
2026-03-27T21:40:00Z,35.00,67.00
2026-03-27T22:13:00Z,35.00,67.00
2026-03-27T22:21:00Z,35.00,67.00
2026-03-27T23:38:00Z,35.00,67.00
2026-03-27T23:43:00Z,35.00,67.00
2026-03-28T00:04:00Z,35.00,67.00
2026-03-28T00:12:00Z,35.00,67.00
2026-03-28T00:14:00Z,34.00,67.00
2026-03-28T00:15:00Z,34.00,67.00
2026-03-28T00:20:00Z,34.00,67.00
2026-03-28T00:33:00Z,34.00,67.00
2026-03-28T00:48:00Z,35.00,67.00
2026-03-28T01:36:00Z,35.00,67.00
2026-03-28T01:48:00Z,35.00,67.00
2026-03-28T01:56:00Z,35.00,67.00
2026-03-28T02:00:00Z,35.00,67.00
2026-03-28T02:02:00Z,35.00,67.00
2026-03-28T02:05:00Z,35.00,67.00
2026-03-28T02:06:00Z,34.00,68.00
2026-03-28T02:07:00Z,33.00,69.00
2026-03-28T02:09:00Z,33.00,69.00
2026-03-28T02:11:00Z,33.00,69.00
2026-03-28T02:12:00Z,33.00,69.00
2026-03-28T02:14:00Z,33.00,69.00
2026-03-28T02:19:00Z,33.00,69.00
2026-03-28T02:20:00Z,31.00,69.00
2026-03-28T02:21:00Z,31.00,69.00
2026-03-28T02:24:00Z,31.00,69.00
2026-03-28T02:26:00Z,31.00,69.00
2026-03-28T02:27:00Z,31.00,69.00
