# event_ticker=KXATPMATCH-26MAR21CERTIR
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Francisco Cerundolo
# fav_player=Thiago Agustin Tirante
# dog_player=Francisco Cerundolo
# kalshi_date=2026-03-21
timestamp,Thiago Agustin Tirante,Francisco Cerundolo
2026-03-21T10:54:00Z,23.00,
2026-03-21T11:40:00Z,23.00,78.00
2026-03-21T11:41:00Z,23.00,78.00
2026-03-21T11:49:00Z,23.00,78.00
2026-03-21T12:30:00Z,23.00,78.00
2026-03-21T12:38:00Z,23.00,78.00
2026-03-21T12:46:00Z,23.00,78.00
2026-03-21T12:48:00Z,22.00,78.00
2026-03-21T13:38:00Z,22.00,78.00
2026-03-21T13:39:00Z,23.00,78.00
2026-03-21T13:40:00Z,23.00,78.00
2026-03-21T13:53:00Z,23.00,78.00
2026-03-21T14:50:00Z,23.00,77.00
2026-03-21T14:56:00Z,23.00,78.00
2026-03-21T15:00:00Z,23.00,78.00
2026-03-21T15:03:00Z,23.00,78.00
2026-03-21T15:06:00Z,23.00,78.00
2026-03-21T15:10:00Z,23.00,78.00
2026-03-21T15:19:00Z,23.00,78.00
2026-03-21T15:59:00Z,23.00,78.00
2026-03-21T16:26:00Z,23.00,78.00
2026-03-21T16:57:00Z,23.00,78.00
2026-03-21T17:21:00Z,23.00,78.00
2026-03-21T17:29:00Z,23.00,78.00
2026-03-21T17:36:00Z,23.00,78.00
2026-03-21T17:37:00Z,23.00,78.00
2026-03-21T17:45:00Z,23.00,78.00
2026-03-21T18:02:00Z,23.00,78.00
2026-03-21T18:05:00Z,23.00,78.00
2026-03-21T18:08:00Z,23.00,78.00
2026-03-21T18:12:00Z,23.00,78.00
2026-03-21T18:16:00Z,23.00,78.00
2026-03-21T18:22:00Z,23.00,78.00
2026-03-21T18:24:00Z,23.00,78.00
2026-03-21T18:26:00Z,23.00,77.00
2026-03-21T18:29:00Z,23.00,77.00
2026-03-21T18:33:00Z,24.00,77.00
2026-03-21T18:36:00Z,24.00,76.00
2026-03-21T18:47:00Z,24.00,76.00
2026-03-21T18:59:00Z,24.00,76.00
2026-03-21T19:55:00Z,24.00,76.00
