# event_ticker=KXATPMATCH-26MAR18BASNAV
# final_score=7-6(7) 6-3
# score_resolution=6-7 3-6
# match_winner=Mariano Navone
# fav_player=Nikoloz Basilashvili
# dog_player=Mariano Navone
# kalshi_date=2026-03-18
timestamp,Nikoloz Basilashvili,Mariano Navone
2026-03-19T02:48:00Z,49.00,53.00
2026-03-19T03:01:00Z,49.00,53.00
2026-03-19T03:08:00Z,49.00,53.00
2026-03-19T03:14:00Z,49.00,53.00
2026-03-19T03:33:00Z,49.00,53.00
2026-03-19T03:42:00Z,48.00,51.00
2026-03-19T03:47:00Z,48.00,51.00
2026-03-19T04:01:00Z,49.00,51.00
2026-03-19T04:10:00Z,49.00,53.00
2026-03-19T04:12:00Z,49.00,53.00
2026-03-19T04:13:00Z,49.00,53.00
2026-03-19T04:19:00Z,49.00,53.00
2026-03-19T04:42:00Z,49.00,52.00
2026-03-19T04:50:00Z,49.00,52.00
2026-03-19T04:53:00Z,49.00,52.00
2026-03-19T04:54:00Z,48.00,52.00
2026-03-19T04:56:00Z,49.00,52.00
2026-03-19T04:58:00Z,49.00,52.00
2026-03-19T05:11:00Z,49.00,52.00
2026-03-19T05:18:00Z,49.00,52.97
2026-03-19T05:34:00Z,49.00,52.97
2026-03-19T05:35:00Z,49.00,52.97
2026-03-19T05:38:00Z,49.00,52.00
2026-03-19T05:40:00Z,48.00,52.00
2026-03-19T05:50:00Z,48.00,51.61
2026-03-19T05:51:00Z,48.00,52.00
2026-03-19T05:58:00Z,48.00,52.00
2026-03-19T06:06:00Z,48.00,52.00
2026-03-19T06:10:00Z,48.00,52.00
2026-03-19T06:15:00Z,48.00,53.00
2026-03-19T06:18:00Z,49.00,53.00
2026-03-19T06:20:00Z,49.00,53.00
2026-03-19T06:25:00Z,49.00,53.00
2026-03-19T06:30:00Z,49.00,53.00
2026-03-19T06:40:00Z,49.00,53.00
2026-03-19T06:58:00Z,49.00,53.00
2026-03-19T09:10:00Z,49.00,53.00
