# event_ticker=KXATPCHALLENGERMATCH-26APR30BAUTAB
# final_score=4-6 6-2 6-4
# match_winner=Alejandro Tabilo
# fav_player=Alejandro Tabilo
# dog_player=Roberto Bautista Agut
# kalshi_date=2026-04-30
timestamp,Roberto Bautista Agut,Alejandro Tabilo
2026-04-30T04:44:00Z,,78.60
2026-04-30T04:54:00Z,,76.00
2026-04-30T05:01:00Z,23.00,76.00
2026-04-30T05:35:00Z,23.00,78.00
2026-04-30T06:12:00Z,21.02,78.00
2026-04-30T06:18:00Z,21.02,79.00
2026-04-30T06:21:00Z,24.00,79.00
2026-04-30T06:26:00Z,24.00,79.00
2026-04-30T06:40:00Z,24.00,79.00
2026-04-30T06:58:00Z,24.00,79.77
2026-04-30T06:59:00Z,24.00,80.00
2026-04-30T09:09:00Z,24.00,79.00
2026-04-30T09:34:00Z,24.00,80.00
2026-04-30T10:23:00Z,24.00,80.00
2026-04-30T10:32:00Z,24.00,80.00
2026-04-30T10:36:00Z,24.00,80.00
2026-04-30T11:28:00Z,24.00,80.00
2026-04-30T11:40:00Z,23.00,80.00
2026-04-30T11:47:00Z,23.00,80.00
2026-04-30T12:14:00Z,22.00,80.00
2026-04-30T12:16:00Z,22.00,80.00
2026-04-30T12:20:00Z,22.00,80.00
2026-04-30T12:36:00Z,21.00,80.00
2026-04-30T12:37:00Z,21.00,80.00
2026-04-30T12:47:00Z,21.00,79.50
2026-04-30T12:55:00Z,21.00,79.50
2026-04-30T13:03:00Z,21.00,80.00
2026-04-30T13:10:00Z,21.00,80.00
2026-04-30T13:17:00Z,21.00,80.00
2026-04-30T13:18:00Z,21.00,80.00
2026-04-30T13:19:00Z,21.00,80.00
2026-04-30T13:23:00Z,21.00,80.00
2026-04-30T13:54:00Z,21.00,80.00
2026-04-30T13:55:00Z,21.00,80.00
2026-04-30T13:57:00Z,20.00,80.00
2026-04-30T14:01:00Z,20.00,81.00
2026-04-30T14:03:00Z,20.00,80.00
2026-04-30T14:04:00Z,20.00,80.00
2026-04-30T14:08:00Z,20.00,81.00
2026-04-30T14:10:00Z,21.00,81.00
2026-04-30T14:15:00Z,21.75,79.00
2026-04-30T14:18:00Z,21.75,80.00
2026-04-30T14:20:00Z,21.00,80.00
2026-04-30T14:25:00Z,21.00,80.00
2026-04-30T14:28:00Z,19.00,80.00
2026-04-30T14:29:00Z,22.00,80.00
