# event_ticker=KXATPCHALLENGERMATCH-26APR03MORBLA
# final_score=7-6(2) 6-2
# score_resolution=6-7 2-6
# match_winner=Dali Blanch
# fav_player=Alejandro Moro Canas
# dog_player=Dali Blanch
# kalshi_date=2026-04-03
timestamp,Alejandro Moro Canas,Dali Blanch
2026-04-02T23:13:00Z,64.00,36.00
2026-04-03T01:07:00Z,65.00,35.00
2026-04-03T01:31:00Z,63.00,35.00
2026-04-03T02:14:00Z,64.00,35.00
2026-04-03T03:45:00Z,64.00,33.00
2026-04-03T03:46:00Z,67.00,33.00
2026-04-03T03:49:00Z,65.00,33.00
2026-04-03T03:50:00Z,66.33,35.00
2026-04-03T04:50:00Z,67.00,35.00
2026-04-03T05:28:00Z,66.00,35.00
2026-04-03T05:55:00Z,66.00,35.00
2026-04-03T05:58:00Z,67.00,35.00
2026-04-03T06:01:00Z,67.00,35.00
2026-04-03T06:13:00Z,67.00,35.00
2026-04-03T06:22:00Z,65.00,35.00
2026-04-03T06:28:00Z,67.00,35.00
2026-04-03T06:55:00Z,67.00,35.00
2026-04-03T07:06:00Z,67.00,35.00
2026-04-03T07:37:00Z,67.00,35.00
2026-04-03T07:43:00Z,67.00,35.00
2026-04-03T08:39:00Z,67.00,37.00
2026-04-03T08:40:00Z,67.00,35.00
2026-04-03T09:03:00Z,65.00,35.00
2026-04-03T09:04:00Z,65.00,35.00
2026-04-03T09:08:00Z,65.00,37.00
2026-04-03T09:35:00Z,65.00,37.00
2026-04-03T10:20:00Z,65.00,37.78
2026-04-03T10:24:00Z,64.30,38.00
2026-04-03T10:25:00Z,65.76,34.00
2026-04-03T10:26:00Z,66.98,34.00
2026-04-03T10:27:00Z,57.38,42.43
2026-04-03T10:28:00Z,52.91,48.13
2026-04-03T10:29:00Z,57.46,44.00
2026-04-03T10:30:00Z,64.00,44.00
2026-04-03T10:31:00Z,64.00,30.90
2026-04-03T10:34:00Z,64.00,27.00
2026-04-03T10:35:00Z,68.31,32.60
2026-04-03T10:36:00Z,68.00,32.60
2026-04-03T10:38:00Z,69.00,32.60
2026-04-03T10:39:00Z,69.00,32.60
2026-04-03T10:41:00Z,73.00,27.98
2026-04-03T10:42:00Z,75.86,25.00
2026-04-03T10:43:00Z,77.00,21.00
2026-04-03T10:44:00Z,74.00,25.00
2026-04-03T10:45:00Z,74.00,29.08
2026-04-03T10:46:00Z,71.00,29.08
2026-04-03T10:47:00Z,66.87,31.00
2026-04-03T10:48:00Z,66.47,31.00
2026-04-03T10:49:00Z,66.47,29.69
2026-04-03T10:51:00Z,66.47,27.00
2026-04-03T10:52:00Z,66.47,29.50
2026-04-03T10:53:00Z,66.00,29.50
2026-04-03T10:54:00Z,62.88,29.50
2026-04-03T10:55:00Z,55.00,45.12
2026-04-03T10:56:00Z,54.10,52.66
2026-04-03T10:57:00Z,44.00,57.00
2026-04-03T10:58:00Z,36.74,57.41
2026-04-03T10:59:00Z,55.77,57.41
2026-04-03T11:00:00Z,52.10,45.25
2026-04-03T11:01:00Z,49.69,48.51
2026-04-03T11:02:00Z,67.98,48.51
2026-04-03T11:03:00Z,64.32,39.38
2026-04-03T11:04:00Z,68.00,31.01
2026-04-03T11:05:00Z,66.99,31.01
2026-04-03T11:07:00Z,75.00,31.01
2026-04-03T11:08:00Z,68.69,31.01
2026-04-03T11:09:00Z,68.81,34.89
2026-04-03T11:10:00Z,64.82,40.93
2026-04-03T11:11:00Z,49.08,51.42
2026-04-03T11:12:00Z,39.07,56.98
2026-04-03T11:13:00Z,38.42,61.72
2026-04-03T11:14:00Z,44.12,60.74
2026-04-03T11:15:00Z,36.55,63.68
2026-04-03T11:16:00Z,35.37,64.00
2026-04-03T11:17:00Z,35.92,65.21
2026-04-03T11:18:00Z,36.00,64.88
2026-04-03T11:19:00Z,35.96,65.00
2026-04-03T11:20:00Z,36.00,65.00
2026-04-03T11:21:00Z,37.07,64.78
