# event_ticker=KXATPCHALLENGERMATCH-26MAY19LEETYA
# final_score=7-6(8) 7-6(4)
# score_resolution=7-6 7-6
# match_winner=Kriish Tyagi
# fav_player=Kriish Tyagi
# dog_player=Kuan-Yi Lee
# kalshi_date=2026-05-19
timestamp,Kuan-Yi Lee,Kriish Tyagi
2026-05-19T01:07:00Z,59.00,
2026-05-19T03:06:00Z,59.00,44.00
2026-05-19T03:25:00Z,58.00,44.00
2026-05-19T03:47:00Z,58.00,44.00
2026-05-19T03:53:00Z,58.00,44.00
2026-05-19T03:54:00Z,58.00,44.00
2026-05-19T03:59:00Z,58.00,44.00
2026-05-19T04:05:00Z,58.00,44.00
2026-05-19T04:06:00Z,58.00,44.00
2026-05-19T04:07:00Z,58.00,44.00
2026-05-19T04:08:00Z,58.00,44.00
2026-05-19T04:13:00Z,58.00,43.00
2026-05-19T04:14:00Z,59.00,43.00
2026-05-19T04:23:00Z,57.99,43.00
2026-05-19T04:30:00Z,57.99,42.00
2026-05-19T04:34:00Z,60.45,42.00
2026-05-19T04:47:00Z,60.00,42.00
2026-05-19T04:49:00Z,60.00,43.00
2026-05-19T05:03:00Z,60.00,42.00
2026-05-19T05:06:00Z,59.00,42.00
2026-05-19T05:07:00Z,59.00,42.00
2026-05-19T05:09:00Z,59.00,42.00
2026-05-19T05:11:00Z,59.00,42.00
2026-05-19T05:22:00Z,59.53,42.00
2026-05-19T05:35:00Z,59.00,42.00
2026-05-19T05:38:00Z,59.00,42.00
2026-05-19T05:43:00Z,59.70,42.00
2026-05-19T05:46:00Z,59.00,42.00
2026-05-19T05:47:00Z,59.00,42.00
2026-05-19T05:50:00Z,59.00,42.00
2026-05-19T05:55:00Z,59.00,42.00
2026-05-19T06:07:00Z,59.00,42.00
2026-05-19T06:09:00Z,58.00,42.00
2026-05-19T06:13:00Z,59.00,42.00
2026-05-19T06:20:00Z,58.00,42.00
2026-05-19T06:25:00Z,58.00,42.00
2026-05-19T06:44:00Z,58.00,42.00
2026-05-19T06:49:00Z,59.00,42.00
2026-05-19T06:54:00Z,59.00,42.00
2026-05-19T06:55:00Z,60.00,42.00
2026-05-19T07:23:00Z,60.00,42.00
2026-05-19T07:30:00Z,60.00,41.00
2026-05-19T07:40:00Z,60.00,41.00
2026-05-19T07:52:00Z,61.00,41.00
2026-05-19T07:53:00Z,61.00,42.00
2026-05-19T07:58:00Z,60.07,42.00
2026-05-19T08:01:00Z,60.07,44.23
2026-05-19T08:41:00Z,60.82,44.23
2026-05-19T08:42:00Z,61.00,44.23
2026-05-19T08:49:00Z,61.00,44.23
2026-05-19T08:50:00Z,61.00,41.00
2026-05-19T08:51:00Z,63.84,41.00
2026-05-19T08:57:00Z,62.09,41.00
2026-05-19T09:03:00Z,61.00,41.00
2026-05-19T09:12:00Z,63.00,41.00
2026-05-19T09:47:00Z,60.00,41.00
2026-05-19T10:10:00Z,60.99,41.00
2026-05-19T10:15:00Z,60.50,41.00
2026-05-19T10:16:00Z,54.00,49.00
2026-05-19T10:17:00Z,47.00,49.33
2026-05-19T10:18:00Z,47.00,52.00
2026-05-19T10:20:00Z,47.00,58.83
2026-05-19T10:21:00Z,47.00,64.00
2026-05-19T10:24:00Z,45.00,64.00
2026-05-19T10:27:00Z,56.50,47.00
2026-05-19T10:29:00Z,54.00,47.00
2026-05-19T10:32:00Z,56.00,47.00
2026-05-19T10:33:00Z,56.73,47.00
2026-05-19T10:34:00Z,56.73,44.00
2026-05-19T10:35:00Z,60.00,44.00
2026-05-19T10:36:00Z,60.00,29.00
2026-05-19T10:37:00Z,71.00,29.00
2026-05-19T10:38:00Z,64.00,29.00
2026-05-19T10:39:00Z,63.59,29.00
2026-05-19T10:42:00Z,63.47,33.61
2026-05-19T10:43:00Z,68.33,29.00
2026-05-19T10:48:00Z,52.95,29.00
2026-05-19T10:49:00Z,55.00,54.52
2026-05-19T10:50:00Z,44.00,55.00
2026-05-19T10:51:00Z,44.00,55.81
2026-05-19T10:53:00Z,48.54,57.33
2026-05-19T10:55:00Z,51.00,59.00
2026-05-19T10:56:00Z,47.00,59.00
2026-05-19T10:57:00Z,51.59,47.01
2026-05-19T10:58:00Z,59.34,40.00
2026-05-19T10:59:00Z,57.69,42.43
2026-05-19T11:00:00Z,57.74,42.43
2026-05-19T11:01:00Z,60.69,41.15
2026-05-19T11:02:00Z,69.00,43.00
2026-05-19T11:03:00Z,66.00,34.18
2026-05-19T11:04:00Z,60.71,41.58
2026-05-19T11:05:00Z,55.32,47.00
2026-05-19T11:06:00Z,49.60,50.39
2026-05-19T11:07:00Z,53.02,51.00
2026-05-19T11:08:00Z,58.85,43.68
2026-05-19T11:09:00Z,65.00,43.00
2026-05-19T11:10:00Z,62.19,42.82
2026-05-19T11:11:00Z,67.00,40.00
2026-05-19T11:12:00Z,55.00,44.91
2026-05-19T11:13:00Z,57.27,44.00
2026-05-19T11:14:00Z,44.28,56.00
2026-05-19T11:15:00Z,36.69,60.41
2026-05-19T11:16:00Z,40.00,60.47
2026-05-19T11:17:00Z,51.78,45.87
2026-05-19T11:18:00Z,56.00,44.42
2026-05-19T11:19:00Z,62.79,38.09
2026-05-19T11:20:00Z,38.45,57.08
2026-05-19T11:21:00Z,33.00,57.08
2026-05-19T11:22:00Z,33.00,67.00
2026-05-19T11:23:00Z,33.00,67.50
2026-05-19T11:24:00Z,33.00,67.00
2026-05-19T11:26:00Z,33.00,69.00
2026-05-19T11:27:00Z,33.00,71.00
2026-05-19T11:28:00Z,30.09,71.00
2026-05-19T11:29:00Z,19.59,71.00
2026-05-19T11:30:00Z,15.00,85.92
2026-05-19T11:31:00Z,17.00,86.00
2026-05-19T11:32:00Z,17.13,82.40
2026-05-19T11:33:00Z,22.00,82.40
2026-05-19T11:34:00Z,17.09,82.40
2026-05-19T11:36:00Z,18.00,82.12
2026-05-19T11:37:00Z,18.00,83.00
2026-05-19T11:38:00Z,18.00,83.00
2026-05-19T11:39:00Z,18.00,83.00
2026-05-19T11:40:00Z,24.00,80.33
2026-05-19T11:41:00Z,26.76,73.22
2026-05-19T11:42:00Z,18.62,77.00
2026-05-19T11:43:00Z,21.68,77.00
2026-05-19T11:44:00Z,34.58,66.28
2026-05-19T11:45:00Z,35.19,65.94
2026-05-19T11:46:00Z,28.82,75.46
2026-05-19T11:47:00Z,23.32,76.04
2026-05-19T11:48:00Z,30.14,76.04
2026-05-19T11:49:00Z,30.14,64.83
2026-05-19T11:50:00Z,35.00,65.66
2026-05-19T11:51:00Z,39.49,61.00
2026-05-19T11:52:00Z,45.61,64.00
2026-05-19T11:53:00Z,38.97,64.00
2026-05-19T11:54:00Z,40.16,58.24
2026-05-19T11:55:00Z,39.00,61.91
2026-05-19T11:56:00Z,38.00,63.50
2026-05-19T11:57:00Z,39.13,60.21
2026-05-19T11:58:00Z,41.95,61.00
2026-05-19T11:59:00Z,55.87,55.99
2026-05-19T12:00:00Z,45.56,57.08
2026-05-19T12:01:00Z,40.01,61.13
2026-05-19T12:02:00Z,29.92,71.72
2026-05-19T12:03:00Z,33.24,66.80
2026-05-19T12:04:00Z,39.00,61.00
2026-05-19T12:05:00Z,39.00,62.00
2026-05-19T12:06:00Z,34.03,66.59
2026-05-19T12:07:00Z,33.00,66.86
2026-05-19T12:08:00Z,35.00,65.30
2026-05-19T12:09:00Z,33.00,63.48
2026-05-19T12:10:00Z,38.00,63.71
2026-05-19T12:11:00Z,33.96,69.85
2026-05-19T12:12:00Z,33.72,68.11
2026-05-19T12:13:00Z,36.61,63.14
2026-05-19T12:14:00Z,38.00,64.00
2026-05-19T12:15:00Z,40.96,58.89
2026-05-19T12:16:00Z,33.01,66.27
2026-05-19T12:17:00Z,29.01,70.00
2026-05-19T12:18:00Z,16.92,83.56
2026-05-19T12:19:00Z,11.00,90.49
2026-05-19T12:20:00Z,19.33,77.36
2026-05-19T12:21:00Z,28.50,73.09
2026-05-19T12:22:00Z,23.99,76.32
2026-05-19T12:23:00Z,20.69,82.12
2026-05-19T12:24:00Z,2.69,98.17
2026-05-19T12:25:00Z,1.00,99.00
2026-05-19T12:27:00Z,1.00,99.00
