# event_ticker=KXATPMATCH-26MAR29BAUDRO
# final_score=6-1 1-6 6-1
# score_resolution=1-6 6-1 1-6
# match_winner=Titouan Droguet
# fav_player=Roberto Bautista Agut
# dog_player=Titouan Droguet
# kalshi_date=2026-03-29
timestamp,Roberto Bautista Agut,Titouan Droguet
2026-03-31T00:20:00Z,48.00,
2026-03-31T00:43:00Z,48.00,
2026-03-31T00:48:00Z,48.00,
2026-03-31T00:49:00Z,48.00,
2026-03-31T01:05:00Z,48.00,
2026-03-31T01:53:00Z,48.00,54.91
2026-03-31T01:59:00Z,48.00,56.00
2026-03-31T02:00:00Z,48.00,56.00
2026-03-31T02:05:00Z,48.00,56.00
2026-03-31T02:11:00Z,43.00,58.66
2026-03-31T02:12:00Z,43.00,58.00
2026-03-31T02:14:00Z,43.00,58.00
2026-03-31T02:35:00Z,43.00,58.00
2026-03-31T02:47:00Z,43.00,58.00
2026-03-31T02:49:00Z,43.00,58.00
2026-03-31T03:01:00Z,43.00,58.00
2026-03-31T03:13:00Z,43.00,58.00
2026-03-31T03:34:00Z,43.00,58.00
2026-03-31T03:35:00Z,43.00,58.00
2026-03-31T03:38:00Z,43.00,58.00
2026-03-31T03:39:00Z,43.00,58.00
2026-03-31T03:42:00Z,43.00,58.00
2026-03-31T03:44:00Z,43.00,58.00
2026-03-31T04:07:00Z,43.00,58.00
2026-03-31T04:14:00Z,43.00,58.00
2026-03-31T04:18:00Z,43.00,58.00
2026-03-31T04:22:00Z,43.00,58.00
2026-03-31T04:25:00Z,43.00,58.00
2026-03-31T04:26:00Z,43.00,58.00
2026-03-31T04:40:00Z,43.00,58.00
2026-03-31T04:53:00Z,43.00,58.00
2026-03-31T04:58:00Z,43.00,58.00
2026-03-31T04:59:00Z,43.00,58.00
2026-03-31T05:00:00Z,43.00,58.00
2026-03-31T05:03:00Z,43.00,58.00
2026-03-31T05:04:00Z,43.00,58.00
2026-03-31T05:06:00Z,43.00,57.00
2026-03-31T05:12:00Z,43.00,57.00
2026-03-31T05:16:00Z,42.00,57.00
2026-03-31T05:17:00Z,43.00,57.00
2026-03-31T05:19:00Z,43.00,58.00
2026-03-31T05:25:00Z,43.82,58.00
2026-03-31T05:26:00Z,44.00,58.00
2026-03-31T05:27:00Z,44.00,58.00
2026-03-31T05:36:00Z,44.00,57.00
2026-03-31T05:37:00Z,44.00,57.00
2026-03-31T05:39:00Z,44.00,57.00
2026-03-31T05:48:00Z,44.00,57.00
2026-03-31T06:04:00Z,44.00,57.00
2026-03-31T06:05:00Z,44.00,57.00
2026-03-31T06:13:00Z,44.00,57.00
2026-03-31T06:18:00Z,44.00,57.00
2026-03-31T06:25:00Z,44.00,57.00
2026-03-31T06:33:00Z,44.00,57.00
2026-03-31T06:36:00Z,44.00,57.00
2026-03-31T06:53:00Z,44.00,57.00
2026-03-31T06:55:00Z,44.00,57.00
2026-03-31T07:00:00Z,44.00,57.00
2026-03-31T07:11:00Z,44.00,57.00
2026-03-31T07:15:00Z,44.00,57.00
2026-03-31T07:24:00Z,44.00,57.00
2026-03-31T07:33:00Z,44.00,57.00
2026-03-31T07:58:00Z,45.00,57.00
