# event_ticker=KXATPMATCH-26JAN03MPEPAU
# final_score=7-6(2) 3-6 7-6(6)
# score_resolution=7-6 3-6 7-6
# match_winner=Giovanni Mpetshi Perricard
# fav_player=Giovanni Mpetshi Perricard
# dog_player=Tommy Paul
# kalshi_date=2026-01-03
timestamp,Giovanni Mpetshi Perricard,Tommy Paul
2026-01-05T15:24:00Z,38.00,
2026-01-05T15:38:00Z,38.00,
2026-01-05T15:44:00Z,38.00,64.00
2026-01-05T15:45:00Z,38.00,64.00
2026-01-05T15:46:00Z,38.00,62.15
2026-01-05T16:20:00Z,38.00,65.00
2026-01-05T16:55:00Z,38.00,65.00
2026-01-05T17:06:00Z,38.00,65.00
2026-01-05T17:17:00Z,38.00,65.00
2026-01-05T17:29:00Z,38.00,65.00
2026-01-05T18:01:00Z,38.00,65.41
2026-01-05T18:17:00Z,38.00,67.00
2026-01-05T18:35:00Z,38.00,67.00
2026-01-05T18:49:00Z,38.00,66.64
2026-01-05T19:10:00Z,38.00,67.00
2026-01-05T19:55:00Z,38.00,67.00
2026-01-05T21:16:00Z,38.00,67.00
2026-01-05T22:15:00Z,36.00,67.00
2026-01-05T22:21:00Z,36.00,67.00
2026-01-05T23:31:00Z,35.00,67.00
2026-01-05T23:38:00Z,35.00,67.00
2026-01-05T23:41:00Z,35.00,67.00
2026-01-06T00:15:00Z,35.00,67.00
2026-01-06T00:33:00Z,35.00,67.00
2026-01-06T01:08:00Z,35.00,67.00
2026-01-06T01:09:00Z,35.00,67.00
2026-01-06T01:14:00Z,35.00,67.00
2026-01-06T01:17:00Z,35.00,67.00
2026-01-06T01:18:00Z,35.00,67.00
2026-01-06T01:19:00Z,35.00,67.00
2026-01-06T01:30:00Z,35.00,67.00
2026-01-06T01:36:00Z,35.00,67.00
2026-01-06T01:37:00Z,35.00,67.00
2026-01-06T01:46:00Z,35.00,67.00
2026-01-06T01:50:00Z,35.00,67.00
2026-01-06T01:55:00Z,35.00,66.00
2026-01-06T02:02:00Z,35.00,66.00
2026-01-06T02:03:00Z,35.00,66.00
2026-01-06T02:04:00Z,35.00,66.00
2026-01-06T02:10:00Z,35.00,66.00
2026-01-06T02:16:00Z,35.00,66.00
2026-01-06T02:17:00Z,35.00,66.00
2026-01-06T02:18:00Z,35.00,66.00
2026-01-06T02:19:00Z,35.00,66.00
2026-01-06T02:23:00Z,35.00,66.00
2026-01-06T02:37:00Z,35.00,66.00
2026-01-06T02:38:00Z,35.00,66.00
2026-01-06T02:40:00Z,35.67,66.00
2026-01-06T02:41:00Z,35.67,66.00
2026-01-06T02:43:00Z,35.67,66.00
2026-01-06T02:47:00Z,36.00,66.00
2026-01-06T02:50:00Z,36.00,66.00
2026-01-06T02:54:00Z,34.00,66.00
2026-01-06T02:55:00Z,34.00,66.00
2026-01-06T03:01:00Z,36.00,66.00
2026-01-06T03:02:00Z,36.00,66.00
2026-01-06T03:06:00Z,36.00,66.00
2026-01-06T03:07:00Z,36.00,66.00
2026-01-06T03:09:00Z,36.00,66.00
2026-01-06T03:10:00Z,33.89,65.55
2026-01-06T03:11:00Z,32.12,67.19
2026-01-06T03:12:00Z,32.12,70.19
2026-01-06T03:13:00Z,29.00,70.00
2026-01-06T03:14:00Z,29.00,70.00
2026-01-06T03:15:00Z,31.09,70.21
2026-01-06T03:16:00Z,31.09,68.00
2026-01-06T03:17:00Z,34.00,68.00
2026-01-06T03:18:00Z,33.47,69.15
2026-01-06T03:19:00Z,34.25,79.98
2026-01-06T03:20:00Z,34.00,68.00
2026-01-06T03:21:00Z,35.00,68.00
2026-01-06T03:22:00Z,36.20,66.05
2026-01-06T03:23:00Z,36.00,66.37
