# event_ticker=KXATPCHALLENGERMATCH-26MAR09GIUDUR
# final_score=6-7(5) 6-4 6-3
# score_resolution=7-6 4-6 3-6
# match_winner=Lorenzo Giustino
# fav_player=Viktor Durasovic
# dog_player=Lorenzo Giustino
# kalshi_date=2026-03-09
timestamp,Viktor Durasovic,Lorenzo Giustino
2026-03-09T02:32:00Z,,64.00
2026-03-09T02:37:00Z,,63.00
2026-03-09T04:12:00Z,,63.00
2026-03-09T04:32:00Z,,63.45
2026-03-09T04:45:00Z,,64.00
2026-03-09T05:56:00Z,,63.23
2026-03-09T07:20:00Z,,63.00
2026-03-09T07:21:00Z,,63.00
2026-03-09T07:22:00Z,,64.00
2026-03-09T07:27:00Z,39.00,64.00
2026-03-09T07:42:00Z,39.00,64.00
2026-03-09T09:20:00Z,39.00,63.00
2026-03-09T09:37:00Z,39.00,63.00
2026-03-09T09:38:00Z,39.00,63.00
2026-03-09T09:41:00Z,39.00,63.00
2026-03-09T09:48:00Z,38.00,63.00
2026-03-09T09:49:00Z,37.00,63.00
2026-03-09T10:00:00Z,37.00,63.00
2026-03-09T10:21:00Z,37.00,64.00
2026-03-09T10:36:00Z,37.00,64.00
2026-03-09T10:46:00Z,37.00,64.00
2026-03-09T10:48:00Z,37.00,64.00
2026-03-09T10:51:00Z,37.00,64.00
2026-03-09T11:07:00Z,37.00,64.00
2026-03-09T11:08:00Z,37.00,64.00
2026-03-09T11:09:00Z,37.00,64.00
2026-03-09T11:12:00Z,37.00,64.00
2026-03-09T11:21:00Z,37.00,64.00
2026-03-09T11:22:00Z,37.00,64.00
2026-03-09T11:26:00Z,37.00,64.00
2026-03-09T11:29:00Z,37.00,64.00
2026-03-09T11:32:00Z,37.00,64.00
2026-03-09T11:35:00Z,37.00,64.00
2026-03-09T11:36:00Z,38.00,64.00
2026-03-09T11:47:00Z,38.00,66.00
2026-03-09T11:53:00Z,38.00,66.00
2026-03-09T12:00:00Z,38.00,66.00
2026-03-09T12:03:00Z,38.00,66.47
2026-03-09T12:04:00Z,38.00,67.00
2026-03-09T12:05:00Z,38.00,67.00
2026-03-09T12:07:00Z,38.00,67.00
2026-03-09T12:09:00Z,38.00,67.00
2026-03-09T12:10:00Z,37.00,67.00
2026-03-09T12:12:00Z,37.00,67.00
2026-03-09T12:21:00Z,37.00,67.00
2026-03-09T12:26:00Z,37.00,67.00
2026-03-09T12:27:00Z,36.00,67.50
2026-03-09T12:28:00Z,36.00,68.06
2026-03-09T12:29:00Z,36.00,68.00
2026-03-09T12:30:00Z,36.00,68.00
2026-03-09T12:31:00Z,40.00,65.56
2026-03-09T12:32:00Z,35.00,68.42
2026-03-09T12:33:00Z,35.00,69.31
2026-03-09T12:34:00Z,35.00,69.00
