# event_ticker=KXATPMATCH-26MAR22BERVAC
# final_score=7-6(5) 6-4
# score_resolution=7-6 6-4
# match_winner=Valentin Vacherot
# fav_player=Valentin Vacherot
# dog_player=Matteo Berrettini
# kalshi_date=2026-03-22
timestamp,Valentin Vacherot,Matteo Berrettini
2026-03-22T12:10:00Z,44.00,
2026-03-22T12:22:00Z,44.00,57.00
2026-03-22T12:24:00Z,44.00,57.00
2026-03-22T12:39:00Z,44.00,57.00
2026-03-22T12:56:00Z,44.00,57.00
2026-03-22T12:59:00Z,44.00,57.00
2026-03-22T13:00:00Z,44.00,57.00
2026-03-22T13:02:00Z,44.00,57.00
2026-03-22T13:03:00Z,44.00,57.00
2026-03-22T13:04:00Z,44.00,57.00
2026-03-22T13:07:00Z,44.00,57.00
2026-03-22T13:13:00Z,44.00,57.00
2026-03-22T13:14:00Z,44.00,57.00
2026-03-22T13:16:00Z,44.00,57.00
2026-03-22T13:18:00Z,44.00,57.00
2026-03-22T13:19:00Z,44.00,57.00
2026-03-22T13:22:00Z,44.00,57.00
2026-03-22T13:24:00Z,44.00,57.00
2026-03-22T13:25:00Z,44.00,57.00
2026-03-22T13:29:00Z,44.00,57.00
2026-03-22T13:31:00Z,44.00,57.00
2026-03-22T13:35:00Z,44.00,56.00
2026-03-22T13:41:00Z,44.00,56.00
2026-03-22T13:48:00Z,44.00,56.00
2026-03-22T13:50:00Z,44.00,55.00
2026-03-22T13:56:00Z,44.00,56.00
2026-03-22T13:57:00Z,44.00,56.00
2026-03-22T13:58:00Z,44.00,56.00
2026-03-22T13:59:00Z,44.00,56.00
2026-03-22T14:01:00Z,44.00,56.00
2026-03-22T14:07:00Z,44.00,56.00
2026-03-22T14:11:00Z,44.00,56.00
2026-03-22T14:16:00Z,44.00,56.00
2026-03-22T14:18:00Z,44.00,56.00
2026-03-22T14:21:00Z,44.00,56.00
2026-03-22T14:32:00Z,44.00,56.00
2026-03-22T14:35:00Z,44.00,56.00
2026-03-22T14:36:00Z,44.00,56.00
