# event_ticker=KXATPCHALLENGERMATCH-26MAY15BOYMON
# final_score=6-3 4-6 7-5
# match_winner=Tristan Boyer
# fav_player=Tristan Boyer
# dog_player=Inaki Montes-de la Torre
# kalshi_date=2026-05-15
timestamp,Tristan Boyer,Inaki Montes-de la Torre
2026-05-15T01:48:00Z,33.00,
2026-05-15T01:49:00Z,33.00,
2026-05-15T01:50:00Z,33.00,
2026-05-15T02:29:00Z,33.00,
2026-05-15T02:41:00Z,33.00,
2026-05-15T03:03:00Z,33.00,68.00
2026-05-15T03:11:00Z,33.00,68.00
2026-05-15T03:24:00Z,33.00,68.00
2026-05-15T04:11:00Z,31.00,68.00
2026-05-15T04:12:00Z,32.00,68.00
2026-05-15T04:14:00Z,32.00,68.00
2026-05-15T04:20:00Z,31.00,67.00
2026-05-15T04:22:00Z,33.00,67.00
2026-05-15T04:24:00Z,33.00,68.00
2026-05-15T04:25:00Z,33.00,68.00
2026-05-15T04:26:00Z,32.00,67.00
2026-05-15T04:28:00Z,32.00,68.00
2026-05-15T04:29:00Z,32.00,68.00
2026-05-15T04:50:00Z,33.00,68.00
2026-05-15T05:00:00Z,33.00,68.00
2026-05-15T05:06:00Z,33.00,67.00
2026-05-15T05:17:00Z,33.00,68.51
2026-05-15T05:20:00Z,33.00,69.00
2026-05-15T05:24:00Z,33.00,69.00
2026-05-15T06:10:00Z,33.00,69.00
2026-05-15T06:27:00Z,33.00,69.00
2026-05-15T06:32:00Z,33.00,69.00
2026-05-15T06:43:00Z,33.00,68.00
2026-05-15T07:16:00Z,33.00,68.00
2026-05-15T08:27:00Z,33.00,68.00
2026-05-15T09:43:00Z,33.00,68.00
2026-05-15T11:04:00Z,33.00,69.00
2026-05-15T11:05:00Z,32.00,69.00
2026-05-15T11:11:00Z,32.94,69.00
2026-05-15T11:14:00Z,33.00,69.00
2026-05-15T11:20:00Z,33.00,70.00
2026-05-15T11:33:00Z,33.00,70.00
2026-05-15T11:35:00Z,33.00,69.00
2026-05-15T11:50:00Z,33.00,70.00
2026-05-15T11:57:00Z,33.00,70.00
2026-05-15T12:12:00Z,33.00,70.00
2026-05-15T12:14:00Z,33.00,70.00
2026-05-15T12:20:00Z,33.00,69.00
