# event_ticker=KXATPCHALLENGERMATCH-26MAY21JORSAI
# final_score=6-2 6-4
# match_winner=David Jorda Sanchis
# fav_player=David Jorda Sanchis
# dog_player=Nikolas Sanchez Izquierdo
# kalshi_date=2026-05-21
timestamp,David Jorda Sanchis,Nikolas Sanchez Izquierdo
2026-05-21T09:47:00Z,34.02,
2026-05-21T09:48:00Z,35.00,
2026-05-21T10:30:00Z,32.00,64.00
2026-05-21T10:40:00Z,38.77,53.00
2026-05-21T10:41:00Z,38.97,59.00
2026-05-21T10:42:00Z,39.00,59.00
2026-05-21T10:43:00Z,38.00,67.00
2026-05-21T10:46:00Z,38.00,68.00
2026-05-21T10:49:00Z,43.96,37.62
2026-05-21T10:50:00Z,53.00,37.62
2026-05-21T10:51:00Z,49.00,53.00
2026-05-21T10:52:00Z,46.00,52.40
2026-05-21T10:54:00Z,48.45,56.48
2026-05-21T10:55:00Z,48.45,50.33
2026-05-21T10:56:00Z,53.13,49.99
2026-05-21T10:57:00Z,53.13,50.64
2026-05-21T11:02:00Z,53.13,54.44
2026-05-21T11:04:00Z,53.67,49.03
2026-05-21T11:06:00Z,53.67,49.00
2026-05-21T11:07:00Z,50.00,49.00
2026-05-21T11:08:00Z,52.00,44.17
2026-05-21T11:09:00Z,55.78,44.17
2026-05-21T11:10:00Z,54.73,44.17
2026-05-21T11:11:00Z,50.00,47.18
2026-05-21T11:12:00Z,50.00,52.00
2026-05-21T11:13:00Z,52.48,52.00
2026-05-21T11:15:00Z,51.00,52.00
2026-05-21T11:16:00Z,55.00,52.00
2026-05-21T11:17:00Z,60.69,46.00
2026-05-21T11:18:00Z,58.00,46.00
2026-05-21T11:20:00Z,65.75,46.00
2026-05-21T11:21:00Z,58.00,36.00
2026-05-21T11:22:00Z,58.00,35.00
2026-05-21T11:23:00Z,67.00,35.00
2026-05-21T11:25:00Z,70.63,29.00
2026-05-21T11:26:00Z,74.40,33.95
2026-05-21T11:27:00Z,74.40,33.00
2026-05-21T11:28:00Z,74.00,33.25
2026-05-21T11:30:00Z,74.77,29.09
2026-05-21T11:31:00Z,73.00,27.00
2026-05-21T11:32:00Z,76.18,28.63
2026-05-21T11:33:00Z,81.49,22.64
2026-05-21T11:34:00Z,83.00,20.79
2026-05-21T11:35:00Z,81.04,22.00
2026-05-21T11:36:00Z,79.00,27.87
2026-05-21T11:37:00Z,78.21,27.00
2026-05-21T11:38:00Z,81.12,25.52
2026-05-21T11:39:00Z,82.09,21.00
2026-05-21T11:40:00Z,81.09,26.00
2026-05-21T11:41:00Z,77.03,25.00
2026-05-21T11:42:00Z,70.97,27.66
2026-05-21T11:43:00Z,70.04,30.65
2026-05-21T11:44:00Z,67.56,38.02
2026-05-21T11:45:00Z,67.56,39.00
2026-05-21T11:46:00Z,56.85,39.00
2026-05-21T11:47:00Z,64.00,38.00
2026-05-21T11:48:00Z,64.00,40.89
2026-05-21T11:49:00Z,64.00,43.89
2026-05-21T11:50:00Z,59.00,43.89
2026-05-21T11:51:00Z,65.00,43.89
2026-05-21T11:52:00Z,66.01,41.37
2026-05-21T11:53:00Z,66.01,35.00
2026-05-21T11:54:00Z,60.00,35.00
2026-05-21T11:55:00Z,60.00,42.00
2026-05-21T11:56:00Z,56.09,43.23
2026-05-21T11:57:00Z,58.72,43.00
2026-05-21T11:58:00Z,64.00,39.00
2026-05-21T11:59:00Z,63.10,39.00
2026-05-21T12:00:00Z,67.00,38.94
2026-05-21T12:01:00Z,67.00,37.03
2026-05-21T12:02:00Z,72.10,33.03
2026-05-21T12:03:00Z,77.14,21.30
2026-05-21T12:04:00Z,83.78,25.00
2026-05-21T12:05:00Z,84.86,15.07
2026-05-21T12:06:00Z,85.03,15.00
2026-05-21T12:07:00Z,81.00,18.63
2026-05-21T12:08:00Z,80.87,19.71
2026-05-21T12:09:00Z,82.46,18.96
2026-05-21T12:10:00Z,85.23,13.64
2026-05-21T12:11:00Z,88.34,13.76
2026-05-21T12:12:00Z,92.75,6.20
2026-05-21T12:13:00Z,92.30,8.90
2026-05-21T12:14:00Z,90.04,9.83
2026-05-21T12:15:00Z,90.01,11.94
2026-05-21T12:16:00Z,90.01,12.66
2026-05-21T12:17:00Z,95.18,10.53
2026-05-21T12:18:00Z,90.20,13.00
2026-05-21T12:19:00Z,97.17,4.05
2026-05-21T12:20:00Z,90.73,8.02
2026-05-21T12:21:00Z,97.65,6.91
2026-05-21T12:22:00Z,99.00,6.91
2026-05-21T12:24:00Z,99.00,6.91
2026-05-21T12:25:00Z,99.00,6.91
