# event_ticker=KXATPCHALLENGERMATCH-26MAR24KUZFAT
# final_score=6-3 6-1
# score_resolution=3-6 1-6
# match_winner=Dimitar Kuzmanov
# fav_player=Nerman Fatic
# dog_player=Dimitar Kuzmanov
# kalshi_date=2026-03-24
timestamp,Nerman Fatic,Dimitar Kuzmanov
2026-03-23T23:32:00Z,56.00,
2026-03-24T00:43:00Z,56.00,45.00
2026-03-24T02:45:00Z,56.00,46.00
2026-03-24T03:25:00Z,56.00,46.00
2026-03-24T04:03:00Z,57.00,46.00
2026-03-24T04:18:00Z,57.00,46.00
2026-03-24T04:32:00Z,57.00,46.00
2026-03-24T04:52:00Z,57.00,46.00
2026-03-24T04:58:00Z,57.00,46.00
2026-03-24T05:03:00Z,57.00,46.00
2026-03-24T05:14:00Z,57.00,46.00
2026-03-24T05:15:00Z,57.00,46.00
2026-03-24T05:16:00Z,56.00,46.00
2026-03-24T05:19:00Z,56.00,44.00
2026-03-24T05:22:00Z,56.00,46.00
2026-03-24T05:24:00Z,57.00,46.00
2026-03-24T05:29:00Z,56.00,46.00
2026-03-24T05:41:00Z,56.00,46.00
2026-03-24T05:59:00Z,57.00,46.00
2026-03-24T06:06:00Z,57.00,46.00
2026-03-24T06:13:00Z,57.00,46.00
2026-03-24T06:21:00Z,57.00,45.00
2026-03-24T06:29:00Z,57.00,45.00
2026-03-24T06:52:00Z,57.00,45.00
2026-03-24T07:01:00Z,57.00,45.00
2026-03-24T07:18:00Z,57.00,45.00
2026-03-24T07:19:00Z,57.00,45.00
2026-03-24T07:28:00Z,57.00,45.00
2026-03-24T07:52:00Z,57.00,45.00
2026-03-24T07:57:00Z,57.00,45.00
2026-03-24T08:07:00Z,57.00,45.00
2026-03-24T08:13:00Z,57.00,45.00
2026-03-24T08:17:00Z,57.00,44.00
2026-03-24T08:21:00Z,57.00,44.00
2026-03-24T08:29:00Z,57.00,44.00
2026-03-24T08:30:00Z,57.00,44.00
2026-03-24T08:37:00Z,57.38,44.00
2026-03-24T08:44:00Z,57.38,44.00
2026-03-24T08:45:00Z,58.00,43.95
2026-03-24T08:47:00Z,58.00,44.00
2026-03-24T08:52:00Z,58.00,44.00
2026-03-24T08:53:00Z,58.00,44.00
2026-03-24T08:55:00Z,58.00,44.00
2026-03-24T08:57:00Z,58.00,44.00
2026-03-24T09:03:00Z,57.97,45.00
2026-03-24T09:04:00Z,58.80,45.00
2026-03-24T09:05:00Z,56.63,45.17
2026-03-24T09:06:00Z,51.82,49.92
2026-03-24T09:07:00Z,51.00,51.00
2026-03-24T09:08:00Z,51.00,51.00
2026-03-24T09:09:00Z,48.86,53.00
2026-03-24T09:10:00Z,54.30,46.48
2026-03-24T09:11:00Z,57.00,43.89
2026-03-24T09:12:00Z,58.00,42.02
2026-03-24T09:13:00Z,52.00,48.16
2026-03-24T09:14:00Z,52.00,51.00
2026-03-24T09:15:00Z,47.85,54.81
2026-03-24T09:16:00Z,42.08,61.67
2026-03-24T09:17:00Z,37.47,65.17
2026-03-24T09:18:00Z,32.92,68.58
2026-03-24T09:19:00Z,28.40,72.42
2026-03-24T09:20:00Z,29.02,71.06
2026-03-24T09:21:00Z,29.00,72.93
2026-03-24T09:22:00Z,29.88,69.91
2026-03-24T09:23:00Z,34.22,67.00
2026-03-24T09:24:00Z,38.67,64.85
2026-03-24T09:25:00Z,39.00,66.00
2026-03-24T09:26:00Z,38.59,68.18
2026-03-24T09:27:00Z,33.00,69.00
2026-03-24T09:28:00Z,42.71,66.00
2026-03-24T09:29:00Z,34.25,68.00
2026-03-24T09:30:00Z,37.28,68.00
2026-03-24T09:31:00Z,31.09,68.00
2026-03-24T09:32:00Z,37.95,62.91
2026-03-24T09:33:00Z,42.58,63.95
2026-03-24T09:34:00Z,45.99,61.05
2026-03-24T09:35:00Z,50.12,50.00
2026-03-24T09:36:00Z,51.02,50.00
2026-03-24T09:37:00Z,46.96,57.50
2026-03-24T09:38:00Z,37.99,62.59
2026-03-24T09:39:00Z,34.18,65.66
2026-03-24T09:40:00Z,38.00,63.55
2026-03-24T09:41:00Z,32.00,69.00
2026-03-24T09:42:00Z,28.82,69.00
2026-03-24T09:43:00Z,29.29,69.00
2026-03-24T09:44:00Z,28.48,70.73
2026-03-24T09:45:00Z,18.49,75.84
2026-03-24T09:46:00Z,20.50,81.00
2026-03-24T09:47:00Z,18.00,84.78
2026-03-24T09:48:00Z,16.73,86.26
2026-03-24T09:49:00Z,11.00,89.90
2026-03-24T09:50:00Z,8.72,92.34
2026-03-24T09:51:00Z,11.25,89.49
2026-03-24T09:52:00Z,14.42,87.00
2026-03-24T09:53:00Z,13.00,89.71
2026-03-24T09:54:00Z,9.00,91.00
2026-03-24T09:55:00Z,10.11,91.96
2026-03-24T09:56:00Z,8.05,92.00
2026-03-24T09:57:00Z,10.00,91.96
2026-03-24T09:58:00Z,10.00,88.18
2026-03-24T09:59:00Z,4.16,95.31
2026-03-24T10:00:00Z,3.00,97.65
2026-03-24T10:01:00Z,1.00,98.98
2026-03-24T10:02:00Z,1.00,99.00
2026-03-24T10:03:00Z,1.00,99.00
2026-03-24T10:04:00Z,1.00,99.00
2026-03-24T10:05:00Z,1.00,99.00
2026-03-24T10:06:00Z,1.00,99.00
2026-03-24T10:07:00Z,1.00,99.00
2026-03-24T10:08:00Z,1.00,99.00
2026-03-24T10:11:00Z,1.00,99.00
2026-03-24T10:12:00Z,1.00,99.00
