# event_ticker=KXATPCHALLENGERMATCH-26MAY05WENFER
# final_score=6-3 6-3
# match_winner=Frederico Ferreira Silva
# fav_player=Frederico Ferreira Silva
# dog_player=Harry Wendelken
# kalshi_date=2026-05-05
timestamp,Harry Wendelken,Frederico Ferreira Silva
2026-05-05T01:02:00Z,,78.00
2026-05-05T01:15:00Z,25.00,78.00
2026-05-05T02:31:00Z,25.00,79.00
2026-05-05T04:03:00Z,23.50,79.00
2026-05-05T04:04:00Z,23.50,79.00
2026-05-05T04:05:00Z,23.50,79.00
2026-05-05T05:25:00Z,23.50,79.00
2026-05-05T05:31:00Z,23.50,76.00
2026-05-05T05:56:00Z,23.50,76.00
2026-05-05T05:58:00Z,23.50,75.00
2026-05-05T05:59:00Z,23.50,75.00
2026-05-05T06:01:00Z,25.00,75.00
2026-05-05T07:13:00Z,25.00,76.00
2026-05-05T07:18:00Z,25.00,76.00
2026-05-05T11:18:00Z,25.00,76.00
2026-05-05T11:54:00Z,25.00,76.00
2026-05-05T11:59:00Z,25.97,76.00
2026-05-05T12:09:00Z,25.97,76.00
2026-05-05T12:16:00Z,26.88,76.00
2026-05-05T12:27:00Z,26.88,76.00
2026-05-05T12:30:00Z,26.88,76.00
2026-05-05T12:42:00Z,27.00,76.00
2026-05-05T12:44:00Z,27.90,76.00
2026-05-05T12:45:00Z,28.00,76.00
2026-05-05T12:48:00Z,28.00,76.00
2026-05-05T12:49:00Z,28.00,76.00
2026-05-05T12:51:00Z,28.00,78.38
2026-05-05T12:53:00Z,29.62,70.71
2026-05-05T12:54:00Z,31.00,70.71
2026-05-05T12:55:00Z,32.00,70.71
2026-05-05T12:56:00Z,32.00,67.00
2026-05-05T12:57:00Z,34.58,65.16
2026-05-05T12:58:00Z,30.26,69.00
2026-05-05T12:59:00Z,31.00,69.00
2026-05-05T13:02:00Z,26.12,69.00
2026-05-05T13:03:00Z,27.64,75.00
2026-05-05T13:04:00Z,28.17,71.00
2026-05-05T13:05:00Z,28.39,72.00
2026-05-05T13:06:00Z,30.63,69.00
2026-05-05T13:07:00Z,32.00,69.00
2026-05-05T13:08:00Z,33.22,66.29
2026-05-05T13:09:00Z,34.52,66.00
2026-05-05T13:10:00Z,35.10,66.00
2026-05-05T13:11:00Z,34.00,66.58
2026-05-05T13:12:00Z,34.00,70.00
2026-05-05T13:13:00Z,28.00,72.07
2026-05-05T13:14:00Z,28.00,72.00
2026-05-05T13:15:00Z,26.00,77.26
2026-05-05T13:16:00Z,19.49,82.23
2026-05-05T13:17:00Z,17.00,83.00
2026-05-05T13:19:00Z,17.00,84.00
2026-05-05T13:20:00Z,15.00,85.10
2026-05-05T13:21:00Z,15.00,85.09
2026-05-05T13:22:00Z,13.00,87.00
2026-05-05T13:23:00Z,13.99,88.00
2026-05-05T13:24:00Z,13.99,86.01
2026-05-05T13:25:00Z,15.88,86.01
2026-05-05T13:26:00Z,16.00,86.01
2026-05-05T13:27:00Z,16.00,85.00
2026-05-05T13:28:00Z,16.43,85.00
2026-05-05T13:29:00Z,14.38,86.00
2026-05-05T13:30:00Z,14.00,87.00
2026-05-05T13:31:00Z,13.00,88.00
2026-05-05T13:32:00Z,12.48,87.00
2026-05-05T13:33:00Z,11.00,89.00
2026-05-05T13:34:00Z,11.00,89.00
2026-05-05T13:35:00Z,9.11,91.10
2026-05-05T13:36:00Z,9.00,92.00
2026-05-05T13:37:00Z,9.00,92.00
2026-05-05T13:38:00Z,9.00,92.00
2026-05-05T13:39:00Z,9.00,91.36
2026-05-05T13:40:00Z,9.00,91.28
2026-05-05T13:41:00Z,9.26,91.00
2026-05-05T13:42:00Z,9.26,92.90
2026-05-05T13:43:00Z,7.00,94.00
2026-05-05T13:44:00Z,5.00,94.00
2026-05-05T13:45:00Z,8.00,92.14
2026-05-05T13:46:00Z,9.00,91.00
2026-05-05T13:47:00Z,9.00,92.00
2026-05-05T13:48:00Z,6.00,94.00
2026-05-05T13:49:00Z,6.00,94.00
2026-05-05T13:50:00Z,6.00,94.00
2026-05-05T13:51:00Z,5.87,92.01
2026-05-05T13:52:00Z,8.10,92.00
2026-05-05T13:53:00Z,8.43,92.00
2026-05-05T13:54:00Z,9.00,91.00
2026-05-05T13:55:00Z,7.77,91.00
2026-05-05T13:56:00Z,8.45,92.29
2026-05-05T13:57:00Z,8.00,93.00
2026-05-05T13:58:00Z,7.54,92.42
2026-05-05T13:59:00Z,8.00,92.42
2026-05-05T14:00:00Z,8.92,94.00
2026-05-05T14:01:00Z,8.35,92.12
2026-05-05T14:02:00Z,9.03,91.39
2026-05-05T14:03:00Z,9.71,91.27
2026-05-05T14:04:00Z,10.41,91.00
2026-05-05T14:05:00Z,8.29,91.64
2026-05-05T14:06:00Z,9.56,90.98
2026-05-05T14:07:00Z,8.74,93.00
