# event_ticker=KXATPCHALLENGERMATCH-26MAY18DURAGA
# final_score=6-3 6-2
# match_winner=Franco Agamenone
# fav_player=Franco Agamenone
# dog_player=Tuncay Duran
# kalshi_date=2026-05-18
timestamp,Tuncay Duran,Franco Agamenone
2026-05-18T02:29:00Z,19.00,
2026-05-18T05:56:00Z,19.00,83.00
2026-05-18T08:05:00Z,19.00,83.00
2026-05-18T08:09:00Z,19.00,83.00
2026-05-18T11:33:00Z,19.00,81.00
2026-05-18T11:35:00Z,19.00,82.00
2026-05-18T12:41:00Z,19.00,83.00
2026-05-18T12:45:00Z,20.00,83.00
2026-05-18T12:47:00Z,20.00,83.00
2026-05-18T12:50:00Z,20.00,83.00
2026-05-18T12:55:00Z,20.57,83.00
2026-05-18T12:56:00Z,18.86,83.00
2026-05-18T12:57:00Z,19.00,83.00
2026-05-18T13:00:00Z,17.00,83.00
2026-05-18T13:02:00Z,20.00,81.00
2026-05-18T13:03:00Z,19.00,81.00
2026-05-18T13:04:00Z,19.00,82.00
2026-05-18T13:05:00Z,19.00,82.00
2026-05-18T13:06:00Z,17.00,83.00
2026-05-18T13:07:00Z,18.00,83.00
2026-05-18T13:08:00Z,18.00,83.73
2026-05-18T13:09:00Z,19.85,83.73
2026-05-18T13:11:00Z,19.85,80.00
2026-05-18T13:13:00Z,18.00,80.00
2026-05-18T13:14:00Z,17.42,82.00
2026-05-18T13:15:00Z,14.46,85.07
2026-05-18T13:16:00Z,12.13,88.50
2026-05-18T13:17:00Z,15.38,84.00
2026-05-18T13:18:00Z,17.00,84.00
2026-05-18T13:19:00Z,14.67,84.97
2026-05-18T13:20:00Z,11.26,89.00
2026-05-18T13:21:00Z,10.00,89.00
2026-05-18T13:22:00Z,11.74,88.00
2026-05-18T13:23:00Z,14.46,87.00
2026-05-18T13:24:00Z,14.46,82.00
2026-05-18T13:25:00Z,14.46,82.00
2026-05-18T13:26:00Z,16.00,83.00
2026-05-18T13:27:00Z,16.75,83.98
2026-05-18T13:28:00Z,16.75,88.00
2026-05-18T13:29:00Z,9.81,89.04
2026-05-18T13:30:00Z,9.00,91.72
2026-05-18T13:31:00Z,7.98,92.00
2026-05-18T13:33:00Z,9.01,91.00
2026-05-18T13:34:00Z,11.00,88.59
2026-05-18T13:35:00Z,8.00,91.98
2026-05-18T13:36:00Z,8.00,93.00
2026-05-18T13:37:00Z,8.00,93.00
2026-05-18T13:39:00Z,8.00,94.00
2026-05-18T13:40:00Z,7.00,93.79
2026-05-18T13:41:00Z,7.00,96.00
2026-05-18T13:42:00Z,6.00,96.00
2026-05-18T13:43:00Z,3.49,97.00
2026-05-18T13:45:00Z,3.00,97.00
2026-05-18T13:46:00Z,3.00,98.00
2026-05-18T13:47:00Z,1.00,99.00
2026-05-18T13:48:00Z,2.27,98.00
2026-05-18T13:49:00Z,2.00,98.00
2026-05-18T13:50:00Z,2.00,99.00
2026-05-18T13:51:00Z,1.00,99.00
2026-05-18T13:52:00Z,1.00,99.00
2026-05-18T13:54:00Z,1.00,99.00
2026-05-18T13:57:00Z,1.00,99.00
2026-05-18T13:58:00Z,1.00,99.00
2026-05-18T14:02:00Z,1.00,99.00
2026-05-18T14:05:00Z,1.00,99.00
2026-05-18T14:06:00Z,1.00,99.00
2026-05-18T14:08:00Z,1.00,99.00
2026-05-18T14:11:00Z,1.00,99.00
2026-05-18T14:12:00Z,1.00,99.00
2026-05-18T14:14:00Z,1.00,99.00
2026-05-18T14:15:00Z,1.00,99.00
