# event_ticker=KXATPCHALLENGERMATCH-26MAR04DEKYM
# final_score=6-4 6-2
# match_winner=Jerome Kym
# fav_player=Jerome Kym
# dog_player=Michiel De Krom
# kalshi_date=2026-03-04
timestamp,Jerome Kym,Michiel De Krom
2026-03-04T13:47:00Z,96.00,
2026-03-04T13:49:00Z,99.00,
2026-03-04T13:51:00Z,99.00,14.00
2026-03-04T13:52:00Z,90.65,14.00
2026-03-04T13:53:00Z,90.65,15.00
2026-03-04T13:54:00Z,60.00,16.00
2026-03-04T13:55:00Z,97.84,16.00
2026-03-04T13:56:00Z,97.68,6.00
2026-03-04T13:57:00Z,81.57,14.95
2026-03-04T13:58:00Z,81.57,13.00
2026-03-04T13:59:00Z,78.00,13.00
2026-03-04T14:00:00Z,97.76,6.89
2026-03-04T14:01:00Z,90.00,15.10
2026-03-04T14:02:00Z,96.00,6.54
2026-03-04T14:03:00Z,96.00,13.81
2026-03-04T14:04:00Z,94.00,9.87
2026-03-04T14:05:00Z,90.33,7.20
2026-03-04T14:06:00Z,93.91,9.12
2026-03-04T14:07:00Z,95.45,4.33
2026-03-04T14:08:00Z,96.40,2.48
2026-03-04T14:09:00Z,97.00,4.19
2026-03-04T14:10:00Z,97.00,4.86
2026-03-04T14:11:00Z,95.07,5.64
2026-03-04T14:12:00Z,94.27,7.78
2026-03-04T14:13:00Z,95.37,9.00
2026-03-04T14:14:00Z,97.90,3.04
2026-03-04T14:15:00Z,97.90,2.62
2026-03-04T14:16:00Z,99.00,3.00
2026-03-04T14:17:00Z,99.00,3.00
2026-03-04T14:18:00Z,99.00,1.00
2026-03-04T14:19:00Z,99.00,1.00
2026-03-04T14:20:00Z,99.00,1.00
2026-03-04T14:21:00Z,99.00,1.00
2026-03-04T14:22:00Z,99.00,1.00
2026-03-04T14:23:00Z,99.00,1.00
2026-03-04T14:24:00Z,99.00,1.00
2026-03-04T14:28:00Z,99.00,1.00
2026-03-04T14:31:00Z,99.00,1.00
