# event_ticker=KXATPCHALLENGERMATCH-26MAY06SINSIN2
# final_score=6-3 7-5
# match_winner=Karan Singh
# fav_player=Digvijay Pratap Singh
# dog_player=Karan (IND) Singh
# kalshi_date=2026-05-06
timestamp,Karan (IND) Singh,Digvijay Pratap Singh
2026-05-06T05:02:00Z,,44.00
2026-05-06T05:24:00Z,58.00,44.00
2026-05-06T05:59:00Z,56.00,44.00
2026-05-06T07:55:00Z,56.00,42.00
2026-05-06T09:03:00Z,56.00,44.00
2026-05-06T10:02:00Z,56.00,44.00
2026-05-06T12:35:00Z,54.00,44.00
2026-05-06T13:35:00Z,54.00,44.00
2026-05-06T14:38:00Z,54.00,44.00
2026-05-06T14:47:00Z,54.00,44.00
2026-05-06T15:27:00Z,54.00,46.00
2026-05-06T15:58:00Z,55.00,46.00
2026-05-06T16:01:00Z,55.00,46.00
2026-05-06T16:16:00Z,54.00,46.00
2026-05-06T16:33:00Z,55.00,46.00
2026-05-06T16:42:00Z,57.00,46.00
2026-05-06T16:48:00Z,53.00,50.00
2026-05-06T16:49:00Z,52.65,48.51
2026-05-06T16:50:00Z,54.35,46.00
2026-05-06T16:51:00Z,57.07,44.00
2026-05-06T16:52:00Z,55.79,44.00
2026-05-06T16:53:00Z,52.00,44.00
2026-05-06T16:54:00Z,52.00,50.56
2026-05-06T16:55:00Z,52.00,51.00
2026-05-06T16:56:00Z,52.02,51.00
2026-05-06T16:57:00Z,52.44,51.00
2026-05-06T16:58:00Z,54.04,51.00
2026-05-06T16:59:00Z,55.52,42.00
2026-05-06T17:00:00Z,64.73,37.00
2026-05-06T17:01:00Z,67.62,33.59
2026-05-06T17:02:00Z,69.79,29.00
2026-05-06T17:03:00Z,73.51,26.75
2026-05-06T17:04:00Z,73.40,28.00
2026-05-06T17:05:00Z,74.50,28.12
2026-05-06T17:06:00Z,71.40,29.00
2026-05-06T17:07:00Z,73.00,29.00
2026-05-06T17:08:00Z,73.03,28.02
2026-05-06T17:09:00Z,72.00,28.02
2026-05-06T17:10:00Z,74.01,28.02
2026-05-06T17:11:00Z,74.76,28.02
2026-05-06T17:12:00Z,75.00,28.02
2026-05-06T17:13:00Z,75.12,28.02
2026-05-06T17:14:00Z,74.26,28.02
2026-05-06T17:15:00Z,73.40,27.15
2026-05-06T17:16:00Z,71.77,30.00
2026-05-06T17:17:00Z,77.50,24.90
2026-05-06T17:18:00Z,76.89,23.04
2026-05-06T17:19:00Z,76.88,24.00
2026-05-06T17:20:00Z,76.99,24.33
2026-05-06T17:21:00Z,77.00,25.00
2026-05-06T17:22:00Z,78.30,25.85
2026-05-06T17:23:00Z,78.91,23.25
2026-05-06T17:24:00Z,75.35,25.72
2026-05-06T17:25:00Z,75.58,26.00
2026-05-06T17:26:00Z,72.27,27.84
2026-05-06T17:27:00Z,74.55,27.87
2026-05-06T17:28:00Z,64.47,35.50
2026-05-06T17:29:00Z,58.91,42.85
2026-05-06T17:30:00Z,59.09,42.12
2026-05-06T17:31:00Z,62.93,35.89
2026-05-06T17:32:00Z,59.95,41.43
2026-05-06T17:33:00Z,63.93,32.94
2026-05-06T17:34:00Z,60.91,40.32
2026-05-06T17:35:00Z,57.02,43.78
2026-05-06T17:36:00Z,56.73,42.29
2026-05-06T17:37:00Z,58.41,41.62
2026-05-06T17:38:00Z,58.72,42.00
2026-05-06T17:39:00Z,61.21,41.00
2026-05-06T17:40:00Z,60.99,40.18
2026-05-06T17:41:00Z,67.74,40.18
2026-05-06T17:42:00Z,73.67,26.00
2026-05-06T17:43:00Z,74.93,26.99
2026-05-06T17:44:00Z,76.99,23.00
2026-05-06T17:45:00Z,78.03,22.48
2026-05-06T17:46:00Z,80.76,19.58
2026-05-06T17:47:00Z,82.25,20.31
2026-05-06T17:48:00Z,76.18,22.93
2026-05-06T17:49:00Z,75.98,25.95
2026-05-06T17:50:00Z,74.47,25.52
2026-05-06T17:51:00Z,78.06,22.00
2026-05-06T17:52:00Z,77.82,24.40
2026-05-06T17:53:00Z,77.83,23.63
2026-05-06T17:54:00Z,75.81,25.83
2026-05-06T17:55:00Z,72.89,27.00
2026-05-06T17:56:00Z,68.52,30.91
2026-05-06T17:57:00Z,73.74,32.46
2026-05-06T17:58:00Z,74.59,23.46
2026-05-06T17:59:00Z,76.84,24.10
2026-05-06T18:00:00Z,79.47,21.10
2026-05-06T18:01:00Z,89.99,12.58
2026-05-06T18:02:00Z,92.43,9.74
2026-05-06T18:03:00Z,92.28,8.20
2026-05-06T18:04:00Z,96.07,3.87
2026-05-06T18:05:00Z,97.73,2.82
2026-05-06T18:06:00Z,97.38,2.85
2026-05-06T18:07:00Z,95.58,4.19
2026-05-06T18:08:00Z,98.18,1.58
2026-05-06T18:09:00Z,99.00,1.58
2026-05-06T18:10:00Z,99.00,1.58
2026-05-06T18:11:00Z,99.00,1.58
2026-05-06T18:12:00Z,99.00,1.58
2026-05-06T18:13:00Z,99.00,1.58
2026-05-06T18:14:00Z,99.00,1.58
2026-05-06T18:15:00Z,99.00,1.58
2026-05-06T18:16:00Z,99.00,1.58
