# event_ticker=KXATPCHALLENGERMATCH-26APR28SQUBLA
# final_score=6-2 6-4
# match_winner=Henri Squire
# fav_player=Henri Squire
# dog_player=Ugo Blanchet
# kalshi_date=2026-04-28
timestamp,Henri Squire,Ugo Blanchet
2026-04-28T05:00:00Z,,50.00
2026-04-28T06:11:00Z,51.00,50.00
2026-04-28T08:20:00Z,51.00,51.00
2026-04-28T09:57:00Z,51.00,51.00
2026-04-28T10:34:00Z,51.00,51.00
2026-04-28T10:49:00Z,51.00,51.00
2026-04-28T10:50:00Z,51.00,51.00
2026-04-28T10:54:00Z,51.00,55.00
2026-04-28T10:56:00Z,51.00,49.84
2026-04-28T10:57:00Z,53.00,46.14
2026-04-28T10:58:00Z,53.00,42.17
2026-04-28T10:59:00Z,57.00,42.76
2026-04-28T11:00:00Z,63.72,40.54
2026-04-28T11:01:00Z,63.72,33.00
2026-04-28T11:02:00Z,68.16,33.00
2026-04-28T11:03:00Z,66.98,34.98
2026-04-28T11:04:00Z,65.01,34.00
2026-04-28T11:05:00Z,65.01,29.29
2026-04-28T11:06:00Z,72.00,26.15
2026-04-28T11:07:00Z,68.02,31.96
2026-04-28T11:08:00Z,68.02,33.00
2026-04-28T11:09:00Z,64.00,33.24
2026-04-28T11:10:00Z,61.77,40.86
2026-04-28T11:11:00Z,62.17,38.14
2026-04-28T11:12:00Z,67.00,30.02
2026-04-28T11:13:00Z,71.96,28.00
2026-04-28T11:14:00Z,73.85,28.00
2026-04-28T11:15:00Z,75.00,25.00
2026-04-28T11:17:00Z,75.00,22.00
2026-04-28T11:18:00Z,80.00,20.00
2026-04-28T11:20:00Z,80.00,20.00
2026-04-28T11:21:00Z,80.00,21.00
2026-04-28T11:22:00Z,80.00,21.00
2026-04-28T11:23:00Z,81.75,19.11
2026-04-28T11:24:00Z,84.86,14.37
2026-04-28T11:25:00Z,84.00,14.00
2026-04-28T11:26:00Z,84.67,16.94
2026-04-28T11:27:00Z,84.44,15.25
2026-04-28T11:28:00Z,81.86,18.17
2026-04-28T11:29:00Z,80.18,19.70
2026-04-28T11:30:00Z,82.00,19.70
2026-04-28T11:31:00Z,80.00,21.00
2026-04-28T11:32:00Z,80.22,20.01
2026-04-28T11:33:00Z,82.00,20.01
2026-04-28T11:34:00Z,82.00,18.00
2026-04-28T11:35:00Z,85.00,14.00
2026-04-28T11:36:00Z,84.12,15.00
2026-04-28T11:37:00Z,85.86,14.81
2026-04-28T11:38:00Z,92.56,7.02
2026-04-28T11:40:00Z,93.00,5.31
2026-04-28T11:41:00Z,93.73,6.83
2026-04-28T11:42:00Z,93.73,6.25
2026-04-28T11:43:00Z,93.73,7.07
2026-04-28T11:44:00Z,95.31,5.00
2026-04-28T11:45:00Z,96.14,3.93
2026-04-28T11:46:00Z,99.00,1.00
2026-04-28T11:47:00Z,99.00,2.00
2026-04-28T11:48:00Z,98.55,2.00
2026-04-28T11:49:00Z,98.55,2.57
2026-04-28T11:50:00Z,96.93,3.07
2026-04-28T11:51:00Z,96.00,5.65
2026-04-28T11:52:00Z,94.00,6.00
2026-04-28T11:53:00Z,94.00,6.00
2026-04-28T11:54:00Z,91.18,8.17
2026-04-28T11:55:00Z,89.00,10.76
2026-04-28T11:56:00Z,89.69,9.25
2026-04-28T11:57:00Z,97.79,4.00
2026-04-28T11:58:00Z,98.47,2.78
2026-04-28T11:59:00Z,97.30,3.10
2026-04-28T12:00:00Z,98.00,3.06
2026-04-28T12:01:00Z,97.00,3.06
2026-04-28T12:02:00Z,97.00,4.35
2026-04-28T12:03:00Z,95.10,6.02
2026-04-28T12:04:00Z,96.03,4.56
2026-04-28T12:05:00Z,99.00,1.19
