# event_ticker=KXATPCHALLENGERMATCH-26MAR26SANCAR
# final_score=3-6 7-5 6-3
# match_winner=Pablo Carreno Busta
# fav_player=Pablo Carreno Busta
# dog_player=Alejo Sanchez Quilez
# kalshi_date=2026-03-26
timestamp,Pablo Carreno Busta,Alejo Sanchez Quilez
2026-03-26T05:31:00Z,,13.83
2026-03-26T05:35:00Z,86.00,13.83
2026-03-26T05:56:00Z,87.00,13.00
2026-03-26T06:14:00Z,87.00,14.00
2026-03-26T06:47:00Z,87.00,14.00
2026-03-26T06:58:00Z,87.00,14.00
2026-03-26T09:04:00Z,87.00,14.00
2026-03-26T09:11:00Z,87.00,14.00
2026-03-26T09:31:00Z,88.00,14.00
2026-03-26T09:45:00Z,88.00,15.00
2026-03-26T10:10:00Z,88.00,15.00
2026-03-26T10:28:00Z,88.00,15.00
2026-03-26T10:55:00Z,88.00,15.00
2026-03-26T11:15:00Z,88.00,15.00
2026-03-26T11:23:00Z,88.00,13.00
2026-03-26T11:37:00Z,88.00,13.00
2026-03-26T11:49:00Z,88.00,14.00
2026-03-26T12:02:00Z,88.00,14.00
2026-03-26T12:11:00Z,88.00,14.00
2026-03-26T12:12:00Z,88.00,14.00
2026-03-26T12:17:00Z,88.00,14.00
2026-03-26T12:30:00Z,88.00,14.00
2026-03-26T12:32:00Z,88.00,14.00
2026-03-26T12:35:00Z,88.00,14.00
2026-03-26T12:43:00Z,88.00,14.00
2026-03-26T12:49:00Z,88.00,14.00
2026-03-26T12:50:00Z,88.00,14.41
2026-03-26T12:51:00Z,88.00,13.00
2026-03-26T12:53:00Z,88.00,14.00
2026-03-26T13:11:00Z,88.00,14.00
2026-03-26T13:16:00Z,88.00,13.00
2026-03-26T13:17:00Z,88.00,13.00
2026-03-26T13:20:00Z,88.00,14.00
2026-03-26T13:25:00Z,88.00,14.00
2026-03-26T13:26:00Z,88.00,14.00
2026-03-26T13:27:00Z,88.00,13.00
2026-03-26T13:29:00Z,89.00,13.00
2026-03-26T13:31:00Z,88.00,13.00
2026-03-26T13:32:00Z,88.65,13.00
2026-03-26T13:34:00Z,88.65,13.00
2026-03-26T13:37:00Z,89.00,13.00
2026-03-26T13:41:00Z,89.00,13.00
2026-03-26T13:43:00Z,89.00,13.00
2026-03-26T13:45:00Z,89.00,13.69
2026-03-26T13:46:00Z,88.00,13.00
2026-03-26T13:48:00Z,88.00,13.00
2026-03-26T13:53:00Z,88.04,14.00
