# event_ticker=KXATPMATCH-26JAN10MEDMIC
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Daniil Medvedev
# fav_player=Alex Michelsen
# dog_player=Daniil Medvedev
# kalshi_date=2026-01-10
timestamp,Alex Michelsen,Daniil Medvedev
2026-01-09T20:59:00Z,,75.00
2026-01-09T21:38:00Z,,76.00
2026-01-09T21:55:00Z,,76.00
2026-01-09T22:49:00Z,,76.00
2026-01-09T23:17:00Z,,76.00
2026-01-09T23:45:00Z,,77.00
2026-01-09T23:47:00Z,,77.00
2026-01-09T23:55:00Z,24.00,77.00
2026-01-09T23:58:00Z,24.00,77.00
2026-01-10T00:24:00Z,24.00,77.00
2026-01-10T00:25:00Z,24.00,77.00
2026-01-10T00:52:00Z,24.00,77.00
2026-01-10T00:54:00Z,24.00,77.00
2026-01-10T01:12:00Z,24.00,77.00
2026-01-10T01:19:00Z,24.00,77.00
2026-01-10T01:32:00Z,24.00,77.00
2026-01-10T01:39:00Z,24.00,77.00
2026-01-10T01:40:00Z,24.00,78.00
2026-01-10T02:34:00Z,23.00,78.00
2026-01-10T02:47:00Z,23.00,78.00
2026-01-10T02:54:00Z,23.00,78.00
2026-01-10T03:00:00Z,23.00,78.00
2026-01-10T03:45:00Z,23.00,78.00
2026-01-10T03:47:00Z,23.00,78.00
2026-01-10T03:48:00Z,23.00,78.00
2026-01-10T03:55:00Z,23.00,78.00
2026-01-10T04:16:00Z,23.00,78.00
2026-01-10T04:17:00Z,24.00,78.00
2026-01-10T04:20:00Z,25.00,78.00
2026-01-10T04:22:00Z,25.00,78.00
2026-01-10T04:33:00Z,25.00,78.00
2026-01-10T04:44:00Z,25.00,78.00
2026-01-10T04:48:00Z,25.00,78.00
2026-01-10T04:51:00Z,25.00,77.00
2026-01-10T04:52:00Z,25.00,77.00
2026-01-10T04:57:00Z,25.00,77.00
2026-01-10T04:58:00Z,25.00,77.00
2026-01-10T04:59:00Z,25.00,77.00
2026-01-10T05:01:00Z,25.00,77.00
2026-01-10T05:08:00Z,25.00,76.00
