# event_ticker=KXATPMATCH-26APR28SINNOR
# final_score=6-2 7-5
# match_winner=Jannik Sinner
# fav_player=Jannik Sinner
# dog_player=Cameron Norrie
# kalshi_date=2026-04-28
timestamp,Jannik Sinner,Cameron Norrie
2026-04-27T21:22:00Z,,6.00
2026-04-27T21:23:00Z,,6.00
2026-04-27T21:25:00Z,,6.00
2026-04-27T21:26:00Z,96.00,6.00
2026-04-27T21:27:00Z,96.00,6.00
2026-04-27T21:28:00Z,96.00,6.00
2026-04-27T21:32:00Z,96.00,6.00
2026-04-27T21:33:00Z,96.00,6.00
2026-04-27T21:36:00Z,96.00,6.00
2026-04-27T21:45:00Z,96.00,6.00
2026-04-27T21:58:00Z,96.00,6.00
2026-04-27T21:59:00Z,96.00,5.00
2026-04-27T22:02:00Z,96.00,6.00
2026-04-27T22:03:00Z,96.00,6.00
2026-04-27T22:04:00Z,96.00,6.00
2026-04-27T22:05:00Z,96.00,6.00
2026-04-27T22:06:00Z,96.00,5.00
2026-04-27T22:07:00Z,96.00,5.00
2026-04-27T22:08:00Z,96.00,5.00
2026-04-27T22:11:00Z,96.00,5.00
2026-04-27T22:12:00Z,96.00,5.00
2026-04-27T22:14:00Z,96.00,5.00
2026-04-27T22:15:00Z,96.00,5.00
2026-04-27T22:16:00Z,96.00,5.00
2026-04-27T22:17:00Z,96.00,5.00
2026-04-27T22:19:00Z,95.00,5.00
2026-04-27T22:22:00Z,95.00,5.00
2026-04-27T22:24:00Z,95.00,5.00
2026-04-27T22:25:00Z,95.00,5.00
2026-04-27T22:27:00Z,96.00,5.00
2026-04-27T22:29:00Z,95.00,5.00
2026-04-27T22:33:00Z,95.00,4.00
2026-04-27T22:35:00Z,95.00,5.00
2026-04-27T22:36:00Z,95.00,4.00
2026-04-27T22:37:00Z,95.00,5.00
2026-04-27T22:40:00Z,95.00,5.00
2026-04-27T22:41:00Z,95.50,5.00
2026-04-27T22:42:00Z,95.50,5.00
2026-04-27T22:44:00Z,96.00,5.00
2026-04-27T22:45:00Z,96.00,5.00
2026-04-27T22:47:00Z,96.00,5.00
2026-04-27T22:53:00Z,96.00,5.00
2026-04-27T22:54:00Z,95.50,5.00
2026-04-27T22:57:00Z,95.50,5.00
2026-04-27T22:58:00Z,95.50,5.00
2026-04-27T22:59:00Z,96.00,5.00
2026-04-27T23:00:00Z,96.00,5.00
2026-04-27T23:01:00Z,96.00,5.00
2026-04-27T23:03:00Z,95.36,5.00
2026-04-27T23:04:00Z,95.50,5.00
2026-04-27T23:05:00Z,96.00,5.00
2026-04-27T23:06:00Z,95.00,5.00
2026-04-27T23:07:00Z,96.00,5.00
2026-04-27T23:10:00Z,96.00,5.00
2026-04-27T23:11:00Z,96.00,4.00
2026-04-27T23:12:00Z,96.00,4.00
2026-04-27T23:17:00Z,96.00,5.00
2026-04-27T23:18:00Z,96.00,5.00
2026-04-27T23:19:00Z,96.00,4.83
