# event_ticker=KXATPCHALLENGERMATCH-26MAR07ROCMON
# final_score=6-0 6-7(3) 6-3
# score_resolution=6-0 6-7 6-3
# match_winner=Henrique Rocha
# fav_player=Henrique Rocha
# dog_player=Thiago Monteiro
# kalshi_date=2026-03-07
timestamp,Henrique Rocha,Thiago Monteiro
2026-03-07T03:10:00Z,,63.00
2026-03-07T04:41:00Z,44.00,63.00
2026-03-07T05:24:00Z,44.00,60.00
2026-03-07T05:29:00Z,44.00,60.00
2026-03-07T05:55:00Z,44.00,60.00
2026-03-07T06:20:00Z,44.07,60.00
2026-03-07T06:31:00Z,44.07,58.00
2026-03-07T06:35:00Z,44.07,58.00
2026-03-07T06:40:00Z,45.00,58.00
2026-03-07T06:44:00Z,45.00,58.00
2026-03-07T06:45:00Z,45.00,56.01
2026-03-07T06:59:00Z,45.00,56.20
2026-03-07T07:02:00Z,45.00,58.51
2026-03-07T07:14:00Z,44.00,58.51
2026-03-07T07:19:00Z,44.00,59.00
2026-03-07T07:31:00Z,44.00,59.00
2026-03-07T07:32:00Z,44.00,60.00
2026-03-07T07:46:00Z,43.00,60.00
2026-03-07T07:50:00Z,43.00,60.00
2026-03-07T07:57:00Z,43.00,60.00
2026-03-07T08:05:00Z,43.00,60.00
2026-03-07T08:06:00Z,43.00,60.00
2026-03-07T08:07:00Z,43.00,60.00
2026-03-07T08:11:00Z,43.00,60.54
2026-03-07T08:15:00Z,43.00,61.00
2026-03-07T08:18:00Z,43.00,61.00
2026-03-07T09:08:00Z,43.00,60.63
2026-03-07T09:11:00Z,43.00,61.00
2026-03-07T09:49:00Z,42.00,61.00
2026-03-07T10:43:00Z,42.00,61.00
2026-03-07T10:48:00Z,42.00,61.00
2026-03-07T10:49:00Z,42.00,61.00
2026-03-07T10:52:00Z,42.00,61.00
2026-03-07T11:10:00Z,42.00,63.00
2026-03-07T11:17:00Z,42.00,63.00
2026-03-07T11:23:00Z,38.00,63.00
2026-03-07T11:24:00Z,36.00,63.00
2026-03-07T11:33:00Z,36.00,63.00
2026-03-07T11:35:00Z,36.00,63.00
2026-03-07T11:54:00Z,36.00,63.00
2026-03-07T11:56:00Z,36.00,63.00
2026-03-07T11:57:00Z,36.00,63.00
2026-03-07T11:58:00Z,36.00,63.00
2026-03-07T12:01:00Z,36.00,63.00
2026-03-07T12:05:00Z,38.00,63.00
2026-03-07T12:06:00Z,38.00,63.00
2026-03-07T12:15:00Z,38.00,63.00
2026-03-07T12:18:00Z,38.00,63.00
2026-03-07T12:20:00Z,38.00,63.00
2026-03-07T12:29:00Z,38.00,63.00
2026-03-07T12:31:00Z,38.00,63.00
2026-03-07T12:32:00Z,38.00,63.00
2026-03-07T12:33:00Z,38.00,63.00
2026-03-07T12:45:00Z,38.00,63.00
2026-03-07T12:46:00Z,38.00,63.00
2026-03-07T12:48:00Z,38.00,63.00
2026-03-07T12:49:00Z,38.00,63.00
2026-03-07T12:52:00Z,38.00,63.00
2026-03-07T12:55:00Z,38.00,64.76
2026-03-07T13:05:00Z,38.00,65.00
2026-03-07T13:07:00Z,38.00,65.00
2026-03-07T13:13:00Z,38.00,65.00
2026-03-07T13:18:00Z,38.00,65.00
2026-03-07T13:24:00Z,38.00,64.00
2026-03-07T13:27:00Z,38.00,64.00
2026-03-07T13:28:00Z,38.00,64.00
2026-03-07T13:32:00Z,38.00,64.00
2026-03-07T13:34:00Z,37.80,64.00
2026-03-07T13:35:00Z,38.00,64.00
2026-03-07T13:36:00Z,38.00,65.00
2026-03-07T13:37:00Z,38.00,65.00
2026-03-07T13:39:00Z,38.00,65.00
2026-03-07T13:43:00Z,38.00,65.00
2026-03-07T13:44:00Z,38.00,65.00
2026-03-07T13:45:00Z,38.00,62.00
2026-03-07T13:48:00Z,37.00,65.00
2026-03-07T13:51:00Z,37.00,66.00
