# event_ticker=KXATPMATCH-25AUG19BAUOCO
# final_score=6-4 RET
# match_winner=Roberto Bautista Agut
# fav_player=Christopher O'Connell
# dog_player=Roberto Bautista Agut
# kalshi_date=2025-08-19
timestamp,Christopher O'Connell,Roberto Bautista Agut
2025-08-19T12:00:00Z,44.00,
2025-08-19T13:01:00Z,44.00,61.00
2025-08-19T13:20:00Z,44.00,61.00
2025-08-19T13:25:00Z,44.00,61.00
2025-08-19T13:32:00Z,44.00,61.00
2025-08-19T13:42:00Z,44.00,61.00
2025-08-19T13:43:00Z,44.00,61.00
2025-08-19T13:48:00Z,44.00,61.00
2025-08-19T13:58:00Z,39.00,61.00
2025-08-19T14:05:00Z,39.00,63.00
2025-08-19T14:26:00Z,39.00,61.00
2025-08-19T14:27:00Z,39.00,61.00
2025-08-19T14:59:00Z,40.45,59.00
2025-08-19T15:08:00Z,40.45,60.00
2025-08-19T15:17:00Z,40.45,60.00
2025-08-19T15:30:00Z,40.45,60.00
2025-08-19T15:36:00Z,40.45,60.00
2025-08-19T15:39:00Z,41.00,60.00
2025-08-19T15:45:00Z,41.00,60.00
2025-08-19T15:58:00Z,41.00,60.00
2025-08-19T16:08:00Z,41.00,60.00
2025-08-19T16:14:00Z,41.00,60.00
2025-08-19T16:22:00Z,41.00,60.00
2025-08-19T16:27:00Z,41.00,60.00
2025-08-19T16:32:00Z,41.00,60.00
2025-08-19T16:39:00Z,41.00,60.00
2025-08-19T16:43:00Z,41.00,60.00
2025-08-19T16:56:00Z,41.00,60.00
2025-08-19T16:57:00Z,41.00,60.00
2025-08-19T16:58:00Z,41.00,60.00
2025-08-19T17:00:00Z,41.00,60.00
2025-08-19T17:10:00Z,41.00,60.64
2025-08-19T17:31:00Z,41.00,61.00
2025-08-19T17:37:00Z,41.00,61.00
2025-08-19T17:38:00Z,41.00,61.00
2025-08-19T17:45:00Z,41.00,61.00
2025-08-19T17:51:00Z,41.00,61.00
2025-08-19T17:54:00Z,41.00,61.00
2025-08-19T17:56:00Z,41.00,61.00
2025-08-19T18:01:00Z,41.00,61.00
2025-08-19T18:05:00Z,42.00,61.00
2025-08-19T18:06:00Z,42.00,61.00
2025-08-19T18:07:00Z,42.00,64.00
2025-08-19T18:08:00Z,42.22,64.00
2025-08-19T18:09:00Z,42.22,63.00
2025-08-19T18:11:00Z,44.10,60.18
2025-08-19T18:13:00Z,48.65,58.00
2025-08-19T18:14:00Z,58.58,51.04
2025-08-19T18:16:00Z,54.00,51.04
2025-08-19T18:17:00Z,49.15,52.24
2025-08-19T18:19:00Z,49.15,59.00
2025-08-19T18:20:00Z,49.15,63.92
2025-08-19T18:21:00Z,49.15,65.00
2025-08-19T18:22:00Z,49.15,66.00
2025-08-19T18:23:00Z,33.00,66.00
2025-08-19T18:24:00Z,28.00,66.00
2025-08-19T18:26:00Z,28.00,80.19
2025-08-19T18:27:00Z,28.00,81.05
2025-08-19T18:28:00Z,28.00,82.19
2025-08-19T18:29:00Z,28.00,84.00
2025-08-19T18:30:00Z,24.41,93.78
2025-08-19T18:31:00Z,16.00,84.92
2025-08-19T18:32:00Z,17.68,82.94
2025-08-19T18:33:00Z,17.68,83.06
2025-08-19T18:34:00Z,28.71,86.49
2025-08-19T18:35:00Z,28.71,82.71
2025-08-19T18:36:00Z,28.71,85.63
2025-08-19T18:37:00Z,23.60,84.00
2025-08-19T18:38:00Z,23.60,84.00
2025-08-19T18:40:00Z,76.00,66.00
2025-08-19T18:43:00Z,76.00,80.00
2025-08-19T18:44:00Z,19.00,77.18
2025-08-19T18:45:00Z,17.00,86.52
2025-08-19T18:47:00Z,17.00,85.35
2025-08-19T18:50:00Z,19.96,86.70
2025-08-19T18:51:00Z,19.96,83.00
2025-08-19T18:52:00Z,23.00,75.17
2025-08-19T18:53:00Z,29.00,79.21
2025-08-19T18:54:00Z,29.00,69.54
2025-08-19T18:57:00Z,29.00,77.35
2025-08-19T18:58:00Z,29.00,81.67
2025-08-19T18:59:00Z,7.62,92.63
2025-08-19T19:00:00Z,1.61,98.48
2025-08-19T19:02:00Z,1.00,99.00
2025-08-19T19:03:00Z,1.00,99.00
2025-08-19T19:05:00Z,1.00,99.00
2025-08-19T19:07:00Z,1.00,99.00
2025-08-19T19:10:00Z,1.00,99.00
2025-08-19T19:11:00Z,1.00,99.00
2025-08-19T19:18:00Z,1.00,99.00
2025-08-19T19:19:00Z,1.00,99.00
2025-08-19T19:21:00Z,1.00,99.00
2025-08-19T19:23:00Z,1.00,99.00
