# event_ticker=KXATPCHALLENGERMATCH-26JUN03DODDEN
# final_score=6-3 6-7(4) 6-0
# score_resolution=6-3 6-7 6-0
# match_winner=Guy Den Ouden
# fav_player=Guy Den Ouden
# dog_player=Matej Dodig
# kalshi_date=2026-06-03
timestamp,Matej Dodig,Guy Den Ouden
2026-06-02T21:50:00Z,,62.00
2026-06-02T22:36:00Z,,60.00
2026-06-02T22:38:00Z,,60.00
2026-06-02T23:06:00Z,41.00,60.00
2026-06-03T00:01:00Z,41.00,60.00
2026-06-03T00:16:00Z,39.00,60.00
2026-06-03T00:22:00Z,41.00,60.00
2026-06-03T00:23:00Z,41.00,59.00
2026-06-03T00:42:00Z,41.00,60.00
2026-06-03T00:45:00Z,40.00,60.00
2026-06-03T00:58:00Z,40.00,60.00
2026-06-03T01:18:00Z,40.00,61.00
2026-06-03T01:27:00Z,40.00,61.00
2026-06-03T01:35:00Z,40.00,60.00
2026-06-03T01:53:00Z,40.00,61.00
2026-06-03T02:12:00Z,40.00,60.00
2026-06-03T02:27:00Z,40.00,60.00
2026-06-03T02:57:00Z,40.00,60.00
2026-06-03T03:08:00Z,40.00,60.00
2026-06-03T03:12:00Z,40.00,61.00
2026-06-03T03:20:00Z,40.00,62.00
2026-06-03T03:22:00Z,40.00,62.00
2026-06-03T03:26:00Z,40.00,62.00
2026-06-03T03:34:00Z,40.00,62.00
2026-06-03T03:50:00Z,40.00,62.00
2026-06-03T04:05:00Z,40.00,60.00
2026-06-03T04:09:00Z,40.00,60.00
2026-06-03T04:46:00Z,40.00,61.00
2026-06-03T04:49:00Z,40.00,61.37
2026-06-03T04:52:00Z,40.00,61.37
2026-06-03T05:08:00Z,40.00,62.00
2026-06-03T05:25:00Z,40.00,62.74
2026-06-03T06:06:00Z,40.00,62.74
2026-06-03T06:10:00Z,40.00,62.74
2026-06-03T06:11:00Z,40.00,62.00
2026-06-03T06:31:00Z,40.00,62.00
2026-06-03T06:41:00Z,40.00,62.00
2026-06-03T06:53:00Z,40.00,62.00
2026-06-03T07:25:00Z,40.00,63.00
2026-06-03T07:41:00Z,39.00,63.00
2026-06-03T07:42:00Z,38.00,63.00
2026-06-03T07:43:00Z,37.00,63.00
2026-06-03T08:32:00Z,38.00,63.00
2026-06-03T08:48:00Z,38.00,63.00
2026-06-03T08:51:00Z,38.00,63.00
2026-06-03T09:06:00Z,37.00,63.00
2026-06-03T09:21:00Z,37.00,63.00
2026-06-03T09:40:00Z,36.00,63.00
2026-06-03T09:41:00Z,36.00,61.61
2026-06-03T09:42:00Z,38.72,62.00
2026-06-03T09:44:00Z,37.96,62.03
2026-06-03T09:45:00Z,34.94,65.85
2026-06-03T09:46:00Z,30.00,71.98
2026-06-03T09:47:00Z,32.50,67.83
2026-06-03T09:48:00Z,32.59,67.19
2026-06-03T09:49:00Z,38.01,63.00
2026-06-03T09:50:00Z,38.01,61.00
2026-06-03T09:52:00Z,35.00,61.00
2026-06-03T09:53:00Z,34.00,61.00
2026-06-03T09:54:00Z,36.01,61.00
2026-06-03T09:55:00Z,39.18,61.00
2026-06-03T09:56:00Z,39.18,61.33
2026-06-03T09:57:00Z,37.00,63.15
2026-06-03T09:59:00Z,37.00,65.12
