# event_ticker=KXATPMATCH-26APR05ETCDIM
# final_score=6-4 2-6 6-3
# match_winner=Tomas Martin Etcheverry
# fav_player=Tomas Martin Etcheverry
# dog_player=Grigor Dimitrov
# kalshi_date=2026-04-05
timestamp,Tomas Martin Etcheverry,Grigor Dimitrov
2026-04-06T21:17:00Z,60.00,
2026-04-06T21:20:00Z,60.00,
2026-04-06T21:21:00Z,60.00,
2026-04-06T21:24:00Z,60.00,
2026-04-06T21:27:00Z,60.00,
2026-04-06T21:36:00Z,60.00,42.00
2026-04-06T21:37:00Z,60.00,40.00
2026-04-06T21:38:00Z,60.00,40.00
2026-04-06T21:45:00Z,59.00,40.00
2026-04-06T21:54:00Z,60.00,40.00
2026-04-06T21:57:00Z,60.00,40.00
2026-04-06T22:00:00Z,60.00,40.00
2026-04-06T22:01:00Z,60.00,40.00
2026-04-06T22:05:00Z,60.00,40.00
2026-04-06T22:22:00Z,60.00,41.00
2026-04-06T22:23:00Z,59.00,41.00
2026-04-06T22:24:00Z,60.00,41.00
2026-04-06T22:25:00Z,60.00,41.00
2026-04-06T22:28:00Z,59.00,41.00
2026-04-06T22:35:00Z,60.00,41.00
2026-04-06T22:37:00Z,60.00,41.00
2026-04-06T22:41:00Z,61.00,41.00
2026-04-06T22:55:00Z,61.00,41.00
2026-04-06T23:01:00Z,61.00,41.00
2026-04-06T23:02:00Z,61.00,41.00
2026-04-06T23:14:00Z,61.00,41.00
2026-04-06T23:16:00Z,61.00,41.00
2026-04-06T23:17:00Z,61.00,41.00
2026-04-06T23:18:00Z,61.00,41.00
2026-04-06T23:19:00Z,61.00,41.00
2026-04-06T23:39:00Z,61.00,39.00
2026-04-06T23:41:00Z,61.00,39.00
2026-04-06T23:42:00Z,61.00,41.00
2026-04-06T23:49:00Z,60.00,41.00
2026-04-06T23:54:00Z,61.00,41.00
2026-04-06T23:57:00Z,61.00,41.00
2026-04-07T00:00:00Z,61.00,41.00
2026-04-07T00:08:00Z,61.00,41.00
2026-04-07T00:11:00Z,61.00,41.00
2026-04-07T00:23:00Z,60.00,41.00
2026-04-07T00:26:00Z,61.00,41.00
2026-04-07T00:31:00Z,61.00,41.00
2026-04-07T00:38:00Z,61.00,41.00
2026-04-07T00:42:00Z,61.00,41.00
2026-04-07T00:45:00Z,61.00,41.00
2026-04-07T00:46:00Z,61.00,41.00
2026-04-07T00:56:00Z,60.00,41.00
2026-04-07T01:01:00Z,61.00,41.00
2026-04-07T01:03:00Z,61.00,39.00
2026-04-07T01:04:00Z,62.00,39.00
2026-04-07T01:05:00Z,62.00,39.00
2026-04-07T01:06:00Z,61.00,39.00
2026-04-07T01:12:00Z,62.00,39.00
2026-04-07T01:15:00Z,62.00,39.00
2026-04-07T01:23:00Z,62.00,39.00
2026-04-07T01:26:00Z,62.00,39.00
2026-04-07T01:28:00Z,62.00,39.00
2026-04-07T01:40:00Z,62.00,39.00
2026-04-07T01:41:00Z,62.00,40.00
2026-04-07T01:42:00Z,62.00,40.00
2026-04-07T01:44:00Z,62.00,40.00
2026-04-07T01:47:00Z,62.00,40.00
2026-04-07T01:48:00Z,62.00,40.00
2026-04-07T01:49:00Z,62.00,40.00
2026-04-07T01:50:00Z,62.00,40.00
2026-04-07T01:52:00Z,62.00,39.00
2026-04-07T01:57:00Z,62.00,39.00
2026-04-07T01:59:00Z,62.00,39.00
2026-04-07T02:01:00Z,62.00,39.00
2026-04-07T02:02:00Z,62.00,39.00
2026-04-07T02:05:00Z,62.00,39.00
2026-04-07T02:08:00Z,62.00,39.00
2026-04-07T02:16:00Z,62.00,39.00
2026-04-07T02:19:00Z,62.00,39.00
2026-04-07T02:21:00Z,62.00,39.00
2026-04-07T02:23:00Z,62.00,40.00
2026-04-07T02:28:00Z,62.00,40.00
2026-04-07T02:35:00Z,62.00,40.00
2026-04-07T02:37:00Z,62.00,40.00
2026-04-07T02:39:00Z,62.00,40.00
2026-04-07T02:40:00Z,62.00,40.00
2026-04-07T02:44:00Z,62.00,40.00
2026-04-07T02:45:00Z,62.00,40.00
2026-04-07T02:47:00Z,62.00,40.00
2026-04-07T02:50:00Z,62.00,39.00
2026-04-07T02:52:00Z,61.00,39.00
2026-04-07T02:55:00Z,61.00,40.00
