# event_ticker=KXATPCHALLENGERMATCH-26APR14VITZEN
# final_score=6-4 6-7(5) 6-1
# score_resolution=4-6 7-6 1-6
# match_winner=Leo Vithoontien
# fav_player=Yaojie Zeng
# dog_player=Leo Vithoontien
# kalshi_date=2026-04-14
timestamp,Yaojie Zeng,Leo Vithoontien
2026-04-14T15:04:00Z,47.00,56.00
2026-04-14T15:05:00Z,47.00,56.00
2026-04-14T15:07:00Z,47.00,56.00
2026-04-14T15:14:00Z,47.00,56.00
2026-04-14T15:19:00Z,47.00,57.00
2026-04-14T15:33:00Z,47.00,57.00
2026-04-14T15:34:00Z,47.00,56.00
2026-04-14T15:37:00Z,47.00,56.00
2026-04-14T15:47:00Z,46.00,56.00
2026-04-14T15:55:00Z,46.00,57.00
2026-04-14T16:01:00Z,46.00,57.00
2026-04-14T16:10:00Z,46.00,57.00
2026-04-14T16:18:00Z,46.00,58.00
2026-04-14T16:20:00Z,46.00,57.00
2026-04-14T16:23:00Z,46.00,57.00
2026-04-14T16:39:00Z,46.00,57.00
2026-04-14T16:52:00Z,44.50,57.00
2026-04-14T17:11:00Z,44.50,57.00
2026-04-14T17:12:00Z,44.50,57.00
2026-04-14T17:30:00Z,44.50,55.20
2026-04-14T17:37:00Z,44.50,57.00
2026-04-14T17:40:00Z,44.50,55.00
2026-04-14T17:41:00Z,46.00,55.00
2026-04-14T17:57:00Z,46.00,57.00
2026-04-14T18:01:00Z,46.00,55.00
2026-04-14T18:04:00Z,46.00,57.00
2026-04-14T18:09:00Z,45.95,57.00
2026-04-14T18:47:00Z,45.95,57.00
2026-04-14T18:57:00Z,45.95,57.00
2026-04-14T19:19:00Z,45.95,55.00
2026-04-14T19:24:00Z,45.95,55.00
2026-04-14T19:36:00Z,46.00,55.00
2026-04-14T19:39:00Z,46.00,55.00
2026-04-14T20:06:00Z,46.00,55.00
2026-04-14T20:12:00Z,46.00,55.00
2026-04-14T20:18:00Z,46.00,55.00
2026-04-14T20:40:00Z,46.00,55.00
2026-04-14T20:52:00Z,43.00,55.00
2026-04-14T21:07:00Z,43.00,55.00
2026-04-14T21:17:00Z,43.00,56.65
2026-04-14T21:18:00Z,43.00,56.00
2026-04-14T21:22:00Z,46.00,56.00
2026-04-14T21:40:00Z,45.00,56.00
2026-04-14T21:43:00Z,44.00,56.00
2026-04-14T21:44:00Z,44.00,56.75
2026-04-14T21:56:00Z,44.00,57.00
2026-04-14T21:57:00Z,44.00,55.00
2026-04-14T21:58:00Z,44.00,57.00
2026-04-14T22:16:00Z,44.00,57.00
2026-04-14T22:21:00Z,44.00,57.00
2026-04-14T22:22:00Z,44.00,57.00
2026-04-14T22:27:00Z,44.00,57.82
2026-04-14T22:35:00Z,44.00,55.00
2026-04-14T22:57:00Z,44.00,57.00
2026-04-14T22:59:00Z,44.00,57.00
2026-04-14T23:12:00Z,44.00,57.00
2026-04-14T23:18:00Z,41.00,57.00
2026-04-14T23:19:00Z,41.00,57.00
2026-04-14T23:34:00Z,41.00,57.83
2026-04-14T23:42:00Z,41.00,58.00
2026-04-14T23:45:00Z,44.00,58.00
2026-04-15T00:12:00Z,44.00,56.00
2026-04-15T00:16:00Z,44.00,56.00
2026-04-15T00:25:00Z,44.00,57.00
2026-04-15T00:44:00Z,44.00,57.81
2026-04-15T00:59:00Z,44.00,58.00
2026-04-15T01:07:00Z,44.00,58.00
