# event_ticker=KXATPCHALLENGERMATCH-26MAY01BUSTAB
# final_score=6-4 6-0
# match_winner=Alejandro Tabilo
# fav_player=Alejandro Tabilo
# dog_player=Ignacio Buse
# kalshi_date=2026-05-01
timestamp,Ignacio Buse,Alejandro Tabilo
2026-05-01T04:17:00Z,43.00,
2026-05-01T04:19:00Z,43.00,58.00
2026-05-01T04:25:00Z,43.00,58.00
2026-05-01T04:26:00Z,43.00,58.00
2026-05-01T04:35:00Z,43.00,58.00
2026-05-01T04:38:00Z,43.00,58.00
2026-05-01T04:39:00Z,43.00,57.00
2026-05-01T04:46:00Z,43.00,57.00
2026-05-01T04:53:00Z,43.00,57.00
2026-05-01T04:56:00Z,43.00,57.00
2026-05-01T04:58:00Z,43.00,57.00
2026-05-01T05:00:00Z,43.00,57.00
2026-05-01T05:10:00Z,43.00,57.53
2026-05-01T05:12:00Z,43.00,58.00
2026-05-01T05:14:00Z,43.00,58.00
2026-05-01T05:16:00Z,43.00,58.00
2026-05-01T05:19:00Z,43.00,58.00
2026-05-01T05:23:00Z,43.00,58.00
2026-05-01T05:27:00Z,43.00,58.00
2026-05-01T05:43:00Z,43.00,58.00
2026-05-01T05:46:00Z,43.00,58.00
2026-05-01T05:51:00Z,43.00,58.02
2026-05-01T05:55:00Z,43.00,59.00
2026-05-01T06:04:00Z,43.00,59.00
2026-05-01T06:09:00Z,43.00,59.00
2026-05-01T06:13:00Z,43.00,59.00
2026-05-01T06:18:00Z,43.00,59.00
2026-05-01T06:27:00Z,43.00,59.00
2026-05-01T06:28:00Z,43.00,59.00
2026-05-01T06:35:00Z,43.00,59.00
2026-05-01T06:38:00Z,43.00,59.00
2026-05-01T06:41:00Z,43.00,59.00
2026-05-01T06:48:00Z,43.00,59.00
2026-05-01T06:57:00Z,43.00,59.00
2026-05-01T07:06:00Z,43.00,59.00
2026-05-01T07:14:00Z,43.00,59.00
2026-05-01T07:16:00Z,43.00,59.00
2026-05-01T07:20:00Z,43.00,59.00
2026-05-01T07:44:00Z,43.00,59.00
2026-05-01T07:47:00Z,43.00,59.00
2026-05-01T07:51:00Z,43.00,59.00
2026-05-01T07:56:00Z,43.00,59.00
2026-05-01T07:57:00Z,43.00,58.00
2026-05-01T07:58:00Z,43.00,59.00
2026-05-01T08:12:00Z,43.00,59.00
2026-05-01T08:18:00Z,43.00,59.00
2026-05-01T08:21:00Z,43.00,59.00
2026-05-01T08:32:00Z,43.00,59.00
2026-05-01T08:34:00Z,43.00,59.00
2026-05-01T08:37:00Z,43.00,59.00
2026-05-01T08:38:00Z,43.00,59.00
2026-05-01T08:45:00Z,41.00,59.00
2026-05-01T08:52:00Z,41.00,59.00
2026-05-01T08:53:00Z,41.00,59.00
2026-05-01T08:54:00Z,41.00,59.00
2026-05-01T08:59:00Z,41.00,59.00
2026-05-01T09:02:00Z,41.00,59.00
2026-05-01T09:07:00Z,41.00,59.00
2026-05-01T09:11:00Z,41.00,59.00
2026-05-01T09:13:00Z,41.00,59.00
2026-05-01T09:20:00Z,41.00,59.00
2026-05-01T09:35:00Z,41.00,59.00
2026-05-01T09:46:00Z,41.00,59.00
2026-05-01T09:55:00Z,42.00,59.00
2026-05-01T10:09:00Z,41.00,59.00
2026-05-01T10:16:00Z,41.00,59.00
2026-05-01T10:21:00Z,41.00,59.00
2026-05-01T10:26:00Z,41.00,59.00
2026-05-01T10:57:00Z,41.00,59.00
2026-05-01T11:18:00Z,41.00,59.00
2026-05-01T11:20:00Z,41.00,59.31
2026-05-01T11:21:00Z,41.00,60.00
2026-05-01T11:22:00Z,41.00,60.00
2026-05-01T11:31:00Z,41.00,60.00
2026-05-01T11:33:00Z,41.00,60.00
2026-05-01T11:36:00Z,41.00,60.00
2026-05-01T11:41:00Z,41.00,60.00
2026-05-01T11:46:00Z,41.00,60.00
2026-05-01T11:54:00Z,41.00,60.00
2026-05-01T12:03:00Z,41.00,60.00
2026-05-01T12:07:00Z,41.00,60.00
2026-05-01T12:14:00Z,41.00,60.00
2026-05-01T12:18:00Z,41.00,60.00
2026-05-01T12:19:00Z,41.74,60.00
2026-05-01T12:20:00Z,42.00,60.00
2026-05-01T12:23:00Z,42.00,60.00
2026-05-01T12:25:00Z,42.00,60.00
2026-05-01T12:27:00Z,42.00,60.00
2026-05-01T12:28:00Z,41.00,60.00
2026-05-01T12:32:00Z,41.00,60.00
2026-05-01T12:37:00Z,41.00,60.00
2026-05-01T12:39:00Z,41.00,60.00
2026-05-01T12:40:00Z,41.00,60.00
2026-05-01T12:47:00Z,41.00,60.00
2026-05-01T12:50:00Z,41.00,60.00
2026-05-01T13:00:00Z,41.00,60.00
2026-05-01T13:01:00Z,41.00,60.00
2026-05-01T13:08:00Z,41.00,60.00
2026-05-01T13:09:00Z,41.00,60.00
2026-05-01T13:11:00Z,43.00,60.00
2026-05-01T13:12:00Z,42.00,60.00
2026-05-01T13:21:00Z,42.00,60.00
2026-05-01T13:26:00Z,42.00,60.00
2026-05-01T13:30:00Z,42.98,60.00
2026-05-01T13:39:00Z,42.99,60.00
