# event_ticker=KXATPMATCH-26MAY12TIRMED
# final_score=6-3 6-2
# match_winner=Daniil Medvedev
# fav_player=Daniil Medvedev
# dog_player=Thiago Agustin Tirante
# kalshi_date=2026-05-12
timestamp,Thiago Agustin Tirante,Daniil Medvedev
2026-05-12T08:07:00Z,,58.00
2026-05-12T08:09:00Z,42.00,58.00
2026-05-12T08:10:00Z,42.00,59.00
2026-05-12T08:15:00Z,42.00,59.00
2026-05-12T08:18:00Z,42.00,58.00
2026-05-12T08:19:00Z,42.00,59.00
2026-05-12T08:37:00Z,42.00,58.00
2026-05-12T08:43:00Z,42.00,59.00
2026-05-12T08:47:00Z,42.00,59.00
2026-05-12T08:53:00Z,42.00,59.00
2026-05-12T08:55:00Z,42.00,59.00
2026-05-12T08:57:00Z,42.00,59.00
2026-05-12T08:59:00Z,42.00,59.00
2026-05-12T09:04:00Z,42.00,59.00
2026-05-12T09:07:00Z,42.00,59.00
2026-05-12T09:12:00Z,42.00,59.65
2026-05-12T09:14:00Z,42.00,60.00
2026-05-12T09:15:00Z,42.00,59.00
2026-05-12T09:16:00Z,42.00,59.00
2026-05-12T09:22:00Z,42.00,58.00
2026-05-12T09:23:00Z,42.00,59.00
2026-05-12T09:30:00Z,42.00,59.00
2026-05-12T09:40:00Z,42.00,59.00
2026-05-12T09:41:00Z,42.00,59.00
2026-05-12T09:42:00Z,42.00,59.00
2026-05-12T09:56:00Z,42.00,59.00
2026-05-12T10:04:00Z,42.00,59.00
2026-05-12T10:08:00Z,42.00,58.00
2026-05-12T10:13:00Z,42.00,59.00
2026-05-12T10:33:00Z,42.00,59.00
2026-05-12T10:36:00Z,42.00,59.00
2026-05-12T10:37:00Z,42.00,59.00
2026-05-12T10:40:00Z,42.00,59.00
2026-05-12T10:43:00Z,42.00,59.00
2026-05-12T10:45:00Z,42.00,59.00
2026-05-12T10:55:00Z,42.00,59.00
2026-05-12T10:56:00Z,42.00,59.00
2026-05-12T10:58:00Z,42.00,59.00
