# event_ticker=KXATPMATCH-26APR25BUDSHA
# final_score=6-2 6-1
# score_resolution=2-6 1-6
# match_winner=Nicolai Budkov Kjaer
# fav_player=Denis Shapovalov
# dog_player=Nicolai Budkov Kjaer
# kalshi_date=2026-04-25
timestamp,Nicolai Budkov Kjaer,Denis Shapovalov
2026-04-25T14:18:00Z,42.00,60.00
2026-04-25T14:19:00Z,41.00,60.00
2026-04-25T14:20:00Z,41.00,60.00
2026-04-25T14:21:00Z,41.00,60.00
2026-04-25T14:22:00Z,41.00,60.00
2026-04-25T14:29:00Z,41.00,60.00
2026-04-25T14:33:00Z,41.00,60.00
2026-04-25T14:34:00Z,41.00,60.00
2026-04-25T14:35:00Z,41.00,60.00
2026-04-25T14:36:00Z,41.00,60.00
2026-04-25T14:39:00Z,41.00,60.00
2026-04-25T14:40:00Z,41.00,60.00
2026-04-25T14:46:00Z,41.50,60.00
2026-04-25T14:49:00Z,41.50,60.00
2026-04-25T14:51:00Z,41.50,60.00
2026-04-25T14:56:00Z,41.50,59.00
2026-04-25T14:58:00Z,41.50,59.00
2026-04-25T15:00:00Z,41.50,59.00
2026-04-25T15:01:00Z,42.00,59.00
2026-04-25T15:02:00Z,42.00,59.00
2026-04-25T15:04:00Z,42.00,60.00
2026-04-25T15:05:00Z,42.00,60.00
2026-04-25T15:06:00Z,42.78,60.00
2026-04-25T15:07:00Z,42.78,60.00
2026-04-25T15:11:00Z,42.78,59.01
2026-04-25T15:13:00Z,42.78,59.00
2026-04-25T15:15:00Z,42.78,59.00
2026-04-25T15:16:00Z,42.78,59.00
2026-04-25T15:17:00Z,42.78,59.00
2026-04-25T15:18:00Z,42.78,59.00
2026-04-25T15:19:00Z,43.00,59.00
2026-04-25T15:21:00Z,43.00,59.00
2026-04-25T15:23:00Z,43.00,59.00
2026-04-25T15:25:00Z,43.00,57.06
2026-04-25T15:27:00Z,43.00,59.00
2026-04-25T15:29:00Z,43.00,59.00
2026-04-25T15:30:00Z,43.00,59.00
2026-04-25T15:31:00Z,43.00,59.00
2026-04-25T15:32:00Z,43.00,59.00
2026-04-25T15:34:00Z,43.00,59.00
2026-04-25T15:35:00Z,43.00,59.00
2026-04-25T15:36:00Z,43.00,59.00
2026-04-25T15:42:00Z,43.00,59.00
2026-04-25T15:45:00Z,43.00,59.00
2026-04-25T15:46:00Z,43.00,59.00
2026-04-25T15:47:00Z,43.00,59.00
2026-04-25T15:49:00Z,43.00,59.00
2026-04-25T15:50:00Z,43.00,59.00
2026-04-25T15:55:00Z,43.00,59.00
2026-04-25T15:56:00Z,41.19,58.99
2026-04-25T15:58:00Z,41.19,59.00
2026-04-25T16:00:00Z,42.00,59.00
2026-04-25T16:01:00Z,42.00,59.00
2026-04-25T16:02:00Z,42.00,59.00
2026-04-25T16:03:00Z,42.00,59.00
2026-04-25T16:04:00Z,43.00,59.00
2026-04-25T16:05:00Z,43.00,59.00
2026-04-25T16:07:00Z,43.00,59.00
2026-04-25T16:08:00Z,43.00,59.00
2026-04-25T16:10:00Z,43.00,59.00
2026-04-25T16:11:00Z,43.00,59.00
2026-04-25T16:14:00Z,43.00,59.00
2026-04-25T16:16:00Z,43.00,59.29
2026-04-25T16:17:00Z,43.00,59.56
2026-04-25T16:18:00Z,43.00,59.00
2026-04-25T16:20:00Z,43.00,59.00
2026-04-25T16:22:00Z,43.00,59.00
2026-04-25T16:23:00Z,43.00,59.00
2026-04-25T16:24:00Z,43.00,59.00
2026-04-25T16:25:00Z,43.00,59.00
2026-04-25T16:26:00Z,43.00,60.00
2026-04-25T16:27:00Z,43.00,60.00
2026-04-25T16:28:00Z,43.00,60.00
2026-04-25T16:29:00Z,43.00,60.00
2026-04-25T16:30:00Z,43.00,60.00
2026-04-25T16:32:00Z,41.29,60.00
2026-04-25T16:33:00Z,40.97,60.00
2026-04-25T16:34:00Z,40.97,60.00
2026-04-25T16:36:00Z,40.97,59.00
2026-04-25T16:37:00Z,40.97,60.00
2026-04-25T16:38:00Z,40.97,60.00
2026-04-25T16:39:00Z,40.97,59.04
2026-04-25T16:40:00Z,40.97,60.00
2026-04-25T16:41:00Z,40.97,60.00
2026-04-25T16:43:00Z,41.00,60.00
2026-04-25T16:44:00Z,42.63,60.00
2026-04-25T16:45:00Z,43.00,60.00
2026-04-25T16:46:00Z,42.51,59.75
2026-04-25T16:47:00Z,43.00,60.00
2026-04-25T16:48:00Z,43.00,60.00
2026-04-25T16:49:00Z,42.10,59.85
2026-04-25T16:51:00Z,42.00,59.85
2026-04-25T16:52:00Z,42.00,60.00
2026-04-25T16:55:00Z,42.00,60.00
2026-04-25T16:57:00Z,42.00,60.00
2026-04-25T16:58:00Z,42.04,60.00
2026-04-25T16:59:00Z,42.72,60.00
2026-04-25T17:00:00Z,42.88,60.00
2026-04-25T17:01:00Z,42.00,60.00
2026-04-25T17:03:00Z,42.00,60.00
2026-04-25T17:04:00Z,42.63,59.03
2026-04-25T17:05:00Z,43.00,59.91
2026-04-25T17:06:00Z,43.22,59.33
2026-04-25T17:07:00Z,44.00,59.99
2026-04-25T17:08:00Z,44.00,59.04
2026-04-25T17:09:00Z,45.00,59.04
2026-04-25T17:10:00Z,43.00,57.00
2026-04-25T17:11:00Z,44.95,56.99
2026-04-25T17:12:00Z,45.00,56.99
2026-04-25T17:13:00Z,43.80,56.00
2026-04-25T17:14:00Z,45.00,54.98
2026-04-25T17:15:00Z,46.00,56.00
2026-04-25T17:17:00Z,46.00,56.00
2026-04-25T17:19:00Z,45.00,55.23
2026-04-25T17:20:00Z,45.00,56.00
2026-04-25T17:21:00Z,45.00,56.00
2026-04-25T17:22:00Z,45.00,55.99
2026-04-25T17:23:00Z,45.00,56.00
2026-04-25T17:24:00Z,45.00,56.00
2026-04-25T17:25:00Z,46.00,56.00
2026-04-25T17:26:00Z,46.00,56.00
2026-04-25T17:27:00Z,46.00,56.00
2026-04-25T17:28:00Z,46.00,56.00
2026-04-25T17:29:00Z,46.00,56.00
2026-04-25T17:30:00Z,46.00,56.00
2026-04-25T17:31:00Z,46.00,56.00
2026-04-25T17:32:00Z,46.00,56.00
2026-04-25T17:33:00Z,45.71,56.00
2026-04-25T17:34:00Z,46.66,55.89
2026-04-25T17:35:00Z,46.00,56.00
2026-04-25T17:36:00Z,46.00,56.00
2026-04-25T17:37:00Z,45.31,56.00
2026-04-25T17:38:00Z,44.92,56.00
2026-04-25T17:39:00Z,46.07,54.87
2026-04-25T17:40:00Z,47.66,53.71
2026-04-25T17:41:00Z,48.98,52.21
2026-04-25T17:42:00Z,47.28,53.17
2026-04-25T17:43:00Z,45.00,55.88
2026-04-25T17:44:00Z,46.55,54.86
2026-04-25T17:45:00Z,47.88,55.12
2026-04-25T17:46:00Z,46.84,53.46
2026-04-25T17:47:00Z,48.95,52.00
2026-04-25T17:48:00Z,49.00,52.00
2026-04-25T17:49:00Z,49.14,52.72
2026-04-25T17:50:00Z,52.91,49.32
2026-04-25T17:51:00Z,57.81,42.00
2026-04-25T17:52:00Z,63.10,36.79
2026-04-25T17:53:00Z,66.04,33.89
2026-04-25T17:54:00Z,64.00,37.25
2026-04-25T17:55:00Z,65.35,36.55
2026-04-25T17:56:00Z,62.82,36.84
2026-04-25T17:57:00Z,66.83,33.87
2026-04-25T17:58:00Z,66.01,33.48
2026-04-25T17:59:00Z,66.44,34.36
2026-04-25T18:00:00Z,65.23,35.30
2026-04-25T18:01:00Z,68.15,36.73
2026-04-25T18:02:00Z,69.71,30.92
2026-04-25T18:03:00Z,69.59,30.76
2026-04-25T18:04:00Z,70.50,31.43
2026-04-25T18:05:00Z,69.35,31.13
2026-04-25T18:06:00Z,71.60,29.73
2026-04-25T18:07:00Z,74.00,26.28
2026-04-25T18:08:00Z,75.00,25.32
2026-04-25T18:09:00Z,74.99,25.94
2026-04-25T18:10:00Z,74.03,26.00
2026-04-25T18:11:00Z,74.91,26.61
2026-04-25T18:12:00Z,75.71,25.12
2026-04-25T18:13:00Z,77.90,22.81
2026-04-25T18:14:00Z,81.75,17.88
2026-04-25T18:15:00Z,88.16,10.68
2026-04-25T18:16:00Z,92.43,8.14
2026-04-25T18:17:00Z,92.01,8.41
2026-04-25T18:18:00Z,94.42,6.80
2026-04-25T18:19:00Z,94.66,6.16
2026-04-25T18:20:00Z,94.15,6.53
2026-04-25T18:21:00Z,96.02,3.57
2026-04-25T18:22:00Z,94.86,6.58
2026-04-25T18:23:00Z,92.97,7.21
2026-04-25T18:24:00Z,92.64,7.09
2026-04-25T18:25:00Z,93.68,7.30
2026-04-25T18:26:00Z,94.92,4.02
2026-04-25T18:27:00Z,95.65,4.93
2026-04-25T18:28:00Z,95.37,4.16
2026-04-25T18:29:00Z,98.25,1.94
2026-04-25T18:30:00Z,99.00,1.04
2026-04-25T18:31:00Z,99.00,1.00
2026-04-25T18:32:00Z,99.00,1.00
