# event_ticker=KXATPMATCH-25AUG07SAFTAB
# final_score=6-3 6-3
# score_resolution=3-6 3-6
# match_winner=Roman Safiullin
# fav_player=Alejandro Tabilo
# dog_player=Roman Safiullin
# kalshi_date=2025-08-07
timestamp,Alejandro Tabilo,Roman Safiullin
2025-08-07T11:25:00Z,41.00,
2025-08-07T11:33:00Z,41.00,72.00
2025-08-07T11:35:00Z,41.00,72.00
2025-08-07T12:10:00Z,34.00,72.00
2025-08-07T12:19:00Z,34.00,70.00
2025-08-07T13:04:00Z,34.00,70.00
2025-08-07T13:53:00Z,34.00,68.00
2025-08-07T13:56:00Z,33.71,68.00
2025-08-07T13:58:00Z,34.00,68.00
2025-08-07T14:24:00Z,34.00,68.00
2025-08-07T14:55:00Z,33.00,68.00
2025-08-07T15:39:00Z,33.00,68.00
2025-08-07T15:58:00Z,32.00,69.00
2025-08-07T16:04:00Z,32.00,69.00
2025-08-07T16:09:00Z,32.00,69.00
2025-08-07T16:14:00Z,32.00,69.75
2025-08-07T16:17:00Z,32.00,69.75
2025-08-07T16:31:00Z,33.00,69.75
2025-08-07T16:32:00Z,32.00,69.75
2025-08-07T16:41:00Z,32.00,70.00
2025-08-07T16:46:00Z,32.00,70.00
2025-08-07T16:51:00Z,31.24,70.00
2025-08-07T16:56:00Z,32.00,70.00
2025-08-07T17:44:00Z,32.00,70.00
2025-08-07T17:45:00Z,32.00,70.00
2025-08-07T17:49:00Z,32.00,70.00
2025-08-07T17:51:00Z,32.00,70.00
2025-08-07T17:53:00Z,32.00,70.00
2025-08-07T17:59:00Z,32.95,70.00
2025-08-07T18:03:00Z,33.00,70.00
2025-08-07T18:05:00Z,34.00,70.00
2025-08-07T18:06:00Z,34.00,68.13
2025-08-07T18:07:00Z,31.26,70.00
2025-08-07T18:08:00Z,31.00,70.00
2025-08-07T18:09:00Z,31.00,70.00
2025-08-07T18:11:00Z,32.97,70.00
2025-08-07T18:12:00Z,32.97,70.00
2025-08-07T18:13:00Z,35.98,70.00
2025-08-07T18:14:00Z,35.00,70.00
2025-08-07T18:15:00Z,31.05,70.00
2025-08-07T18:16:00Z,32.00,70.00
2025-08-07T18:17:00Z,28.00,70.06
2025-08-07T18:18:00Z,34.00,70.06
2025-08-07T18:19:00Z,34.00,70.06
2025-08-07T18:20:00Z,35.75,70.06
2025-08-07T18:21:00Z,37.13,64.22
2025-08-07T18:22:00Z,39.00,64.22
2025-08-07T18:23:00Z,35.00,66.93
2025-08-07T18:25:00Z,34.00,66.93
2025-08-07T18:26:00Z,34.00,64.00
2025-08-07T18:27:00Z,35.70,66.54
2025-08-07T18:28:00Z,34.00,66.54
2025-08-07T18:30:00Z,34.00,69.00
2025-08-07T18:31:00Z,32.00,72.00
2025-08-07T18:32:00Z,32.00,72.00
2025-08-07T18:33:00Z,26.83,73.09
2025-08-07T18:34:00Z,22.00,79.33
2025-08-07T18:35:00Z,12.39,85.00
2025-08-07T18:36:00Z,12.00,85.00
2025-08-07T18:37:00Z,15.00,88.40
2025-08-07T18:38:00Z,14.09,88.40
2025-08-07T18:39:00Z,16.00,88.40
2025-08-07T18:40:00Z,20.32,88.40
2025-08-07T18:41:00Z,33.47,81.00
2025-08-07T18:42:00Z,18.00,81.00
2025-08-07T18:43:00Z,18.00,81.00
2025-08-07T18:44:00Z,15.46,84.00
2025-08-07T18:45:00Z,15.46,88.00
2025-08-07T18:46:00Z,20.00,88.00
2025-08-07T18:47:00Z,18.00,88.00
2025-08-07T18:48:00Z,18.00,83.00
2025-08-07T18:49:00Z,14.02,87.44
2025-08-07T18:50:00Z,11.77,91.04
2025-08-07T18:52:00Z,7.00,91.04
2025-08-07T18:53:00Z,7.00,95.95
2025-08-07T18:54:00Z,5.10,95.95
2025-08-07T18:55:00Z,5.10,95.00
2025-08-07T18:56:00Z,5.30,96.40
2025-08-07T18:57:00Z,12.17,95.00
2025-08-07T18:58:00Z,12.17,95.00
2025-08-07T18:59:00Z,8.00,93.00
2025-08-07T19:00:00Z,7.29,93.00
2025-08-07T19:01:00Z,6.41,95.00
2025-08-07T19:02:00Z,10.00,95.00
2025-08-07T19:04:00Z,6.00,95.00
2025-08-07T19:05:00Z,6.00,94.00
2025-08-07T19:06:00Z,6.00,95.09
2025-08-07T19:07:00Z,5.00,95.09
2025-08-07T19:08:00Z,5.00,95.00
2025-08-07T19:09:00Z,5.00,96.00
2025-08-07T19:11:00Z,3.04,96.00
2025-08-07T19:12:00Z,2.00,98.00
2025-08-07T19:13:00Z,1.04,99.00
2025-08-07T19:14:00Z,1.04,99.00
