# event_ticker=KXATPMATCH-25JUL17MISBOR
# final_score=3-6 7-6(1) 6-3
# score_resolution=3-6 7-6 6-3
# match_winner=Filip Misolic
# fav_player=Filip Misolic
# dog_player=Nuno Borges
# kalshi_date=2025-07-17
timestamp,Filip Misolic,Nuno Borges
2025-07-17T00:57:00Z,47.00,
2025-07-17T01:23:00Z,47.00,59.00
2025-07-17T02:55:00Z,47.00,59.00
2025-07-17T03:19:00Z,47.00,60.00
2025-07-17T03:21:00Z,47.00,60.00
2025-07-17T03:32:00Z,47.00,60.00
2025-07-17T03:50:00Z,47.00,60.04
2025-07-17T04:07:00Z,47.00,61.00
2025-07-17T04:44:00Z,44.00,61.00
2025-07-17T05:13:00Z,44.00,60.00
2025-07-17T05:14:00Z,44.00,61.00
2025-07-17T05:25:00Z,44.00,61.00
2025-07-17T06:33:00Z,44.00,61.00
2025-07-17T06:38:00Z,43.00,61.00
2025-07-17T06:51:00Z,43.00,61.00
2025-07-17T06:55:00Z,44.00,61.00
2025-07-17T12:10:00Z,44.00,75.00
2025-07-17T12:14:00Z,46.00,75.00
2025-07-17T12:15:00Z,46.00,56.00
2025-07-17T12:16:00Z,45.00,57.00
2025-07-17T12:17:00Z,45.07,57.00
2025-07-17T12:18:00Z,44.00,57.00
2025-07-17T12:19:00Z,44.00,60.00
2025-07-17T12:20:00Z,49.97,60.00
2025-07-17T12:21:00Z,48.98,54.72
2025-07-17T12:22:00Z,45.00,57.83
2025-07-17T12:23:00Z,40.84,59.00
2025-07-17T12:24:00Z,43.00,58.00
2025-07-17T12:25:00Z,39.21,59.56
2025-07-17T12:26:00Z,47.00,56.00
2025-07-17T12:27:00Z,44.00,56.00
2025-07-17T12:28:00Z,43.00,62.95
2025-07-17T12:29:00Z,41.02,64.98
2025-07-17T12:30:00Z,42.00,64.98
2025-07-17T12:31:00Z,34.74,64.98
2025-07-17T12:32:00Z,38.00,64.98
2025-07-17T12:33:00Z,30.95,68.09
2025-07-17T12:34:00Z,30.95,75.00
2025-07-17T12:35:00Z,27.00,75.00
2025-07-17T12:36:00Z,25.00,75.00
2025-07-17T12:37:00Z,34.00,74.00
2025-07-17T12:38:00Z,34.50,74.00
2025-07-17T12:40:00Z,34.50,77.07
2025-07-17T12:41:00Z,34.50,81.00
2025-07-17T12:42:00Z,34.50,80.00
2025-07-17T12:43:00Z,35.80,80.00
2025-07-17T12:44:00Z,23.00,79.00
2025-07-17T12:45:00Z,23.02,81.11
2025-07-17T12:46:00Z,23.02,79.00
2025-07-17T12:47:00Z,20.00,79.00
2025-07-17T12:48:00Z,19.00,79.00
2025-07-17T12:49:00Z,19.15,85.90
2025-07-17T12:52:00Z,19.15,88.00
2025-07-17T12:54:00Z,19.15,95.92
2025-07-17T12:57:00Z,19.15,91.00
2025-07-17T12:58:00Z,18.00,91.00
2025-07-17T12:59:00Z,18.00,91.00
2025-07-17T13:00:00Z,12.00,91.00
2025-07-17T13:01:00Z,12.48,97.00
2025-07-17T13:02:00Z,17.56,97.00
2025-07-17T13:03:00Z,17.56,90.00
2025-07-17T13:04:00Z,10.06,90.00
2025-07-17T13:06:00Z,2.00,90.00
2025-07-17T13:07:00Z,1.00,97.17
2025-07-17T13:08:00Z,1.00,97.17
2025-07-17T13:14:00Z,1.00,98.00
2025-07-17T13:17:00Z,1.00,99.00
2025-07-17T13:18:00Z,1.34,99.00
2025-07-17T13:20:00Z,2.00,99.00
2025-07-17T13:23:00Z,3.00,99.00
2025-07-17T13:24:00Z,10.91,93.00
2025-07-17T13:25:00Z,18.47,83.67
2025-07-17T13:26:00Z,15.00,86.98
2025-07-17T13:27:00Z,20.00,81.00
2025-07-17T13:28:00Z,19.45,79.90
