# event_ticker=KXATPCHALLENGERMATCH-26APR11YUNCHU
# final_score=6-1 6-4
# match_winner=Yunchaokete Bu
# fav_player=Yunchaokete Bu
# dog_player=Yun Seong Chung
# kalshi_date=2026-04-11
timestamp,Yunchaokete Bu,Yun Seong Chung
2026-04-12T18:38:00Z,91.00,10.00
2026-04-12T18:39:00Z,92.00,10.00
2026-04-12T18:40:00Z,92.00,10.00
2026-04-12T19:23:00Z,89.00,11.69
2026-04-12T20:10:00Z,89.00,9.00
2026-04-12T20:18:00Z,91.00,9.00
2026-04-12T20:45:00Z,91.00,9.00
2026-04-12T20:52:00Z,91.00,11.38
2026-04-12T21:29:00Z,91.00,11.00
2026-04-12T21:59:00Z,91.00,9.00
2026-04-12T22:17:00Z,91.00,11.00
2026-04-12T22:20:00Z,91.00,11.00
2026-04-12T22:23:00Z,91.00,11.00
2026-04-12T22:40:00Z,91.00,10.77
2026-04-12T23:03:00Z,91.00,11.00
2026-04-12T23:54:00Z,89.00,11.00
2026-04-13T00:05:00Z,91.00,11.00
2026-04-13T00:21:00Z,91.00,11.00
2026-04-13T00:28:00Z,91.00,11.00
2026-04-13T00:33:00Z,91.00,11.00
2026-04-13T00:49:00Z,91.00,11.00
2026-04-13T01:07:00Z,91.00,11.00
2026-04-13T01:14:00Z,91.00,11.00
2026-04-13T01:20:00Z,91.00,11.00
2026-04-13T01:25:00Z,91.00,9.00
2026-04-13T01:26:00Z,91.00,11.00
2026-04-13T01:41:00Z,91.00,11.00
2026-04-13T01:46:00Z,91.00,11.00
2026-04-13T01:52:00Z,91.00,11.00
2026-04-13T02:09:00Z,91.00,11.00
2026-04-13T02:11:00Z,91.83,11.00
2026-04-13T02:14:00Z,91.83,11.00
2026-04-13T02:30:00Z,91.83,11.00
2026-04-13T02:34:00Z,91.00,11.00
2026-04-13T02:35:00Z,91.00,11.00
2026-04-13T02:52:00Z,91.00,11.00
2026-04-13T02:53:00Z,91.00,11.00
2026-04-13T02:54:00Z,91.00,11.00
2026-04-13T02:57:00Z,91.00,11.00
2026-04-13T02:59:00Z,91.00,11.00
2026-04-13T03:10:00Z,91.00,11.00
2026-04-13T03:13:00Z,91.00,11.00
2026-04-13T03:15:00Z,91.00,11.00
2026-04-13T03:17:00Z,91.00,11.00
2026-04-13T03:18:00Z,89.00,11.00
2026-04-13T03:21:00Z,89.00,11.00
2026-04-13T03:22:00Z,89.00,11.00
2026-04-13T03:23:00Z,89.00,11.00
2026-04-13T03:25:00Z,89.00,11.00
2026-04-13T03:26:00Z,89.00,11.00
2026-04-13T03:27:00Z,89.00,11.00
2026-04-13T03:30:00Z,89.00,11.00
2026-04-13T03:31:00Z,89.00,11.00
2026-04-13T03:33:00Z,89.00,11.00
2026-04-13T03:37:00Z,89.00,11.00
2026-04-13T03:39:00Z,89.00,11.00
2026-04-13T03:40:00Z,89.00,11.00
2026-04-13T03:42:00Z,89.00,11.00
2026-04-13T03:44:00Z,90.00,11.00
2026-04-13T03:47:00Z,90.00,11.00
2026-04-13T03:49:00Z,91.00,10.00
2026-04-13T03:52:00Z,91.00,11.00
2026-04-13T03:56:00Z,91.00,11.00
2026-04-13T04:00:00Z,91.00,10.07
2026-04-13T04:01:00Z,91.00,11.73
2026-04-13T04:02:00Z,91.00,12.00
2026-04-13T04:03:00Z,91.00,12.00
2026-04-13T04:04:00Z,91.00,12.00
2026-04-13T04:12:00Z,90.00,12.00
2026-04-13T04:13:00Z,90.00,11.00
