# event_ticker=KXATPMATCH-25AUG13SINMAN
# final_score=6-4 7-6(4)
# score_resolution=4-6 6-7
# match_winner=Jannik Sinner
# fav_player=Adrian Mannarino
# dog_player=Jannik Sinner
# kalshi_date=2025-08-13
timestamp,Adrian Mannarino,Jannik Sinner
2025-08-13T10:01:00Z,,95.00
2025-08-13T12:09:00Z,,96.00
2025-08-13T12:23:00Z,7.00,96.00
2025-08-13T12:35:00Z,7.73,96.00
2025-08-13T12:37:00Z,7.00,96.00
2025-08-13T12:39:00Z,7.00,96.00
2025-08-13T12:40:00Z,7.00,96.00
2025-08-13T12:54:00Z,7.00,96.00
2025-08-13T13:01:00Z,8.00,96.00
2025-08-13T13:03:00Z,8.00,96.00
2025-08-13T13:16:00Z,8.00,96.00
2025-08-13T13:21:00Z,8.00,96.00
2025-08-13T13:22:00Z,6.00,96.00
2025-08-13T13:25:00Z,6.00,96.00
2025-08-13T13:41:00Z,6.00,95.74
2025-08-13T13:45:00Z,6.00,96.00
2025-08-13T13:47:00Z,6.00,96.00
2025-08-13T13:53:00Z,5.77,96.00
2025-08-13T13:55:00Z,6.00,96.00
2025-08-13T13:56:00Z,6.00,95.00
2025-08-13T13:57:00Z,6.00,95.00
2025-08-13T13:58:00Z,6.00,95.00
2025-08-13T14:00:00Z,6.00,95.00
2025-08-13T14:12:00Z,6.00,95.00
2025-08-13T14:23:00Z,6.00,95.00
2025-08-13T14:32:00Z,6.00,95.00
2025-08-13T14:35:00Z,6.00,95.00
2025-08-13T14:37:00Z,6.00,95.00
2025-08-13T14:39:00Z,6.00,95.00
2025-08-13T14:43:00Z,6.00,95.00
2025-08-13T14:48:00Z,6.00,95.00
2025-08-13T14:51:00Z,6.00,95.00
2025-08-13T14:56:00Z,6.00,95.00
2025-08-13T15:01:00Z,6.00,95.00
2025-08-13T15:07:00Z,6.05,95.00
2025-08-13T15:08:00Z,7.00,95.00
2025-08-13T15:13:00Z,7.00,96.00
2025-08-13T15:16:00Z,6.00,96.00
2025-08-13T15:17:00Z,6.00,96.00
2025-08-13T15:20:00Z,6.00,96.00
2025-08-13T15:22:00Z,5.00,96.00
2025-08-13T15:30:00Z,5.00,95.00
2025-08-13T15:31:00Z,5.00,95.00
2025-08-13T15:34:00Z,6.00,95.00
