# event_ticker=KXATPCHALLENGERMATCH-26MAY28DALSTR
# final_score=6-2 6-3
# match_winner=Robert Strombachs
# fav_player=Robert Strombachs
# dog_player=Guillaume Dalmasso
# kalshi_date=2026-05-28
timestamp,Guillaume Dalmasso,Robert Strombachs
2026-05-27T23:57:00Z,20.00,
2026-05-28T00:06:00Z,20.00,
2026-05-28T00:16:00Z,21.00,
2026-05-28T00:21:00Z,21.00,
2026-05-28T00:43:00Z,21.00,
2026-05-28T00:45:00Z,21.00,
2026-05-28T00:49:00Z,21.00,
2026-05-28T00:50:00Z,21.00,
2026-05-28T00:55:00Z,21.00,
2026-05-28T00:56:00Z,21.00,
2026-05-28T01:44:00Z,22.00,
2026-05-28T02:02:00Z,21.00,
2026-05-28T02:17:00Z,21.00,80.00
2026-05-28T02:20:00Z,21.00,80.00
2026-05-28T02:21:00Z,21.00,80.00
2026-05-28T02:25:00Z,21.00,80.00
2026-05-28T02:28:00Z,21.00,80.00
2026-05-28T02:50:00Z,21.00,80.00
2026-05-28T02:57:00Z,21.00,80.00
2026-05-28T02:58:00Z,21.00,80.00
2026-05-28T03:06:00Z,21.00,81.00
2026-05-28T03:07:00Z,21.00,81.00
2026-05-28T03:25:00Z,21.00,81.00
2026-05-28T03:27:00Z,21.00,81.00
2026-05-28T03:38:00Z,21.00,81.00
2026-05-28T03:47:00Z,21.00,81.00
2026-05-28T03:51:00Z,21.00,81.00
2026-05-28T03:52:00Z,21.00,81.00
2026-05-28T03:53:00Z,21.00,81.00
2026-05-28T03:55:00Z,21.00,81.00
2026-05-28T04:00:00Z,21.00,81.00
2026-05-28T04:04:00Z,21.00,81.00
2026-05-28T04:20:00Z,21.00,81.00
2026-05-28T04:21:00Z,21.00,81.00
2026-05-28T04:35:00Z,21.00,81.00
2026-05-28T04:46:00Z,21.00,81.00
2026-05-28T04:49:00Z,21.00,81.00
2026-05-28T04:50:00Z,21.00,81.00
2026-05-28T04:52:00Z,21.00,81.00
2026-05-28T04:59:00Z,21.00,81.00
2026-05-28T05:02:00Z,21.00,81.00
2026-05-28T05:03:00Z,21.00,81.00
2026-05-28T05:04:00Z,21.00,81.00
2026-05-28T05:08:00Z,21.00,81.00
2026-05-28T05:11:00Z,21.00,81.00
2026-05-28T05:12:00Z,21.00,81.00
2026-05-28T05:16:00Z,21.00,81.00
2026-05-28T05:19:00Z,21.00,81.00
2026-05-28T05:24:00Z,21.00,81.00
2026-05-28T05:26:00Z,21.00,81.00
2026-05-28T05:29:00Z,21.00,81.00
2026-05-28T05:36:00Z,21.00,81.00
2026-05-28T05:39:00Z,21.00,81.00
2026-05-28T05:44:00Z,21.00,81.00
2026-05-28T05:50:00Z,21.00,81.00
2026-05-28T05:53:00Z,21.00,81.00
2026-05-28T05:56:00Z,21.00,81.00
2026-05-28T05:57:00Z,21.00,81.00
2026-05-28T06:00:00Z,21.00,81.00
2026-05-28T06:02:00Z,21.00,81.00
2026-05-28T06:03:00Z,21.00,81.00
2026-05-28T06:13:00Z,21.00,81.00
2026-05-28T06:21:00Z,21.00,81.00
2026-05-28T06:23:00Z,21.00,81.00
2026-05-28T06:25:00Z,21.00,81.00
2026-05-28T06:27:00Z,21.00,81.00
2026-05-28T06:30:00Z,21.00,81.00
2026-05-28T06:33:00Z,21.00,81.00
2026-05-28T06:36:00Z,21.00,81.00
2026-05-28T06:46:00Z,21.00,81.00
2026-05-28T06:50:00Z,21.00,81.00
2026-05-28T06:54:00Z,21.00,81.00
2026-05-28T09:01:00Z,19.00,93.46
2026-05-28T09:02:00Z,10.00,94.52
2026-05-28T09:03:00Z,9.44,92.00
2026-05-28T09:04:00Z,10.00,92.00
2026-05-28T09:05:00Z,10.00,92.00
2026-05-28T09:06:00Z,9.00,91.00
2026-05-28T09:07:00Z,8.92,93.00
2026-05-28T09:08:00Z,9.64,92.00
2026-05-28T09:09:00Z,10.00,92.00
2026-05-28T09:10:00Z,9.00,91.00
2026-05-28T09:11:00Z,3.66,97.66
2026-05-28T09:12:00Z,2.75,98.00
2026-05-28T09:13:00Z,1.95,98.00
2026-05-28T09:14:00Z,3.00,98.00
2026-05-28T09:15:00Z,3.95,98.00
2026-05-28T09:16:00Z,1.67,98.00
2026-05-28T09:17:00Z,3.00,98.00
2026-05-28T09:18:00Z,1.54,99.00
2026-05-28T09:19:00Z,1.54,99.00
