# event_ticker=KXATPCHALLENGERMATCH-26MAY26MIDREI
# final_score=7-6(4) 6-1
# score_resolution=6-7 1-6
# match_winner=Lautaro Midon
# fav_player=Joao Lucas Reis Da Silva
# dog_player=Lautaro Midon
# kalshi_date=2026-05-26
timestamp,Lautaro Midon,Joao Lucas Reis Da Silva
2026-05-26T02:33:00Z,48.00,
2026-05-26T02:59:00Z,48.00,54.00
2026-05-26T04:18:00Z,48.00,54.73
2026-05-26T04:38:00Z,48.00,54.00
2026-05-26T06:05:00Z,48.00,54.00
2026-05-26T07:52:00Z,48.00,54.00
2026-05-26T10:03:00Z,48.00,54.00
2026-05-26T10:16:00Z,47.00,54.00
2026-05-26T10:59:00Z,48.00,54.00
2026-05-26T11:00:00Z,48.00,54.00
2026-05-26T11:01:00Z,48.00,54.00
2026-05-26T11:12:00Z,48.00,54.00
2026-05-26T11:58:00Z,48.00,54.00
2026-05-26T11:59:00Z,48.00,56.55
2026-05-26T12:03:00Z,48.00,56.00
2026-05-26T12:20:00Z,48.00,54.00
2026-05-26T12:44:00Z,48.00,54.00
2026-05-26T12:57:00Z,48.00,54.00
2026-05-26T12:58:00Z,44.00,54.00
2026-05-26T12:59:00Z,44.00,56.00
2026-05-26T13:00:00Z,46.00,53.55
2026-05-26T13:01:00Z,49.00,52.34
2026-05-26T13:02:00Z,44.00,57.00
2026-05-26T13:03:00Z,45.00,54.00
2026-05-26T13:04:00Z,45.00,57.08
2026-05-26T13:05:00Z,45.00,55.64
2026-05-26T13:06:00Z,46.99,57.00
2026-05-26T13:07:00Z,45.71,52.00
2026-05-26T13:08:00Z,45.71,55.09
2026-05-26T13:09:00Z,44.00,56.99
2026-05-26T13:11:00Z,46.00,55.00
2026-05-26T13:12:00Z,43.00,56.51
2026-05-26T13:13:00Z,38.63,61.13
2026-05-26T13:14:00Z,40.00,58.13
2026-05-26T13:15:00Z,39.88,66.32
2026-05-26T13:16:00Z,38.66,62.12
2026-05-26T13:17:00Z,31.61,68.48
2026-05-26T13:18:00Z,35.00,64.24
2026-05-26T13:19:00Z,41.41,60.24
2026-05-26T13:20:00Z,41.41,55.00
2026-05-26T13:21:00Z,48.00,55.00
2026-05-26T13:22:00Z,48.91,51.12
2026-05-26T13:23:00Z,50.00,51.02
2026-05-26T13:24:00Z,48.00,51.98
2026-05-26T13:25:00Z,45.45,53.92
2026-05-26T13:26:00Z,45.00,55.00
2026-05-26T13:27:00Z,41.22,56.57
2026-05-26T13:28:00Z,42.38,59.71
2026-05-26T13:29:00Z,46.73,52.97
2026-05-26T13:30:00Z,50.00,50.64
2026-05-26T13:31:00Z,49.59,51.54
2026-05-26T13:32:00Z,47.00,54.46
2026-05-26T13:33:00Z,46.00,54.90
2026-05-26T13:34:00Z,50.52,51.93
2026-05-26T13:35:00Z,55.24,46.06
2026-05-26T13:36:00Z,67.44,32.33
2026-05-26T13:37:00Z,70.51,30.09
2026-05-26T13:38:00Z,67.29,35.45
2026-05-26T13:39:00Z,59.69,40.47
2026-05-26T13:40:00Z,56.64,46.08
2026-05-26T13:41:00Z,54.94,48.04
2026-05-26T13:42:00Z,52.64,48.62
2026-05-26T13:43:00Z,51.50,49.45
2026-05-26T13:44:00Z,47.86,54.31
2026-05-26T13:45:00Z,43.44,57.13
2026-05-26T13:46:00Z,43.00,57.44
2026-05-26T13:47:00Z,43.07,56.86
2026-05-26T13:48:00Z,46.31,53.82
2026-05-26T13:49:00Z,48.71,52.00
2026-05-26T13:50:00Z,45.59,55.73
2026-05-26T13:51:00Z,50.36,50.34
2026-05-26T13:52:00Z,49.52,54.41
2026-05-26T13:53:00Z,44.91,52.26
2026-05-26T13:54:00Z,52.51,47.50
2026-05-26T13:55:00Z,57.09,45.04
2026-05-26T13:56:00Z,51.66,48.12
2026-05-26T13:57:00Z,61.15,36.57
2026-05-26T13:58:00Z,71.90,25.98
2026-05-26T13:59:00Z,74.22,25.96
2026-05-26T14:00:00Z,74.41,25.72
2026-05-26T14:01:00Z,74.98,25.98
2026-05-26T14:02:00Z,74.00,26.00
2026-05-26T14:03:00Z,75.00,26.00
2026-05-26T14:04:00Z,74.42,25.84
2026-05-26T14:05:00Z,74.42,26.00
2026-05-26T14:06:00Z,75.00,26.00
2026-05-26T14:07:00Z,75.00,28.56
2026-05-26T14:08:00Z,74.01,25.67
2026-05-26T14:09:00Z,76.63,23.57
2026-05-26T14:10:00Z,73.76,25.52
2026-05-26T14:11:00Z,75.85,25.00
2026-05-26T14:12:00Z,78.00,23.00
2026-05-26T14:13:00Z,79.81,21.83
2026-05-26T14:14:00Z,77.13,21.86
2026-05-26T14:15:00Z,75.00,24.20
2026-05-26T14:16:00Z,75.37,26.60
2026-05-26T14:17:00Z,71.76,29.00
2026-05-26T14:18:00Z,74.03,26.37
2026-05-26T14:19:00Z,74.22,25.81
2026-05-26T14:20:00Z,73.43,26.20
2026-05-26T14:21:00Z,74.24,25.96
2026-05-26T14:22:00Z,72.00,27.00
2026-05-26T14:23:00Z,73.99,24.42
2026-05-26T14:24:00Z,77.00,23.02
2026-05-26T14:25:00Z,77.01,25.31
2026-05-26T14:26:00Z,74.00,26.98
2026-05-26T14:27:00Z,76.20,22.42
2026-05-26T14:28:00Z,84.38,9.80
2026-05-26T14:29:00Z,90.29,8.22
2026-05-26T14:30:00Z,94.09,5.52
2026-05-26T14:31:00Z,95.00,5.91
2026-05-26T14:32:00Z,95.00,5.80
2026-05-26T14:33:00Z,93.77,6.94
2026-05-26T14:34:00Z,94.00,5.20
2026-05-26T14:35:00Z,94.00,7.00
2026-05-26T14:36:00Z,94.44,4.37
2026-05-26T14:37:00Z,98.72,2.00
2026-05-26T14:38:00Z,98.76,2.83
2026-05-26T14:39:00Z,99.00,1.42
2026-05-26T14:42:00Z,99.00,1.42
