# event_ticker=KXATPMATCH-26JAN08SONSHA
# final_score=6-3 6-4
# match_winner=Juncheng Shang
# fav_player=Juncheng Shang
# dog_player=Lorenzo Sonego
# kalshi_date=2026-01-08
timestamp,Juncheng Shang,Lorenzo Sonego
2026-01-07T18:34:00Z,,42.46
2026-01-07T18:51:00Z,,44.00
2026-01-07T19:51:00Z,,44.00
2026-01-07T20:04:00Z,,44.00
2026-01-07T20:24:00Z,57.00,44.00
2026-01-07T20:28:00Z,57.00,44.00
2026-01-07T22:07:00Z,57.00,44.00
2026-01-07T22:16:00Z,57.00,44.00
2026-01-07T22:18:00Z,57.00,44.00
2026-01-07T22:26:00Z,57.00,44.00
2026-01-07T22:41:00Z,57.00,44.00
2026-01-07T22:51:00Z,57.00,44.00
2026-01-07T23:07:00Z,57.00,44.00
2026-01-07T23:14:00Z,57.00,44.00
2026-01-07T23:42:00Z,57.00,44.00
2026-01-07T23:49:00Z,57.00,44.00
2026-01-07T23:52:00Z,57.00,44.00
2026-01-07T23:58:00Z,57.00,44.00
2026-01-08T00:06:00Z,57.00,44.00
2026-01-08T00:17:00Z,57.00,44.00
2026-01-08T00:44:00Z,57.00,44.00
2026-01-08T00:54:00Z,57.00,44.00
2026-01-08T01:04:00Z,57.00,44.00
2026-01-08T01:08:00Z,57.00,44.00
2026-01-08T01:42:00Z,57.00,44.00
2026-01-08T02:04:00Z,57.00,44.00
2026-01-08T02:16:00Z,57.00,43.00
2026-01-08T02:44:00Z,57.00,43.00
2026-01-08T02:51:00Z,57.00,44.00
2026-01-08T02:53:00Z,57.00,44.00
2026-01-08T02:56:00Z,57.00,44.00
2026-01-08T03:21:00Z,57.00,44.00
2026-01-08T03:22:00Z,57.00,44.00
2026-01-08T03:25:00Z,57.00,44.00
2026-01-08T03:26:00Z,57.00,44.00
2026-01-08T03:31:00Z,57.00,44.00
2026-01-08T03:33:00Z,57.00,44.00
2026-01-08T03:35:00Z,57.00,44.00
2026-01-08T03:36:00Z,57.00,44.00
2026-01-08T03:45:00Z,56.00,44.00
