# event_ticker=KXATPMATCH-25JUL21MONYIB
# final_score=6-3 6-1
# match_winner=Yibing Wu
# fav_player=Yibing Wu
# dog_player=Gael Monfils
# kalshi_date=2025-07-21
timestamp,Yibing Wu,Gael Monfils
2025-07-22T05:30:00Z,,69.00
2025-07-22T12:07:00Z,,69.00
2025-07-22T12:12:00Z,,69.00
2025-07-22T12:13:00Z,,69.00
2025-07-22T12:53:00Z,,68.83
2025-07-22T13:00:00Z,,68.27
2025-07-22T13:08:00Z,33.00,68.27
2025-07-22T13:20:00Z,33.00,68.00
2025-07-22T13:50:00Z,33.00,68.00
2025-07-22T14:06:00Z,33.00,67.00
2025-07-22T14:15:00Z,33.00,67.00
2025-07-22T14:17:00Z,33.00,67.00
2025-07-22T14:18:00Z,33.00,67.00
2025-07-22T14:33:00Z,33.00,67.00
2025-07-22T14:52:00Z,33.00,67.00
2025-07-22T14:53:00Z,33.00,67.00
2025-07-22T14:56:00Z,33.00,67.00
2025-07-22T14:57:00Z,33.00,67.00
2025-07-22T15:00:00Z,34.00,67.00
2025-07-22T15:06:00Z,35.00,66.00
2025-07-22T15:07:00Z,35.00,66.00
2025-07-22T15:13:00Z,35.00,66.00
2025-07-22T15:20:00Z,35.00,66.00
2025-07-22T15:26:00Z,35.00,66.00
2025-07-22T15:30:00Z,35.00,66.00
2025-07-22T15:33:00Z,35.00,66.00
2025-07-22T15:37:00Z,35.00,66.00
2025-07-22T15:42:00Z,35.00,66.00
2025-07-22T15:55:00Z,35.00,66.00
2025-07-22T16:01:00Z,35.00,66.00
2025-07-22T16:02:00Z,35.00,66.00
2025-07-22T16:07:00Z,36.00,66.00
2025-07-22T16:25:00Z,36.00,65.00
2025-07-22T16:26:00Z,36.00,65.00
2025-07-22T16:38:00Z,36.00,66.00
2025-07-22T16:40:00Z,36.00,66.00
2025-07-22T16:58:00Z,36.96,66.00
2025-07-22T16:59:00Z,39.32,66.00
2025-07-22T17:01:00Z,39.32,66.00
2025-07-22T17:02:00Z,38.00,66.00
2025-07-22T17:03:00Z,38.00,64.00
2025-07-22T17:05:00Z,38.00,62.74
2025-07-22T17:11:00Z,38.00,65.96
2025-07-22T17:12:00Z,36.35,68.00
2025-07-22T17:13:00Z,35.80,68.00
2025-07-22T17:14:00Z,37.41,64.20
2025-07-22T17:15:00Z,37.00,64.20
2025-07-22T17:16:00Z,37.00,64.20
2025-07-22T17:17:00Z,37.00,64.00
2025-07-22T17:18:00Z,36.20,65.88
