# event_ticker=KXATPMATCH-25OCT22MEDBOR
# final_score=6-4 6-7(7) 6-2
# score_resolution=6-4 6-7 6-2
# match_winner=Daniil Medvedev
# fav_player=Daniil Medvedev
# dog_player=Nuno Borges
# kalshi_date=2025-10-22
timestamp,Daniil Medvedev,Nuno Borges
2025-10-22T03:09:00Z,,22.00
2025-10-22T03:10:00Z,80.00,22.00
2025-10-22T03:16:00Z,80.00,22.00
2025-10-22T03:18:00Z,80.00,22.00
2025-10-22T03:22:00Z,80.00,22.00
2025-10-22T03:23:00Z,80.00,22.00
2025-10-22T03:33:00Z,80.00,22.00
2025-10-22T03:44:00Z,78.00,22.00
2025-10-22T03:45:00Z,78.00,22.00
2025-10-22T03:46:00Z,80.00,22.00
2025-10-22T03:54:00Z,80.00,22.00
2025-10-22T04:03:00Z,80.00,22.00
2025-10-22T04:04:00Z,80.00,22.00
2025-10-22T04:17:00Z,80.00,22.00
2025-10-22T04:20:00Z,80.00,22.00
2025-10-22T04:23:00Z,80.00,22.00
2025-10-22T04:25:00Z,80.00,22.00
2025-10-22T04:34:00Z,80.00,22.00
2025-10-22T04:38:00Z,80.00,22.00
2025-10-22T04:59:00Z,80.00,22.00
2025-10-22T05:00:00Z,80.00,22.00
2025-10-22T05:01:00Z,80.00,22.00
2025-10-22T05:02:00Z,80.00,22.00
2025-10-22T05:03:00Z,79.00,22.00
2025-10-22T05:04:00Z,79.00,22.00
2025-10-22T05:08:00Z,80.00,22.00
2025-10-22T05:09:00Z,80.00,22.00
2025-10-22T05:10:00Z,80.00,22.00
2025-10-22T05:13:00Z,80.00,22.00
2025-10-22T05:17:00Z,80.00,20.00
2025-10-22T05:20:00Z,81.00,20.00
2025-10-22T05:32:00Z,81.00,20.00
2025-10-22T05:39:00Z,81.00,20.00
2025-10-22T05:41:00Z,81.00,20.00
2025-10-22T05:47:00Z,81.00,20.00
2025-10-22T05:52:00Z,81.00,20.00
2025-10-22T05:59:00Z,81.00,20.00
2025-10-22T06:11:00Z,81.00,20.00
2025-10-22T06:21:00Z,81.46,20.00
2025-10-22T06:31:00Z,82.00,20.00
2025-10-22T06:36:00Z,82.00,20.00
2025-10-22T06:46:00Z,82.00,20.00
2025-10-22T06:47:00Z,82.00,20.00
2025-10-22T06:49:00Z,82.00,20.00
2025-10-22T06:52:00Z,82.00,20.00
2025-10-22T06:53:00Z,82.00,20.00
2025-10-22T07:04:00Z,81.00,20.00
2025-10-22T07:10:00Z,81.00,21.00
2025-10-22T07:13:00Z,81.00,21.00
2025-10-22T07:18:00Z,81.00,21.00
2025-10-22T07:22:00Z,81.00,21.00
2025-10-22T07:30:00Z,81.00,21.00
2025-10-22T07:34:00Z,81.00,21.00
2025-10-22T07:49:00Z,81.00,21.00
2025-10-22T07:59:00Z,81.00,21.00
2025-10-22T08:00:00Z,81.00,21.00
2025-10-22T08:02:00Z,81.00,21.00
2025-10-22T08:03:00Z,81.00,21.00
2025-10-22T08:15:00Z,81.00,21.00
2025-10-22T08:16:00Z,81.00,21.00
