# event_ticker=KXATPCHALLENGERMATCH-26MAR02BUDMOL
# final_score=6-1 6-2
# score_resolution=1-6 2-6
# match_winner=Nicolai Budkov Kjaer
# fav_player=Alex Molcan
# dog_player=Nicolai Budkov Kjaer
# kalshi_date=2026-03-02
timestamp,Alex Molcan,Nicolai Budkov Kjaer
2026-03-02T07:34:00Z,40.00,58.00
2026-03-02T07:35:00Z,40.00,56.00
2026-03-02T07:36:00Z,40.00,56.00
2026-03-02T07:38:00Z,40.00,58.00
2026-03-02T07:40:00Z,40.00,56.00
2026-03-02T07:42:00Z,40.00,58.00
2026-03-02T07:43:00Z,44.00,58.00
2026-03-02T07:44:00Z,44.00,56.00
2026-03-02T07:46:00Z,44.00,58.00
2026-03-02T07:48:00Z,44.00,56.00
2026-03-02T07:50:00Z,44.00,58.00
2026-03-02T07:52:00Z,44.00,56.00
2026-03-02T07:54:00Z,44.00,58.00
2026-03-02T07:56:00Z,44.00,56.00
2026-03-02T07:59:00Z,44.00,58.00
2026-03-02T08:01:00Z,44.00,56.00
2026-03-02T08:03:00Z,44.00,58.00
2026-03-02T08:05:00Z,44.00,56.00
2026-03-02T08:07:00Z,44.00,58.00
2026-03-02T08:10:00Z,44.00,56.00
2026-03-02T08:12:00Z,44.00,58.00
2026-03-02T08:14:00Z,44.00,56.00
2026-03-02T08:17:00Z,44.00,58.00
2026-03-02T08:19:00Z,44.00,56.00
2026-03-02T08:21:00Z,44.00,58.00
2026-03-02T08:24:00Z,44.00,56.00
2026-03-02T08:27:00Z,44.00,58.00
2026-03-02T08:28:00Z,44.00,58.00
2026-03-02T08:29:00Z,44.00,56.00
2026-03-02T08:30:00Z,44.00,58.00
2026-03-02T08:32:00Z,44.00,56.00
2026-03-02T08:35:00Z,44.00,58.00
2026-03-02T08:37:00Z,44.00,56.00
2026-03-02T08:40:00Z,44.00,58.00
2026-03-02T08:43:00Z,44.00,56.00
2026-03-02T08:46:00Z,44.00,58.00
2026-03-02T08:49:00Z,44.00,56.00
2026-03-02T08:51:00Z,44.00,58.00
2026-03-02T08:54:00Z,44.00,56.00
2026-03-02T08:57:00Z,44.00,58.00
2026-03-02T09:00:00Z,44.39,58.00
2026-03-02T09:10:00Z,45.00,58.00
2026-03-02T12:18:00Z,41.00,58.00
2026-03-02T12:29:00Z,41.00,59.00
2026-03-02T13:04:00Z,43.00,59.00
2026-03-02T13:48:00Z,43.00,59.00
2026-03-02T13:56:00Z,43.00,59.00
2026-03-02T13:57:00Z,43.00,59.00
2026-03-02T14:07:00Z,43.00,59.00
2026-03-02T14:25:00Z,43.00,59.00
2026-03-02T14:33:00Z,43.00,59.00
2026-03-02T14:39:00Z,43.00,59.00
2026-03-02T14:49:00Z,43.00,59.00
2026-03-02T14:52:00Z,43.00,59.00
2026-03-02T15:08:00Z,43.00,59.00
2026-03-02T15:11:00Z,43.00,60.00
2026-03-02T15:22:00Z,43.00,60.00
2026-03-02T15:27:00Z,43.00,60.00
2026-03-02T15:30:00Z,43.00,60.00
2026-03-02T15:39:00Z,43.00,60.00
2026-03-02T15:45:00Z,43.00,60.00
2026-03-02T15:46:00Z,43.00,60.00
2026-03-02T15:47:00Z,43.00,58.50
2026-03-02T15:48:00Z,43.00,60.00
2026-03-02T15:49:00Z,43.00,60.00
2026-03-02T15:50:00Z,43.00,60.00
2026-03-02T15:53:00Z,43.00,59.00
2026-03-02T16:10:00Z,43.00,59.00
2026-03-02T16:11:00Z,43.00,60.00
2026-03-02T16:12:00Z,43.00,60.00
2026-03-02T16:13:00Z,43.00,60.00
2026-03-02T16:17:00Z,43.00,60.00
2026-03-02T16:21:00Z,43.00,60.00
2026-03-02T16:23:00Z,43.00,60.00
2026-03-02T16:25:00Z,43.00,60.00
2026-03-02T16:30:00Z,43.00,60.00
2026-03-02T16:31:00Z,43.00,60.00
2026-03-02T16:35:00Z,43.00,60.00
2026-03-02T16:36:00Z,40.00,60.00
2026-03-02T16:39:00Z,40.00,59.00
2026-03-02T16:44:00Z,40.00,59.60
2026-03-02T16:48:00Z,40.00,60.00
2026-03-02T16:49:00Z,40.00,60.00
2026-03-02T16:50:00Z,40.00,60.00
2026-03-02T16:52:00Z,40.00,60.00
2026-03-02T16:55:00Z,42.66,60.00
2026-03-02T17:15:00Z,42.66,57.05
2026-03-02T17:21:00Z,42.66,60.00
2026-03-02T17:23:00Z,43.00,60.00
2026-03-02T17:26:00Z,43.00,60.00
2026-03-02T17:28:00Z,43.00,60.00
2026-03-02T17:29:00Z,43.00,60.00
2026-03-02T17:31:00Z,43.00,60.00
2026-03-02T17:32:00Z,43.00,60.00
2026-03-02T17:33:00Z,43.00,60.00
2026-03-02T17:34:00Z,43.00,60.00
2026-03-02T17:35:00Z,43.00,60.00
2026-03-02T17:36:00Z,43.00,60.00
2026-03-02T17:37:00Z,43.00,60.37
2026-03-02T17:44:00Z,43.00,60.50
2026-03-02T17:52:00Z,43.00,61.00
2026-03-02T17:54:00Z,43.00,61.00
2026-03-02T17:56:00Z,43.00,61.00
2026-03-02T17:57:00Z,43.00,60.33
2026-03-02T17:58:00Z,42.00,61.00
2026-03-02T17:59:00Z,42.00,61.00
2026-03-02T18:00:00Z,42.00,61.00
2026-03-02T18:01:00Z,42.00,61.00
2026-03-02T18:02:00Z,39.09,61.00
2026-03-02T18:04:00Z,39.09,61.00
2026-03-02T18:05:00Z,41.00,61.00
2026-03-02T18:07:00Z,41.00,61.00
2026-03-02T18:10:00Z,41.00,60.00
2026-03-02T18:12:00Z,41.00,60.00
2026-03-02T18:13:00Z,41.00,60.00
2026-03-02T18:15:00Z,41.00,60.00
2026-03-02T18:18:00Z,41.00,60.00
2026-03-02T18:20:00Z,41.00,60.00
2026-03-02T18:23:00Z,41.00,60.00
2026-03-02T18:24:00Z,41.00,60.00
2026-03-02T18:25:00Z,41.00,60.00
2026-03-02T18:27:00Z,41.00,60.00
2026-03-02T18:31:00Z,41.00,60.00
2026-03-02T18:32:00Z,41.00,61.00
2026-03-02T18:36:00Z,41.00,60.80
2026-03-02T18:39:00Z,41.00,60.13
2026-03-02T18:42:00Z,41.00,60.13
2026-03-02T18:43:00Z,42.00,60.13
2026-03-02T18:47:00Z,42.00,60.13
2026-03-02T18:48:00Z,42.00,60.00
2026-03-02T18:53:00Z,42.00,60.00
2026-03-02T18:54:00Z,41.00,60.00
2026-03-02T18:56:00Z,41.00,60.00
2026-03-02T18:57:00Z,41.00,60.05
2026-03-02T19:00:00Z,40.00,60.00
2026-03-02T19:03:00Z,40.00,60.00
2026-03-02T19:05:00Z,43.64,60.00
2026-03-02T19:06:00Z,44.22,57.00
2026-03-02T19:07:00Z,45.00,57.00
2026-03-02T19:08:00Z,44.00,57.00
2026-03-02T19:09:00Z,44.00,56.00
2026-03-02T19:10:00Z,44.00,57.00
2026-03-02T19:11:00Z,44.00,57.00
2026-03-02T19:12:00Z,44.00,57.00
2026-03-02T19:14:00Z,44.00,57.00
2026-03-02T19:15:00Z,44.00,57.00
2026-03-02T19:16:00Z,44.00,57.00
2026-03-02T19:19:00Z,44.00,57.00
2026-03-02T19:20:00Z,43.00,57.00
2026-03-02T19:21:00Z,43.00,57.00
2026-03-02T19:22:00Z,43.00,58.00
2026-03-02T19:23:00Z,43.00,58.00
2026-03-02T19:24:00Z,43.00,59.12
2026-03-02T19:25:00Z,40.52,62.03
2026-03-02T19:26:00Z,37.59,64.00
2026-03-02T19:27:00Z,38.39,62.13
2026-03-02T19:28:00Z,35.00,63.19
2026-03-02T19:29:00Z,30.48,68.87
2026-03-02T19:30:00Z,31.12,69.27
2026-03-02T19:31:00Z,22.05,77.02
2026-03-02T19:32:00Z,21.45,78.94
2026-03-02T19:33:00Z,21.21,79.09
2026-03-02T19:34:00Z,21.99,78.01
2026-03-02T19:35:00Z,20.98,79.91
2026-03-02T19:36:00Z,15.75,80.49
2026-03-02T19:37:00Z,17.07,83.20
2026-03-02T19:38:00Z,19.42,82.49
2026-03-02T19:39:00Z,16.21,82.21
2026-03-02T19:40:00Z,13.99,86.72
2026-03-02T19:41:00Z,12.14,88.49
2026-03-02T19:42:00Z,12.00,90.00
2026-03-02T19:43:00Z,11.73,87.53
2026-03-02T19:44:00Z,13.94,86.51
2026-03-02T19:45:00Z,15.25,84.86
2026-03-02T19:46:00Z,14.17,85.21
2026-03-02T19:47:00Z,16.99,86.45
2026-03-02T19:48:00Z,15.29,84.35
2026-03-02T19:49:00Z,14.27,86.97
2026-03-02T19:50:00Z,14.02,85.30
2026-03-02T19:51:00Z,14.00,86.87
2026-03-02T19:52:00Z,13.83,86.90
2026-03-02T19:53:00Z,14.00,86.99
2026-03-02T19:54:00Z,13.36,86.10
2026-03-02T19:55:00Z,14.57,84.81
2026-03-02T19:56:00Z,17.01,83.01
2026-03-02T19:57:00Z,21.14,78.76
2026-03-02T19:58:00Z,19.57,79.24
2026-03-02T19:59:00Z,16.59,85.19
2026-03-02T20:00:00Z,14.09,85.74
2026-03-02T20:01:00Z,12.43,89.36
2026-03-02T20:02:00Z,9.95,89.53
2026-03-02T20:03:00Z,8.21,92.41
2026-03-02T20:04:00Z,6.41,94.24
2026-03-02T20:05:00Z,6.00,95.01
2026-03-02T20:06:00Z,3.90,95.60
2026-03-02T20:07:00Z,2.60,97.03
2026-03-02T20:08:00Z,2.12,97.97
2026-03-02T20:09:00Z,2.99,97.96
2026-03-02T20:10:00Z,2.18,97.91
2026-03-02T20:11:00Z,3.12,97.00
2026-03-02T20:12:00Z,3.51,97.72
2026-03-02T20:13:00Z,4.17,96.99
2026-03-02T20:14:00Z,5.01,95.96
2026-03-02T20:15:00Z,5.92,95.46
2026-03-02T20:16:00Z,6.36,94.54
2026-03-02T20:17:00Z,3.97,96.95
2026-03-02T20:18:00Z,5.53,95.00
2026-03-02T20:19:00Z,5.05,95.22
2026-03-02T20:20:00Z,4.12,96.30
2026-03-02T20:21:00Z,4.99,96.03
2026-03-02T20:22:00Z,4.49,97.02
2026-03-02T20:23:00Z,2.88,98.37
2026-03-02T20:24:00Z,2.50,98.38
2026-03-02T20:25:00Z,1.01,99.00
2026-03-02T20:26:00Z,1.01,99.00
2026-03-02T20:27:00Z,1.01,99.00
2026-03-02T20:28:00Z,1.01,99.00
2026-03-02T20:30:00Z,1.01,99.00
2026-03-02T20:31:00Z,1.01,99.00
