# event_ticker=KXATPMATCH-26APR13NAGCER
# final_score=6-2 6-2
# score_resolution=2-6 2-6
# match_winner=Francisco Cerundolo
# fav_player=Sumit Nagal
# dog_player=Francisco Cerundolo
# kalshi_date=2026-04-13
timestamp,Sumit Nagal,Francisco Cerundolo
2026-04-13T09:30:00Z,,84.00
2026-04-13T09:31:00Z,17.00,92.00
2026-04-13T09:50:00Z,17.00,92.00
2026-04-13T09:51:00Z,9.00,92.00
2026-04-13T09:53:00Z,9.00,92.00
2026-04-13T09:58:00Z,8.00,92.00
2026-04-13T09:59:00Z,8.00,92.00
2026-04-13T10:00:00Z,9.65,92.00
2026-04-13T10:05:00Z,9.65,92.00
2026-04-13T10:06:00Z,8.46,92.05
2026-04-13T10:11:00Z,8.00,92.05
2026-04-13T10:13:00Z,7.00,92.05
2026-04-13T10:17:00Z,8.00,92.05
2026-04-13T10:18:00Z,9.00,92.00
2026-04-13T10:19:00Z,9.00,92.00
2026-04-13T10:20:00Z,9.00,91.00
2026-04-13T10:25:00Z,9.00,93.00
2026-04-13T10:27:00Z,9.00,93.00
2026-04-13T10:29:00Z,8.56,93.00
2026-04-13T10:31:00Z,9.00,93.00
2026-04-13T10:32:00Z,9.00,93.00
2026-04-13T10:33:00Z,9.00,93.00
2026-04-13T10:37:00Z,9.00,93.00
2026-04-13T10:42:00Z,9.00,93.00
2026-04-13T10:45:00Z,9.00,93.00
2026-04-13T10:47:00Z,9.00,93.00
2026-04-13T10:49:00Z,9.00,94.00
2026-04-13T10:50:00Z,8.00,94.00
2026-04-13T10:51:00Z,8.00,94.00
2026-04-13T10:52:00Z,8.00,94.00
2026-04-13T10:53:00Z,8.00,94.00
2026-04-13T10:54:00Z,8.00,94.00
2026-04-13T10:55:00Z,7.00,94.00
2026-04-13T10:56:00Z,7.00,94.00
2026-04-13T10:57:00Z,7.00,94.58
2026-04-13T11:00:00Z,8.00,95.00
2026-04-13T11:02:00Z,8.00,95.00
2026-04-13T11:03:00Z,8.00,95.00
2026-04-13T11:04:00Z,8.00,93.00
2026-04-13T11:06:00Z,7.79,93.00
2026-04-13T11:07:00Z,7.79,94.89
2026-04-13T11:08:00Z,6.01,94.01
2026-04-13T11:09:00Z,7.34,95.00
2026-04-13T11:10:00Z,7.19,94.02
2026-04-13T11:11:00Z,7.64,95.45
2026-04-13T11:12:00Z,5.53,95.00
2026-04-13T11:13:00Z,6.27,96.71
2026-04-13T11:14:00Z,7.57,94.00
2026-04-13T11:15:00Z,7.37,94.00
2026-04-13T11:16:00Z,7.18,95.21
2026-04-13T11:17:00Z,7.48,93.02
2026-04-13T11:18:00Z,7.93,94.00
2026-04-13T11:19:00Z,9.00,92.80
2026-04-13T11:20:00Z,11.07,90.24
2026-04-13T11:21:00Z,8.87,94.00
2026-04-13T11:22:00Z,6.19,94.31
2026-04-13T11:23:00Z,5.47,94.02
