# event_ticker=KXATPCHALLENGERMATCH-26JUN02HSUJON
# final_score=6-4 1-6 6-4
# match_winner=Yu Hsiou Hsu
# fav_player=Yu Hsiou Hsu
# dog_player=Sander Jong
# kalshi_date=2026-06-02
timestamp,Yu Hsiou Hsu,Sander Jong
2026-06-02T03:27:00Z,47.00,
2026-06-02T04:31:00Z,51.00,
2026-06-02T05:27:00Z,48.71,
2026-06-02T06:25:00Z,51.00,
2026-06-02T06:41:00Z,51.00,
2026-06-02T07:04:00Z,51.00,
2026-06-02T07:30:00Z,51.00,52.19
2026-06-02T08:35:00Z,51.00,49.00
2026-06-02T08:45:00Z,51.00,48.00
2026-06-02T08:56:00Z,58.03,48.00
2026-06-02T09:07:00Z,58.03,45.00
2026-06-02T09:20:00Z,58.03,45.00
2026-06-02T09:21:00Z,58.03,45.00
2026-06-02T09:38:00Z,58.03,45.99
2026-06-02T09:51:00Z,58.03,45.00
2026-06-02T10:23:00Z,56.00,45.00
2026-06-02T11:50:00Z,56.00,45.00
2026-06-02T12:12:00Z,56.00,44.00
2026-06-02T12:13:00Z,56.00,44.00
2026-06-02T12:25:00Z,56.00,45.00
2026-06-02T12:31:00Z,56.00,45.00
2026-06-02T12:48:00Z,55.00,45.00
2026-06-02T12:49:00Z,55.00,46.00
2026-06-02T13:11:00Z,56.00,46.00
2026-06-02T13:34:00Z,56.00,46.00
2026-06-02T13:41:00Z,55.94,46.00
2026-06-02T13:51:00Z,57.02,46.00
2026-06-02T13:55:00Z,55.50,46.00
2026-06-02T14:10:00Z,54.00,46.00
2026-06-02T14:17:00Z,54.00,47.26
2026-06-02T14:20:00Z,54.00,48.00
2026-06-02T14:31:00Z,55.00,47.96
2026-06-02T14:32:00Z,55.00,49.00
2026-06-02T14:33:00Z,51.00,49.00
2026-06-02T14:34:00Z,50.68,51.00
2026-06-02T14:35:00Z,49.00,51.78
2026-06-02T14:36:00Z,49.96,51.33
2026-06-02T14:37:00Z,50.00,50.15
2026-06-02T14:38:00Z,51.04,49.00
2026-06-02T14:39:00Z,56.67,45.00
2026-06-02T14:40:00Z,59.47,40.46
2026-06-02T14:41:00Z,55.03,44.37
2026-06-02T14:42:00Z,53.67,46.17
2026-06-02T14:43:00Z,53.67,52.00
2026-06-02T14:44:00Z,47.89,54.93
2026-06-02T14:45:00Z,49.13,52.65
