# event_ticker=KXATPCHALLENGERMATCH-26MAR25POLGIL
# final_score=6-1 6-2
# score_resolution=1-6 2-6
# match_winner=Mili Poljicak
# fav_player=Felix Gill
# dog_player=Mili Poljicak
# kalshi_date=2026-03-25
timestamp,Felix Gill,Mili Poljicak
2026-03-24T22:57:00Z,57.00,
2026-03-24T23:00:00Z,54.00,
2026-03-24T23:23:00Z,57.00,
2026-03-24T23:25:00Z,54.00,
2026-03-25T00:25:00Z,57.96,
2026-03-25T00:33:00Z,55.00,
2026-03-25T01:09:00Z,55.00,45.00
2026-03-25T01:32:00Z,57.00,45.00
2026-03-25T01:34:00Z,57.37,45.00
2026-03-25T01:58:00Z,58.00,45.00
2026-03-25T02:03:00Z,58.00,45.00
2026-03-25T02:32:00Z,58.00,44.00
2026-03-25T02:33:00Z,58.00,44.00
2026-03-25T02:59:00Z,58.00,44.00
2026-03-25T03:20:00Z,58.22,44.00
2026-03-25T03:31:00Z,58.22,43.00
2026-03-25T04:08:00Z,59.00,43.00
2026-03-25T04:17:00Z,59.00,43.00
2026-03-25T04:18:00Z,59.00,43.00
2026-03-25T04:26:00Z,59.00,41.00
2026-03-25T04:34:00Z,59.00,41.00
2026-03-25T04:46:00Z,59.00,41.00
2026-03-25T05:15:00Z,59.00,41.00
2026-03-25T05:21:00Z,59.00,41.00
2026-03-25T05:24:00Z,59.00,41.00
2026-03-25T05:26:00Z,59.00,41.00
2026-03-25T05:28:00Z,59.00,41.00
2026-03-25T05:31:00Z,58.00,41.00
2026-03-25T05:34:00Z,59.00,41.00
2026-03-25T05:37:00Z,59.00,41.00
2026-03-25T05:42:00Z,59.00,41.00
2026-03-25T05:47:00Z,59.00,41.00
2026-03-25T05:49:00Z,59.54,40.89
2026-03-25T05:53:00Z,61.90,41.00
2026-03-25T05:58:00Z,62.00,41.00
2026-03-25T06:04:00Z,62.00,41.00
2026-03-25T06:05:00Z,62.00,41.00
2026-03-25T06:08:00Z,62.00,41.00
2026-03-25T06:09:00Z,62.00,41.00
2026-03-25T06:10:00Z,62.00,40.00
2026-03-25T06:11:00Z,62.00,40.00
2026-03-25T06:12:00Z,62.20,40.00
2026-03-25T06:14:00Z,62.00,40.00
2026-03-25T06:15:00Z,62.00,40.00
2026-03-25T06:16:00Z,62.22,40.00
2026-03-25T06:18:00Z,63.00,40.00
2026-03-25T06:29:00Z,63.00,40.00
2026-03-25T06:33:00Z,63.00,40.00
