# event_ticker=KXATPCHALLENGERMATCH-26APR21BONGUE
# final_score=7-6(4) 6-2
# score_resolution=7-6 6-2
# match_winner=Andrea Guerrieri
# fav_player=Andrea Guerrieri
# dog_player=Federico Bondioli
# kalshi_date=2026-04-21
timestamp,Federico Bondioli,Andrea Guerrieri
2026-04-21T01:18:00Z,,57.00
2026-04-21T01:44:00Z,,57.00
2026-04-21T04:06:00Z,44.00,57.00
2026-04-21T05:58:00Z,44.00,57.00
2026-04-21T06:43:00Z,44.00,57.00
2026-04-21T07:51:00Z,44.00,57.00
2026-04-21T09:32:00Z,45.00,57.00
2026-04-21T10:50:00Z,45.00,56.00
2026-04-21T11:05:00Z,38.99,56.00
2026-04-21T11:06:00Z,42.00,56.00
2026-04-21T11:08:00Z,34.00,56.00
2026-04-21T11:09:00Z,34.00,56.00
2026-04-21T11:10:00Z,31.59,68.01
2026-04-21T11:11:00Z,31.59,70.16
2026-04-21T11:12:00Z,28.00,72.00
2026-04-21T11:14:00Z,27.18,75.00
2026-04-21T11:15:00Z,27.00,75.00
2026-04-21T11:18:00Z,27.00,69.99
2026-04-21T11:19:00Z,33.00,69.99
2026-04-21T11:20:00Z,31.41,67.94
2026-04-21T11:21:00Z,31.41,67.00
2026-04-21T11:22:00Z,31.41,70.24
2026-04-21T11:23:00Z,26.06,73.00
2026-04-21T11:24:00Z,26.06,74.00
2026-04-21T11:25:00Z,24.00,75.50
2026-04-21T11:26:00Z,26.98,72.00
2026-04-21T11:28:00Z,32.00,69.00
2026-04-21T11:29:00Z,33.00,65.83
2026-04-21T11:30:00Z,30.46,65.83
2026-04-21T11:31:00Z,29.00,74.00
2026-04-21T11:32:00Z,32.66,74.00
2026-04-21T11:33:00Z,32.66,65.00
2026-04-21T11:34:00Z,35.33,64.00
2026-04-21T11:35:00Z,42.00,55.38
2026-04-21T11:36:00Z,45.00,54.01
2026-04-21T11:37:00Z,40.88,58.00
2026-04-21T11:38:00Z,45.00,55.00
2026-04-21T11:39:00Z,45.00,55.26
2026-04-21T11:40:00Z,45.78,50.00
2026-04-21T11:42:00Z,53.00,46.31
2026-04-21T11:43:00Z,53.96,50.00
2026-04-21T11:44:00Z,53.96,53.00
2026-04-21T11:45:00Z,49.42,54.00
2026-04-21T11:46:00Z,49.42,49.66
