# event_ticker=KXATPCHALLENGERMATCH-26JUN01YUNHAR
# final_score=7-6(5) 1-6 6-1
# score_resolution=6-7 6-1 1-6
# match_winner=Yunchaokete Bu
# fav_player=Lloyd Harris
# dog_player=Yunchaokete Bu
# kalshi_date=2026-06-01
timestamp,Yunchaokete Bu,Lloyd Harris
2026-06-02T00:10:00Z,,54.59
2026-06-02T00:11:00Z,46.00,54.32
2026-06-02T00:12:00Z,48.00,54.32
2026-06-02T00:13:00Z,48.00,55.00
2026-06-02T00:14:00Z,48.00,50.00
2026-06-02T00:15:00Z,46.28,50.00
2026-06-02T00:17:00Z,49.00,50.00
2026-06-02T00:18:00Z,45.00,50.00
2026-06-02T00:19:00Z,49.00,50.00
2026-06-02T00:20:00Z,49.54,50.00
2026-06-02T00:21:00Z,49.00,50.00
2026-06-02T00:22:00Z,47.09,51.01
2026-06-02T00:23:00Z,45.95,51.01
2026-06-02T00:24:00Z,48.00,51.01
2026-06-02T00:25:00Z,46.15,50.79
2026-06-02T00:26:00Z,46.15,50.00
2026-06-02T00:27:00Z,48.00,53.00
2026-06-02T00:28:00Z,48.00,50.00
2026-06-02T00:29:00Z,47.36,50.00
2026-06-02T00:30:00Z,48.00,49.43
2026-06-02T00:31:00Z,48.00,50.00
2026-06-02T00:32:00Z,48.00,53.94
2026-06-02T00:34:00Z,48.16,50.92
2026-06-02T00:35:00Z,45.00,54.00
2026-06-02T00:37:00Z,49.37,54.00
2026-06-02T00:39:00Z,46.00,54.00
2026-06-02T00:41:00Z,50.00,53.00
2026-06-02T00:42:00Z,50.00,50.00
2026-06-02T00:43:00Z,50.14,50.00
2026-06-02T00:44:00Z,50.14,53.00
2026-06-02T00:45:00Z,50.90,50.00
2026-06-02T00:46:00Z,49.88,50.00
2026-06-02T00:47:00Z,45.50,53.81
2026-06-02T00:48:00Z,45.50,54.00
2026-06-02T00:49:00Z,45.50,50.00
2026-06-02T00:50:00Z,47.06,50.00
2026-06-02T00:51:00Z,50.00,54.00
2026-06-02T00:52:00Z,46.07,50.00
