# event_ticker=KXATPCHALLENGERMATCH-26APR07MARMAY
# final_score=3-6 6-3 7-6(2)
# score_resolution=3-6 6-3 7-6
# match_winner=Aidan Mayo
# fav_player=Aidan Mayo
# dog_player=Dan Martin
# kalshi_date=2026-04-07
timestamp,Aidan Mayo,Dan Martin
2026-04-07T10:46:00Z,59.00,
2026-04-07T10:54:00Z,59.00,42.00
2026-04-07T12:46:00Z,59.00,43.00
2026-04-07T13:27:00Z,59.00,43.00
2026-04-07T14:45:00Z,59.00,42.00
2026-04-07T15:11:00Z,58.00,42.00
2026-04-07T15:26:00Z,59.00,42.00
2026-04-07T15:41:00Z,60.21,42.00
2026-04-07T15:47:00Z,61.00,42.00
2026-04-07T16:29:00Z,61.00,41.16
2026-04-07T16:30:00Z,61.00,41.00
2026-04-07T16:33:00Z,60.00,41.00
2026-04-07T17:03:00Z,60.00,41.00
2026-04-07T17:09:00Z,60.00,41.00
2026-04-07T17:15:00Z,60.00,41.00
2026-04-07T17:31:00Z,60.00,42.00
2026-04-07T17:40:00Z,58.00,42.00
2026-04-07T17:41:00Z,58.00,42.00
2026-04-07T17:42:00Z,58.00,43.00
2026-04-07T17:43:00Z,58.00,43.00
2026-04-07T17:51:00Z,58.00,43.00
2026-04-07T18:12:00Z,58.00,43.00
2026-04-07T18:21:00Z,57.36,44.63
2026-04-07T18:24:00Z,57.36,44.00
2026-04-07T18:25:00Z,57.36,45.00
2026-04-07T18:29:00Z,57.36,45.00
2026-04-07T18:31:00Z,57.00,45.00
2026-04-07T18:32:00Z,57.00,45.00
2026-04-07T18:33:00Z,57.00,45.00
2026-04-07T18:34:00Z,57.00,45.00
2026-04-07T18:35:00Z,57.63,45.00
2026-04-07T18:39:00Z,57.00,45.00
2026-04-07T18:43:00Z,58.00,45.00
2026-04-07T18:48:00Z,57.00,45.00
2026-04-07T18:49:00Z,57.00,45.00
2026-04-07T18:50:00Z,57.00,45.00
2026-04-07T18:51:00Z,57.00,45.98
2026-04-07T18:53:00Z,57.95,45.98
2026-04-07T18:57:00Z,57.95,45.00
2026-04-07T18:58:00Z,56.00,45.00
2026-04-07T18:59:00Z,57.00,45.00
2026-04-07T19:02:00Z,57.06,45.00
2026-04-07T19:03:00Z,57.06,46.17
2026-04-07T19:11:00Z,57.00,46.17
2026-04-07T19:16:00Z,57.00,42.00
2026-04-07T19:22:00Z,57.00,45.00
2026-04-07T19:23:00Z,58.00,45.00
2026-04-07T19:30:00Z,58.00,45.00
2026-04-07T19:31:00Z,57.00,45.48
2026-04-07T19:37:00Z,57.00,45.48
2026-04-07T19:44:00Z,57.00,44.00
2026-04-07T19:46:00Z,57.00,44.00
2026-04-07T19:47:00Z,57.00,44.00
2026-04-07T19:48:00Z,56.00,44.00
2026-04-07T19:49:00Z,56.00,48.66
2026-04-07T19:50:00Z,51.22,49.80
2026-04-07T19:51:00Z,54.91,46.33
2026-04-07T19:52:00Z,54.97,46.50
2026-04-07T19:53:00Z,54.97,49.00
2026-04-07T19:54:00Z,50.05,49.00
2026-04-07T19:55:00Z,57.67,46.44
2026-04-07T19:56:00Z,59.29,42.71
2026-04-07T19:57:00Z,58.65,40.98
2026-04-07T19:58:00Z,56.00,43.73
2026-04-07T19:59:00Z,58.76,43.00
2026-04-07T20:00:00Z,55.00,43.00
2026-04-07T20:01:00Z,57.55,43.91
2026-04-07T20:02:00Z,58.00,45.42
2026-04-07T20:03:00Z,57.34,44.01
2026-04-07T20:04:00Z,59.60,42.66
2026-04-07T20:05:00Z,62.33,39.26
2026-04-07T20:06:00Z,61.19,37.38
2026-04-07T20:07:00Z,56.36,42.30
2026-04-07T20:08:00Z,55.00,46.00
2026-04-07T20:09:00Z,57.68,44.35
2026-04-07T20:10:00Z,59.23,40.01
2026-04-07T20:11:00Z,62.08,42.34
2026-04-07T20:12:00Z,59.00,45.38
2026-04-07T20:13:00Z,52.96,45.11
2026-04-07T20:14:00Z,54.18,47.99
2026-04-07T20:15:00Z,46.63,54.48
2026-04-07T20:16:00Z,37.16,60.91
2026-04-07T20:17:00Z,35.05,65.53
2026-04-07T20:18:00Z,31.93,68.69
